Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,45.6,M,50,58.7,67.1,75,79,80.5,77.3,69.8,59.4,47.2,64.5
1901,45.5,38.9,54.2,52.4,65.4,74.4,78.9,79.5,75.7,65.3,49.6,M,61.8
1902,42,38.8,50.9,56.7,M,75.4,79.7,77.5,73.2,68,61,48.8,61.1
1903,45.1,49,58,61.1,67.8,73.5,79.8,79.5,72.8,64.6,50.8,41.8,62
1904,39.7,42,51.8,59,68.9,75,77.8,77.4,74.2,64.6,53.9,46.5,60.9
1905,41.6,38.4,53.8,59.1,71.2,74.5,78.9,78,75.6,66.5,56.6,49.2,62
1906,50.5,44.7,50,59.1,68.6,76.5,77.1,79.7,78.3,66.8,54.9,48.3,62.9
1907,49.6,43.1,54.3,52.9,65.1,71.5,78.7,77.9,76.7,62,54.9,49.1,61.3
1908,46.5,43.8,55,62.6,69.4,73.8,79.9,78.8,72.7,65.8,57.4,51.5,63.1
1909,50.6,52.6,52.2,61.8,68.2,76,76.7,77.4,72.9,63.1,58.9,44,62.9
1910,46.6,46.8,57.2,62.3,67,74.4,78.2,77.5,75.8,69,51.3,42.7,62.4
1911,48.2,47.8,50.3,57.4,68.1,75.8,79,79.6,76,67.2,55.5,51.7,63.1
1912,41.7,42.7,52.4,63.2,68.9,74.2,78.4,77.9,77.4,66.4,55.5,52.8,62.6
1913,56.2,48.7,58,60.8,68.9,73.6,78.8,77.6,73.1,65.5,54.4,49.7,63.8
1914,47.5,45.8,46.8,59.2,69.3,75.5,77.6,78.9,72,67,55.6,48,61.9
1915,48.1,47.8,45.2,59.2,68.3,71.6,77.9,79.9,77.1,68.4,57.3,44.8,62.1
1916,51.2,47.2,48.5,57.7,69.3,73.9,77.7,77.8,73.2,66.5,57.5,48.6,62.4
1917,47.8,44,51.2,59.2,64.5,73.9,78.5,78.8,71.5,63.1,51.4,40.3,60.4
1918,37.6,46.2,53.2,57,69.9,72.7,75,78.4,71.6,68.1,56.2,51.6,61.5
1919,47.8,45.7,52.5,58.4,68.9,72.8,77.3,78.5,74,72.9,56.7,45.9,62.6
1920,43.8,43.1,50.9,58.1,61,71.7,75.8,77.7,75.5,66.2,57.3,50.2,60.9
1921,47.8,48.6,60.5,62.4,64.9,73.7,77.9,76.6,77.2,65.6,60.8,50.1,63.8
1922,45.7,49.8,54.7,60.8,68.5,75.5,78.2,75.8,73.5,67,55.9,51.9,63.1
1923,48.4,43.9,53.3,59.1,67.6,75.8,77,78.5,74.8,63.3,54,53.9,62.5
1924,46.4,44.3,47.7,57,66.3,74.4,76.9,78.3,71.8,63.2,56.1,49.8,61
1925,46.6,52,53.6,61,67.2,76.9,78.7,78,77.5,64.7,55.4,47.9,63.3
1926,45.6,48.1,47.2,57.7,66.3,73.2,78.5,79.6,74.9,66.9,56,48.6,61.9
1927,44.5,54.3,52.7,57.3,69.2,71.6,77,76.2,74.4,68.2,59,49.6,62.8
1928,46,48.6,53.4,60.2,65.5,76.1,78.6,79.7,73.9,67.7,56.1,49.2,62.9
1929,50.4,45.2,56.6,63.1,69.7,75.1,78.5,77.4,74.7,65.3,58.4,50.1,63.7
1930,50.7,51.6,51.5,60.1,70.4,75.1,79.3,76.7,78.4,63.2,54.8,45.9,63.1
1931,46,46.9,47.6,58,67.1,72.7,78.5,78.1,77.3,67.2,61.5,56.2,63.1
1932,56.3,54,50.1,58.8,67.5,76.4,80,79.4,74.5,67.2,57.4,53.8,64.6
1933,53.4,50.4,52.7,61.2,72.4,75.1,76.4,79.8,79.2,68.4,55,53.3,64.8
1934,50.3,40.3,50.1,58.8,67.5,77.5,80.5,79,76.7,65.4,58.9,47.5,62.7
1935,46.8,48.3,57.6,57.9,67.1,76,77.1,78.2,73.4,65.7,59.1,42.5,62.5
1936,43.1,41.3,55.9,58.2,68.3,74.9,78.8,79.5,75.9,69.3,55.8,51.8,62.7
1937,59.5,45.9,50,59.6,67.6,76.7,78.7,79.5,73.2,63.8,54.9,46,63
1938,45.7,50,56.2,62.1,69.7,74.9,78,80.1,75.5,63.3,60,50,63.8
1939,50.3,53.4,55.9,61.5,66.9,76.7,78,79.6,76.2,68.8,53.3,48.5,64.1
1940,37.3,43.7,47.9,56.3,65.1,76.4,78.1,78.7,72.3,62.4,56.8,52.3,60.6
1941,45,41.2,45.9,59.3,66.5,74.3,79.2,77.3,76.7,70.5,58.7,51.8,62.2
1942,45.6,41.6,54.6,59,71.2,77.4,81.5,78.1,76,67.5,58.5,47.6,63.2
1943,47,46.8,50.7,57.4,69.8,79.2,78.4,78.4,72.5,63.5,54.4,45.7,62
1944,44.3,48.8,51.8,59.8,72.1,78.5,78.6,77.5,76,65.6,54.1,44.1,62.6
1945,42.7,46.3,57,63.2,67.4,75.9,79.4,77.2,78.3,65.8,59.2,44.9,63.1
1946,47.2,47.8,57.5,57.5,68.9,72.8,76.6,76.4,74.3,67.4,62.5,53.8,63.6
1947,54.2,41.6,46.8,60.1,67.8,74.3,76.7,79,76.5,70.3,56.8,48.9,62.7
1948,41.8,48.1,56.1,62.1,70.1,76.6,79.9,78.5,74.5,62.2,63.5,52,63.8
