Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,53,43.4,48.2
1953,49.3,49.3,54.4,61.4,73.5,75,78.8,76.1,72.1,63.6,51.2,46.3,62.6
1954,44.7,49.8,51.4,64.7,64.7,75.5,78.5,79,74.1,64.6,50.8,42.5,61.7
1955,40.4,45.2,56.7,64.8,69.9,71.7,81,78.9,72.8,62.2,51.5,40.4,61.3
1956,40.2,49.4,50.9,59.2,68.1,76.3,78.7,77.5,70.3,64.6,52.4,53.3,61.7
1957,43,49.3,50.3,64.2,69.1,77.2,78.2,76.5,75.1,57.7,53.6,46.8,61.8
1958,38.1,38.3,47.1,60.2,68.6,73.9,81.5,78.3,70.3,60.3,55.3,39.1,59.2
1959,42.6,46.2,50.8,61.5,71.3,74.9,78.2,78.8,72,63.6,51.9,46.9,61.6
1960,46.8,44.2,41.4,64.8,68.6,76,76.5,79.6,72.7,63.4,55,37.9,60.6
1961,38.8,47.6,56.4,56.3,65.8,74.4,80,78.6,75.1,60.5,54,43.7,60.9
1962,41.4,47.4,48.6,60.3,72.5,74.7,77,77.2,70.4,64.1,50.2,40.5,60.4
1963,40.5,40,56.4,61.5,66.1,74,77.5,77.7,68.8,62.1,53.5,37.4,59.6
1964,44.7,42.3,53.4,62.6,69.8,76.9,78.1,75.9,71.7,58.8,56.4,49.2,61.7
1965,42.6,44.7,48.6,59.5,72.3,73.4,77.8,79,74.4,61,53.1,45.4,61
1966,39,43.1,51.6,58.5,67,72.9,79.1,77.7,71.9,61.3,51.9,43.1,59.8
1967,46.4,43.2,52.8,62.5,64.8,71.9,77.9,76.8,67.4,61.1,47.8,48.6,60.1
1968,39.1,38.7,53.7,60.1,66.3,76.3,79.3,80.7,72.1,63.4,54.2,42,60.5
1969,41,42.4,47.1,61.5,68.2,76.9,79.7,75.8,70.7,63.5,49.9,41.5,59.9
1970,36.7,43.8,49.5,61.6,70.4,75.7,78.9,78.5,75.3,64.3,54.1,46.8,61.3
1971,40.9,46.7,49.5,59.3,66.9,77.5,78.8,77.5,74,68.3,53.8,54.3,62.3
1972,48.9,44.7,52.2,60.8,66.7,72.5,79.3,78,73.5,61.9,52.9,49.9,61.8
1973,42.7,42.6,56.9,60.5,68.7,77.6,78.8,79.8,76.1,65.3,55.9,47.1,62.7
1974,54,46.6,57.5,64.6,69.6,74.4,79,78,72.9,59.1,52.3,46.5,62.9
