Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,36.9,43.3,55,56.5,67.3,69.6,77.7,75.9,68.5,58.4,46.7,35.2,57.6
1904,32.9,35,47.7,53.9,66.3,73.2,75.8,75.6,69.9,58.3,47.9,39.4,56.3
1905,36.6,32.9,52,57.3,69,75.7,78,75.1,72.4,60,49.4,40.2,58.2
1906,43.7,41.7,43,60.1,67,75,76.6,79.6,74.1,56.6,51.1,41.8,59.2
1907,49.1,38.3,53.8,50.9,66.6,70.4,80,76.6,74.2,57.4,46.7,41.7,58.8
1908,38,35.7,54,62,67.9,74.1,78.4,74.9,68.9,59.1,50.7,43.7,59
1909,44.3,47.3,48.3,60,66,77.6,76.1,74.9,68.6,56.9,55,37.8,59.4
1910,39.3,M,57.1,60,66,71.2,78.9,76.8,73.4,63.3,45.8,37.1,60.8
1911,44.3,44.1,46.8,54.5,70.6,77.8,78.2,77.2,73.4,60.4,45.3,44.5,59.8
1912,33.2,36.4,46.3,60.3,67.2,72.1,75.9,75.5,73.9,59.2,49.1,43.6,57.7
1913,47.9,42.9,51.4,58,66.8,72.5,78,74,67.1,59.6,50.3,43.8,59.4
1914,42.9,37.7,44.6,57.8,69.4,80,78.7,78.6,68.5,61.3,48.5,37,58.7
1915,39.3,45,41.5,60.4,68.2,72.2,78.8,76.8,72.8,62.5,51.4,39,59
1916,43.7,41.3,45.5,M,71.6,73.5,76.8,77.8,69.2,59.9,50.3,40.4,59.1
1917,42.3,39.8,46.8,60.5,63.4,75,77.4,76.6,66.1,54.5,45.3,31,56.6
1918,28.4,43,53.6,54.4,70.7,73.4,75.1,78.6,65.1,61.2,48.3,44.9,58.1
1919,42,40.4,50.7,59,67.6,74.3,78,76.2,71.8,67.2,50,38.6,59.7
1920,36.7,36.9,47.8,56.6,64,73.7,76.7,75.5,72.7,61.9,47.7,41.2,57.6
1921,41.5,44.1,58.9,61.7,66.1,76.7,79.4,77.2,78.2,60.2,53.8,44.9,61.9
1922,37.5,46.6,51.6,60.3,68.4,76.2,77.5,74.1,73.3,62.1,51.2,44.8,60.3
1923,42.4,41,50.5,58.3,66.1,76.3,77,77,71.7,59.9,48,49.7,59.8
1924,38.9,39.4,47.5,58.5,65.2,76.1,76.5,78.4,66.8,60.5,51,41.9,58.4
1925,39.3,49.4,53,62.4,64,79.1,80.7,75.7,77.9,57.5,47.1,40.8,60.6
1926,38.9,46.1,44.9,58,68.6,73.2,78.7,79.3,74.4,62.2,46.2,41.5,59.3
1927,40.2,50.1,52.4,58.6,68,72.2,76.5,72.8,73.2,62.2,53.8,42.4,60.2
1928,40.9,42,50.5,55.4,65.4,73.7,79,78.3,67,63.4,47.4,39,58.5
1929,37.8,37.3,51.9,59.8,65.5,71.9,74.6,73.2,68.9,55.3,48.4,40,57.1
1930,39.7,44.7,45.3,57.2,68.2,72.2,79,74.2,74.4,55.1,45.2,33.5,57.4
1931,37.3,41.5,42.6,54.5,64,74,79.7,73.8,73.4,60.4,54.2,46.7,58.5
1932,47.6,47,44,56.1,64.4,74.4,77.7,76,69.5,58.7,44.2,42.2,58.5
1933,45.6,40.8,46.8,56.3,70.1,75.7,76.6,75.4,74.6,58.2,46.5,44.2,59.2
1934,41.4,32,44.1,57.2,66.2,76.8,79.5,76.8,71.7,57.2,49.5,38.8,57.6
1935,37.6,39.6,52.5,55,64.1,73.9,77.5,76.3,69,58.5,51.1,31.3,57.2
1936,33.5,35.2,50.9,53.4,69.2,74,78,77.3,71.2,60.6,45.8,41,57.5
1937,46.1,39.3,45.1,55.9,66.4,76.3,76.1,77.4,66.3,55.2,44.3,38.6,57.3
1938,38.3,44.6,53.5,57.9,67.3,71.7,76.1,78.1,70,59,51,39.1,58.9
1939,41.3,45.2,51.4,55.7,66.7,77.8,76.7,76.2,72.8,61.2,45.1,40.8,59.2
1940,27,39.6,44.6,55.6,65.1,74.7,75.3,75.2,68.2,58.5,48.4,43.9,56.3
1941,37.8,35.9,42.2,60.3,67.8,73.9,78,76.9,72.9,65.4,48.4,43.5,58.6
1942,36.5,36.5,49.1,60,67.7,75.5,77.8,75.1,70.4,59.9,49.2,37.7,58
1943,41.2,42.2,46.3,55.5,68.3,78.2,76.8,77.6,66.9,57.1,46.5,39.1,58
1944,38.6,41.8,46,56.4,70.9,76.9,76,74.7,70.5,58,46.9,35.1,57.7
1945,37.6,42,58.3,60.5,63.3,74.8,77.2,75.5,72.8,57.5,49,34,58.5
1946,39.7,42.9,55.3,59,64.7,73.7,75.8,73.4,69.5,60.2,53.2,43.7,59.3
1947,44,33.7,40.4,60.1,67.3,73.5,74.6,78.2,71.1,63.6,45.4,39.2,57.6
1948,33.4,41.4,52.5,60.8,66.8,74.6,78.5,75.7,68.9,55.5,52.4,42.8,58.6
1949,47.7,47.3,49.4,55.8,67,75.7,78.9,75.5,67.4,62.6,47,41.7,59.7
1950,49.7,42.2,45,56,67.5,74.4,75.5,74.1,68.3,61.8,44.5,35.7,57.9
1951,39.7,42,48,56.5,65.6,74.9,77.5,77,70.3,62.5,43.8,40.5,58.2
1952,44.3,42.4,47.5,57.9,67.3,79,78.7,75.1,68.5,54.4,48.4,39.8,58.6
