Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,78.9,79.1,76.7,64,47.8,45.3,65.3
1912,35,38.9,49.5,61.8,69.6,73.1,78,76.6,76.3,61.8,48.2,46.4,59.6
1913,M,44.3,55.2,M,68.6,74.6,80.4,77,69.2,60.3,49.4,44.1,62.3
1914,42.3,39,45.6,59.5,68.2,79.6,78.3,78.4,68.7,61.8,48.5,39.6,59.1
1915,41.2,45.4,42,60.4,69.9,73,79.2,76.5,73.1,64.1,51.7,40.2,59.7
1916,48.2,43.3,50.4,57.5,70.7,73.4,76.9,78.1,70.1,61.4,51.5,41,60.2
1917,45.3,43.1,49.9,61.1,62.5,75,78.7,76.4,67.8,56.1,45.9,33,57.9
1918,32.8,47.9,56.7,56.3,71.2,75.2,75.8,79,66.7,63.8,50,47.2,60.2
1919,42.7,41,53.3,59.8,69.7,76.2,78.7,77.6,72.3,71.4,53.8,42.1,61.5
1920,40.8,39.9,49.6,58.6,64.8,75.5,78.2,76.4,74,61.6,48.8,42.3,59.2
1921,42.6,46.1,60.4,61.4,65.9,75.8,79.9,77.1,78.8,60.8,53.7,45.9,62.4
1922,40.3,49.6,52.7,61.4,68.5,77.3,78.9,74.8,72.7,56.6,49.3,46,60.7
1923,44.5,42.4,53.1,57.8,66,76.2,77.6,77.9,74.3,60.1,48.7,50,60.7
1924,40.3,40.4,47.4,57.7,64.7,76.2,76.7,79.7,68.1,57.5,49,43.1,58.4
1925,40.1,49,52.6,62.2,64.5,78.8,80.8,77.5,79.8,60.5,47.6,40.8,61.2
1926,39.8,46.2,44.7,57,67.7,74.4,79,79.5,75.5,62.2,48.1,44.7,59.9
1927,42.8,52.6,52.9,60.9,69.1,73.2,77.9,74.7,73.5,63.1,54.9,44,61.6
1928,41.5,42.8,50.9,56.5,65.6,74.7,79.8,79.5,68.5,64.5,50.1,43.2,59.8
1929,43.8,42,55.7,61.9,68.3,74.3,77.3,76.9,71.7,58.8,52.9,42.7,60.5
1930,44.3,48.5,48.7,60.4,70.6,74.4,80.8,76.1,76.6,58.4,48.6,38.5,60.5
1931,41.5,44.6,46,57.9,66.3,77.1,82.5,77.3,76.5,63.3,56.6,51.2,61.7
1932,51.7,51,48.6,59.1,67.5,77.4,81.3,78.7,71.6,61.8,49.1,46.7,62
1933,50.3,46.1,51.3,59.1,73.4,78.2,79.3,78,76.9,62.2,49,47.8,62.6
1934,45,37,48.1,60.7,67.9,78,81.5,79.2,75.5,60.4,52.9,42,60.7
1935,43.2,45.2,56.8,59.6,67.8,77.4,81,80.3,72.1,61.8,54.8,35.5,61.3
1936,38.1,40.3,54,57.7,71.5,76.8,80.8,79.6,74.6,64.3,50.3,45,61.1
1937,51.9,44.9,49.5,58.6,68.6,77.9,79.2,79.4,70.1,59.5,48.5,42,60.8
1938,42.6,50,57.7,60.1,70,74.5,78.4,80,73.3,61.5,55.5,43.4,62.2
1939,44.7,50.7,55.1,60,68.8,79.9,78.6,78.5,75.1,64.8,47.8,43.7,62.3
1940,30.9,43.8,48.1,58.3,67.7,78.6,79.9,78.5,70.7,61.5,51,46.1,59.6
1941,46.8,40.1,46,M,73.2,M,78.6,76.6,M,65,50.1,43.5,57.8
1942,40.6,38.7,51.9,61.7,69.3,76.9,80.1,76.8,71.9,60.5,50.7,40.1,59.9
1943,42,43.9,47.7,57.3,69.7,79.5,78.4,80.4,69.4,59.9,49.1,41.1,59.9
1944,41.2,46.8,50.2,59.7,71.7,79.8,75.6,74.9,71.7,59,48.2,38.2,59.8
1945,41.3,46,60.8,63.9,66,77.9,78.7,76.2,74.2,59.8,52.1,36.5,61.1
1946,42.8,45.2,57.7,61.3,67.7,76.1,76.8,74.4,70.5,61,55.6,46.5,61.3
1947,46.3,37,42.6,61.9,69,75.1,74.9,78.9,72.8,64.9,47.2,40.7,59.3
1948,33.9,43.5,54.8,62.5,68.6,75.3,79.7,76.8,73.1,58,56.1,47.1,60.8
1949,50.4,48.3,51.5,57.4,66.9,76,80.1,76.8,69,64.7,49.2,45.8,61.3
1950,53.6,47.8,50.1,59.7,71,77.1,77.2,77.1,71.7,64.7,48.5,38.2,61.4
1951,42.6,45.2,52,58.3,66.9,76,79.1,78.5,71.8,63.7,46.4,44.7,60.4
1952,48.3,45.6,50.7,59.4,69.4,79.4,79.7,75.3,69.6,56.3,50.7,41.8,60.5
1953,47.6,47.8,51.7,59.1,72.9,76.2,78.2,76.8,69.2,61.8,49.7,42.6,61.1
1954,42.5,47.7,49.9,63.4,62.9,76.4,78.2,78.1,73.9,63.6,46.2,39.6,60.2
1955,41.2,46.8,55.1,64.9,71.3,72,80.7,79.4,72.9,60.1,50.8,39.7,61.2
