Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,44.3,43.2,56.7,67.1,72.6,77.8,78.8,74.3,62.3,44.8,40.1,60.2
1927,39.3,49.9,50.2,57.9,67.7,69.8,76.5,72.2,72.2,61.4,53,41.5,59.3
1928,39.8,40.6,48.9,54.7,63.7,72.8,78,77.9,66.7,62.2,49.6,41.3,58
1929,40.1,39.3,53.8,61.1,66,72.3,76.5,74.3,69.4,56.9,51,39.9,58.4
1930,M,47.3,47.8,59.2,69.7,72.6,79.5,74.2,74.9,56.4,48.9,39.1,60.9
1931,42.5,47.2,46.9,58,65.4,76.4,80.8,75.4,76.2,65.6,58.4,51.6,62
1932,52.2,50.9,49.6,59.8,67,76.2,80.2,77.7,71.9,62,48.3,47,61.9
1933,49.7,45.2,50.4,58.8,72.6,78,76.8,77.4,76.5,62.4,51.9,49.5,62.4
1934,45,36.5,48.2,61.3,68,78.1,81.1,78.3,73.3,60.3,53.7,43.9,60.6
1935,41.8,44.9,57.6,58.7,67,76.5,78.8,78.4,71.1,62.5,54,35.7,60.6
1936,37.6,39.5,54.7,57.3,71.4,75.2,79.5,78.8,73.8,63.2,50,44.4,60.5
1937,50.2,43.9,50.2,59,68.4,76.9,77.5,77.6,68.8,58.5,49.9,43.1,60.3
1938,41.8,49.6,57.8,60.5,69.2,73,76.8,79.7,M,62.2,55.6,43.4,60.9
1939,45.6,50.1,54.8,58.4,68.3,78.8,78.4,77.6,74.2,63.6,48.3,44,61.8
1940,29.1,42.8,49.9,59.3,69,77.9,78,76.1,69.2,62.2,M,47.5,60.1
1941,41.9,40.1,47.2,64.6,71.1,75.8,79,79.2,75.1,69.3,52.7,46.9,61.9
1942,41.6,39.5,52.7,63,69,76.6,79.8,76.2,72.6,62,53.6,41.9,60.7
1943,44.1,47.3,49.1,59.4,70.2,79.9,78.1,79.7,68.1,60.4,51.5,42.9,60.9
1944,42.7,46.4,50,59.8,71.9,77.9,76.9,74.9,71.8,59.6,48.7,37.7,59.9
1945,40.1,44.8,61,63.2,65.1,76.4,77.9,76.8,74.7,59.3,52.3,36.6,60.7
1946,42.2,46.5,58.3,61.5,67.2,75.1,76.5,74.2,70.6,61,55.7,48.5,61.4
1947,46.6,37.4,43.6,63.5,69.6,74.8,75.7,78.7,71.8,63.9,47,41.4,59.5
1948,35.9,41.7,56.1,63.1,67.7,75.1,78.9,76,69.6,56.6,54.8,M,61.4
1949,51,50.8,M,M,69.1,76.2,80.3,76.4,68.7,63.6,48.8,45.1,63
1950,53.3,47.3,49.9,59.4,69.4,74.7,76.1,74.7,68.9,63.2,48,37.8,60.2
1951,43,45.9,51.5,59.1,65.9,75.4,78.1,77.8,71.6,63.8,46.5,44.5,60.3
1952,47.8,45.8,51.2,60.3,68.6,79.3,79.6,76,69.5,56.3,51.5,41.9,60.7
1953,46.7,47.7,52,60.3,72,74.7,78.2,76.5,70.3,61.9,49.8,42.4,61
1954,41.7,48.1,50.4,63.9,62.6,74.7,78.7,78.6,74.6,62.7,46.6,41,60.3
1955,40.9,46,54.8,64.4,70.7,70.9,79.5,78.4,72.2,60.5,50.6,39.5,60.7
1956,40.5,47.8,52,59,69.5,75.4,78.5,78.3,69.4,62.4,50.8,52.8,61.4
1957,43.9,49,50,64.3,69.6,76.3,78,75.8,72.2,56.4,53.7,45.7,61.2
1958,36.6,36.5,46,59.9,68.1,74.2,78.6,76.6,70.6,58.7,54,38.6,58.2
1959,40.8,45.1,49.3,61.9,70.7,74.3,77.5,78,70.6,61.9,50.6,44,60.4
1960,41.9,41.6,38,63.2,66,74.7,76.6,77.4,70.9,61.1,52.1,37.7,58.4
1961,37.4,45.4,54.2,54,64.4,72.2,77,75.8,73.5,60.4,54.5,42.4,59.3
1962,39.6,45.4,47.3,58.3,72.4,73.3,76.4,76.2,68.3,62.6,48.8,38.6,58.9
