Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,39.2,46.3,58.1,68.9,77.6,80.8,83.7,76.5,65.5,51.4,41.4,62.7
1901,40,37.9,51.2,53.3,68,76.5,81.2,80.4,71.3,60.2,43.6,39.4,58.6
1902,37.5,34.3,50.7,57,71.2,76.7,83.8,78.8,70.3,62.8,56.2,40.5,60
1903,M,42.3,56.3,59.6,68.9,72.4,M,M,71.4,59.7,47.2,M,59.7
1904,34.8,36.8,M,M,M,M,M,M,M,M,M,38,36.5
1905,36.8,33.1,52.5,58.6,70.1,75.9,M,78.6,M,61.3,50.5,40.5,55.8
1906,44,40.8,44,61.7,66.9,M,M,M,M,57.8,51.3,42.8,51.2
1907,M,37.8,55,52.6,66.3,72.5,M,M,M,56.6,47.5,43.3,54
1908,M,M,M,M,M,M,M,M,M,60.7,53,45,52.9
1909,46.7,50.8,49.3,61.8,67.2,77.8,76,75.4,69.4,59.3,56.1,39.7,60.8
1910,43.2,41,58,60.8,66.1,M,M,M,73,63.5,46.3,38,54.4
1911,46.5,46.5,49.3,55.7,70.7,M,M,M,M,63.7,48.3,M,54.4
1912,34,38.8,48.9,61.5,69.2,74.3,79.2,M,75,62,51,M,59.4
1913,50.5,44.4,54.1,58.8,68.5,M,79.7,75.8,69,61,51.4,M,61.3
1914,M,38,M,M,68.8,78.5,77.7,79.5,M,62.5,50,38.9,61.7
1915,41.6,46,43.3,M,68.4,M,77.8,M,M,62.8,52.1,40.1,54
1916,47.5,44.3,50.5,58.7,71,72.5,76.1,77.1,70.4,62.4,51.1,M,62
1917,M,M,49.5,60.5,64.4,M,M,M,M,57.8,49,M,56.2
1918,M,M,M,M,71.9,74.4,M,M,M,64.3,50.6,46,61.4
1919,43.9,42.1,53.5,59.5,M,74.6,78.1,M,M,M,M,39,55.8
1920,40.7,37.7,51.8,M,M,M,76.5,M,M,M,M,M,51.7
1921,M,45.2,61.4,62.9,65.8,76.4,80.4,78.8,80.1,62.7,55.1,46.5,65
1922,40.4,50.8,52.9,M,68.7,77.2,79.7,76,74.7,63.1,51.7,46.2,61.9
1923,46.1,41.8,53.9,59.3,67,M,M,79,73.5,61.1,50.2,50.5,58.2
1924,42.2,41.3,49.2,58.6,66.6,76.7,76.3,78.7,68.6,60.3,52.9,43.8,59.6
1925,37.2,M,53.9,62,M,79.4,81.2,76.7,78,59.4,49,42.3,61.9
1926,40.1,46.9,46.2,58.8,68.9,74.8,79.5,80.3,74.5,63.9,48.9,43.7,60.5
1927,42.1,51.6,53.2,M,M,72.8,77.3,74,70.9,62.6,55.4,44.9,60.5
1928,43.6,43.3,51.4,56.6,65.9,74.9,79.6,79.3,67.7,64,52,43.5,60.2
