Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,51.5,50.4,53.4,60.6,70,77.6,82.3,79.1,70.9,65.6,50.2,45.5,63.1
1950,53.8,47.7,49.4,58.1,71.3,77.2,78.5,77.7,71.8,65.2,48.8,39,61.5
1951,44.4,46.1,51.9,60.2,68,78,80.5,79.6,72.7,64.5,47.5,47.8,61.8
1952,48.8,46.3,50.9,61.5,71.2,82.6,81.8,78.6,72,57,52.3,43,62.2
1953,48.2,47.3,53.5,61.8,76,77.1,80.8,79.1,72.2,63.7,50.5,45,62.9
1954,43.7,49,51.5,65.8,65.8,78,80.9,80.7,76.7,64.2,49.1,41.4,62.2
1955,40.4,45.7,55.7,65.4,72.4,73,82.1,80.4,74.6,61.6,50.5,39,61.7
1956,40.5,48.5,51.6,59.8,70.4,77.5,80.6,79.5,71.1,64.5,50.6,53.8,62.4
1957,43.8,49.9,51,65.2,71.1,78.4,79.7,77.5,74.4,58.3,53.6,46.4,62.4
1958,38.5,39.4,47.8,62,70.2,76.5,82.2,79.9,71.9,60.1,55.7,39.4,60.3
1959,42.1,46.6,50.9,63.6,73.4,77.4,79.8,81.6,73.8,65,52.2,45.4,62.7
1960,43.6,43.7,41.1,64.7,69.9,77.9,79,80.3,73.8,63.2,53.1,38.2,60.7
1961,38.7,47.7,55.7,56.5,66.5,75.3,80.4,79.1,74.5,60.4,56.6,44.5,61.3
1962,41,47.6,49.4,61.3,74.6,75.1,78.7,78.2,70.8,64.5,50.8,41.1,61.1
1963,39.8,39.4,56.9,63.7,67.5,75.2,77.7,78.4,68.7,62.4,53.2,37.5,60
1964,44.3,43.7,51.5,60.1,67.7,75.5,75.5,74.9,70.2,55.7,54.7,46.8,60.1
1965,42.7,45,48.1,61.7,73.3,73.4,78.2,78.7,72.6,60.4,52.3,44.8,60.9
1966,37.9,44.1,50,58.4,66.9,73.4,79.5,77.1,72.4,61.1,51.4,42.7,59.6
1967,45.2,42.1,54.8,64.4,65.9,72.9,76.9,76.3,67,59.7,47,47.5,60
1968,38,37.4,54,60.4,65.9,75,78,80,71.2,63.7,53,41,59.8
1969,39.4,43.3,47.7,62.7,69.1,77.1,81.7,75.2,69.7,61.6,48.8,40.9,59.8
1970,36.2,42.3,49.8,62.5,68.8,76.4,79.6,78,75.7,63,51.3,45.4,60.8
1971,M,M,M,M,M,M,M,M,M,M,M,M,M
1972,M,M,M,M,M,M,M,M,M,M,M,M,M
1973,M,M,M,M,M,M,M,M,M,M,M,M,M
1974,M,M,M,M,M,M,M,M,M,M,M,M,M
