Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,40.8,39.4,47.3,58.9,68.2,76.9,81.1,82.4,75.5,65,51.5,40.4,60.6
1901,40.4,36.1,50.8,53.4,67.9,75.4,80.7,78.1,71.4,59.1,43.3,41.2,58.2
1902,37.3,35.2,51,57.9,70,76.1,80.3,76.5,69.3,62.4,55.1,M,61
1903,40.1,45.4,57,58,68.1,71.4,79.6,77.7,69.9,58.5,45.7,36.6,59
1904,36,36.1,51,56,67.5,76,77,76.9,70.4,57.2,47.1,38.3,57.5
1905,36.3,33.1,53,59.1,70.3,75.4,78.3,75.5,71.3,59.9,48.9,42.2,58.6
1906,44.9,40.7,45.4,61.1,67.4,76,77.3,79.3,74.4,58.8,49.5,43.5,59.9
1907,47.4,38.9,54.6,51.5,65.8,70.1,79.6,76.1,73.2,56.4,48.1,42.3,58.7
1908,38.8,38.8,55.9,62.7,68.4,73.8,78.2,73,67.9,59.3,50.5,44,59.3
1909,45.6,49,48.9,60.6,66.2,77.1,75.4,76.4,68.3,55.5,53.9,37.7,59.5
1910,41.6,41.9,55.9,60.3,65.1,72.2,79,76,71.9,62.4,44.1,36.6,58.9
1911,45.5,44.2,49.2,55.8,71.1,77.1,78.4,78.1,75.1,61.5,47.3,44.9,60.7
1912,32.8,37.9,48.3,61.5,68.1,74.2,78.8,78,75.6,61.5,46.8,45.2,59.1
1913,50,43.3,54.4,59,69.4,75,80.9,76.8,69.9,61.6,48.5,43.2,61
1914,43.7,37.8,44.5,58.2,68.5,79.4,78.2,78.4,68.6,62.1,46.6,38.5,58.7
1915,39.7,45.9,42.5,59.5,69.6,74.3,79.5,78.1,73.8,63.6,51.7,40.2,59.9
1916,47.8,43.5,50.7,58.3,71.3,73,77.4,77.7,72.7,68,52.2,40.8,61.1
1917,43.9,44.3,49.6,60,63.2,76.4,79,76.4,68.2,56.9,46.4,34.3,58.2
1918,30.6,46,56,57.4,72,73.8,74.7,79.2,66.5,64.4,49.7,48.2,59.9
1919,M,42.1,51.4,57.7,68.7,73.9,78.4,78.6,M,M,42.4,37.9,59
1920,36.6,37.5,50.6,57.9,63.8,74.5,76.8,77.1,74.6,M,48.6,43,58.3
1921,43.1,46.2,58.9,61.1,64.8,75.6,80,78.2,79.2,60,54.5,44.2,62.2
1922,38.3,46.9,52.6,60,68.2,76.3,78.4,74.4,73,61.9,47.7,42.5,60
1923,43.7,39.8,51.2,58,65.4,77,78.4,76.9,72.8,58.6,48.8,49.8,60
1924,41.2,39.9,47.9,56.5,58.2,77,76.2,77.8,67.6,59,51.7,43.4,58
1925,40.2,M,M,63.1,65.2,77.6,80,74.7,76.2,59.4,48.6,40.9,62.6
1926,39.2,45.9,44.2,57.5,66.6,74.4,78.3,79.9,73.6,62,47.9,40.8,59.2
1927,39.1,49.8,51.1,57.9,67,M,77.5,73.4,71.5,61.5,52.6,42.7,58.6
1928,39.7,42.5,49.8,57,65.8,75.6,79.4,79.3,67.2,62.8,49.6,41.6,59.2
1929,42.7,40.8,55,62,68.1,74.2,77.3,76.5,70.3,M,M,42.6,61
1930,43.2,48.1,48.6,59.2,70.2,74.2,81.1,76,77.1,56.4,48.5,38.4,60.1
1931,40,44.2,44.9,57,66.8,75.7,82.2,76.7,76.4,63,55.6,51.5,61.2
1932,50.2,49.2,46.9,58.1,68.1,77.1,82.3,78.6,72.1,61.7,48.9,46,61.6
1933,48.8,45.8,49.8,59.6,73.9,77.2,78.4,77.4,76.8,61.5,49.3,47.5,62.2
1934,44.7,34.3,47.5,60.4,67.8,79,81.4,79,73.9,59,51.9,42.2,60.1
1935,40.7,43.7,57.1,56.9,65.7,76.1,78.8,77.8,70.6,60.4,53.4,34.5,59.6
1936,37.1,37.9,54.3,57.2,70.3,75,80.5,79.1,73.4,63.1,49.4,43.7,60.1
1937,50.8,44,47.5,59,68.5,78.5,79.1,79.2,68.6,57.2,47.9,41,60.1
1938,41.1,48.9,56.4,60.8,68.9,73.8,77.7,80.3,71.7,59.6,53.2,42.7,61.3
1939,42.8,48.9,53.1,59.7,68.2,79.8,77.8,78.3,74.9,63.2,46.8,42.6,61.3
1940,28.9,42,48,57.5,67.8,78.2,78,77.7,70.6,60.8,51.8,47.4,59.1
1941,40.4,38.3,44.8,62.3,70.8,76.4,80.9,79,74.8,68.1,52,44,61
1942,39.2,39.6,53,62.1,70.7,79,81.4,78.2,74.1,62.5,52.8,41.2,61.2
1943,43.6,45.7,50.8,59,72.2,81.5,80,80.2,70.3,60,49.7,41.3,61.2
1944,40.9,45.7,49.2,59.7,73.4,79.7,78.9,77.6,74.4,60.4,49.3,38.7,60.7
1945,39.2,44,60.1,65.3,66.1,77.6,78.3,76.5,75.9,60.5,53.5,36.7,61.1
1946,41.6,45.1,57.9,61.4,68,76.3,78,75.5,72,61.9,55.3,46.2,61.6
1947,M,36.1,42.5,61.8,69.6,75.3,76,79,72.8,64.9,48.1,39.2,60.5
1948,34.9,42.2,54.7,M,68,75.6,79.7,76,69.8,56.4,55.2,44.5,59.7
1949,49.2,49.3,50.8,57.9,67.2,75.9,80.8,77.8,69.5,63.9,49.7,44.5,61.4
1950,52.7,45.2,48.6,58.3,68,74.8,76.8,76.1,69.6,62.8,48.2,35.4,59.7
1951,43,44.5,49.7,58.7,65.9,76.1,79.4,77.9,71.9,64.2,46,42.7,60
1952,45.6,43.8,47.5,58.8,68.7,79,80.7,75.9,69.8,55.1,49.8,40.8,59.6
1953,46.2,44.1,50,58.3,73,74.6,78.6,78.1,70.2,61.3,48.4,M,62.1
1954,41.1,46.4,49.8,63.6,63.2,75.3,M,77.9,73.8,61.7,46.7,39.2,58.1
1955,37.6,42.1,53.2,61,67.7,69.2,79.5,78.8,72.2,56.2,46.6,35.2,58.3
1956,36.1,44.6,46.5,54.6,65.9,75,77.6,M,68.8,61.4,46.8,47.2,56.8
1957,M,45.1,46.5,60.9,67.8,75.3,77.6,75,72.6,53.4,48.4,42.6,60.5
1958,33.5,32.3,42.7,57.1,66.8,72.1,79.1,75.8,M,55.9,51.1,33,54.5
1959,36.8,M,M,57.8,69.1,72.8,77.6,78.1,69.9,61.5,47.6,40.8,61.2
1960,39.5,38.1,34.7,59.1,63.8,73,75.9,77.5,70.4,60.1,47.7,34,56.2
1961,34,43.1,51.4,52.4,63,72.2,77.4,76.5,72.6,56.6,50.2,39.5,57.4
1962,36.8,41,44,55.6,70.7,73.1,74.4,74.8,66.6,60.1,45.9,36.1,56.6
1963,33.8,33.1,48.7,M,64.2,72.2,76.3,76,66.8,58.4,48.5,32.5,55.5
1964,37.3,37.5,49,57.9,67.3,75.8,77.5,74.8,68.9,54.2,50.9,43.1,57.9
1965,37.7,38.9,44.3,56.5,72.1,71.7,76.8,77.3,73.9,57.6,49.2,39.4,58
1966,34.2,38.4,47,54.8,65.7,72.1,79,76.1,68.7,55.5,47.4,38.4,56.4
1967,40.7,35.7,48.4,57.7,61.2,70.8,76,75,64.1,57,44.4,42.6,56.1
1968,33.7,33.2,50.7,57.2,63.7,72.8,77.7,78.8,68.5,59.6,49.1,36.1,56.8
1969,36.4,40,45.3,60.8,66,75.6,79.5,74.7,68.3,57.9,45.5,36.8,57.2
1970,31.8,39.5,46.5,58.1,66.9,73.9,77.2,76.5,74.9,60.6,48.2,40.9,57.9
1971,36.3,39.4,44.1,53.4,63,75,76.5,74.5,71.5,64,47.6,47.9,57.8
1972,42.5,38.1,47.8,55.9,64.6,70.2,78,76,70.1,55.8,46.6,43.9,57.5
1973,37.5,37.4,52,57.2,64,76.3,76.7,77,72.6,58.9,48.4,39.5,58.1
1974,46.7,40.3,50.9,57.1,64.9,70,75.7,74.8,67.3,53.2,46.5,40,57.3
1975,40.2,42.6,44.5,53,66.3,71.2,75.3,77.3,68.9,59.1,49,37.3,57.1
1976,33.7,45,50.7,57.9,64,71.5,75,71.9,64.8,51.6,40.5,35,55.1
1977,26.3,M,52.7,M,M,M,M,77.8,M,M,M,M,52.3
1978,M,M,45.3,57.9,63.6,73.9,75.6,77.6,69.4,M,51.6,41.3,61.8
1979,36.5,31.9,49.2,59,65,68.9,75.7,76.9,70.7,56.6,51.3,39.9,56.8
1980,38.5,34.7,44.8,57.7,64.8,70.5,77,77.5,73.3,55.4,46,39,56.6
1981,30.8,39.8,43.5,59.8,61.8,78.5,77.5,71.8,M,55.5,47,M,56.6
1982,30.9,M,M,M,M,M,M,M,M,M,M,M,30.9
1983,M,M,49.3,M,M,M,M,77.9,68.8,M,M,M,65.3
1984,M,M,M,M,M,M,M,M,M,M,45,M,45
1985,M,M,M,61.2,66,74.2,M,M,69.8,61.6,M,M,66.6
1986,M,M,M,60,66.4,76.3,79.3,71.6,66.3,58.6,51.2,38.9,63.2
1987,33.1,34,45.9,50.8,65.5,M,77.1,74.9,67.1,49.8,49.1,M,54.7
1988,M,M,M,M,M,68.9,M,73.6,M,M,47.7,37.8,57
1989,42.3,40.8,47.6,55.6,62.4,74.5,75,71.6,66.4,57.9,49.7,32.6,56.4
1990,44.2,46.9,52.3,58.1,64.1,72.6,78.6,76.1,67.1,59.7,49.8,45.7,59.6
1991,40.6,44.7,52.2,59.7,70.3,74.4,80.7,76.2,69.5,58,45.7,43.4,59.6
1992,41.6,44,48.2,56.3,61.4,70.1,78.9,71.7,70.7,54.8,49.8,40.4,57.3
1993,41.6,38.3,45.3,54.5,67.6,M,82.1,78.3,73.7,57.7,50.1,39.2,57.1
1994,34.6,40.5,50.6,60,62.1,77.2,80.6,74.9,68.1,56.4,53.2,45.8,58.7
1995,40.4,39.5,51.1,57.8,66.9,73.3,79.4,79,69.8,61.3,45.3,36.7,58.4
1996,37.5,39.7,46.4,58.1,66.3,74.9,77.4,74.7,70.2,59.5,44.4,43.6,57.7
1997,40,44.9,52.7,53.5,61.7,71,78.9,75.6,69.6,58.6,46.5,40.6,57.8
