Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,77.6,77.3,75.7,72.3,59.5,49,37.4,64.1
1945,38.9,43.4,60.1,62.6,64.9,76.6,77.9,75.5,74.6,59.5,52,36.7,60.2
1946,41.3,45.7,56.5,59.2,66.3,74.3,76.1,73.9,70.7,61.4,54.7,45.5,60.5
1947,46.4,35.6,42,61.1,68.4,74.3,75.1,78.1,71.3,64.5,46.8,40.6,58.7
1948,34.4,41.8,54.3,61.5,67.6,75.8,79.9,76.4,70,57.1,54.8,44.9,59.9
1949,49.2,48.6,51.3,57.6,67.9,76.4,81.1,77.6,69,64.2,49.5,44.3,61.4
1950,52.2,44.8,47.6,57.7,68.6,75.2,77.1,76,70,63.4,47.9,37.6,59.8
1951,43.1,44.2,49.4,58.4,66.1,76.2,79.3,78.1,71.4,63.5,46.1,45.4,60.1
1952,46.8,44.6,48.9,59.3,68.2,80,80.5,76.8,70,55.8,50.7,41.6,60.3
1953,46.7,45.6,51.3,59.4,73.5,74.8,79.6,77.7,71.3,61.9,50.3,43.4,61.3
1954,41.6,47.2,49,63.6,63.2,75.3,78.8,77.4,74.9,62.7,47.1,40,60.1
1955,38.8,43.6,53.4,63.1,69.7,71,80.1,78.3,71.8,59.4,48.4,37.3,59.6
1956,38.9,45.9,48.8,57.2,67.5,74.9,77.8,77.1,69.1,61.9,48.7,51,59.9
1957,40.7,47.1,48.7,63,68.1,75.6,77.8,75.4,72.4,55.5,51.7,44.8,60.1
1958,35.9,35.5,44.6,59.1,67.3,72.8,79.4,76.8,69,58.3,53.3,36.9,57.4
1959,39.6,43.7,48.6,60.7,70.1,74.3,77.5,78.6,71,61.7,49.1,43.2,59.8
1960,41.5,40.5,37.6,62.1,66,75,76.1,77.5,70.8,60.5,50.8,36.6,57.9
1961,36.5,44.8,52.7,53.6,64.2,72.7,77.6,76.5,73.2,59,52.4,41.3,58.7
1962,38.7,43.9,45.5,57.4,72,73.4,75.7,75.8,68.2,61.8,47.7,38,58.2
1963,36.7,36.1,53.4,60.5,65.4,72.7,76,76.3,67.1,60.5,51,34.7,57.5
1964,41.1,39.4,50.5,59.6,68,75.6,76.4,74.8,69.3,55.2,52.7,43.3,58.8
1965,40.4,42.8,44.6,58.2,71.9,71.8,76.2,77.2,72.7,58.8,50.9,43.8,59.1
1966,35.8,42.3,49.7,57,66.5,73.4,79,77.7,71,58.6,50.8,41.9,58.6
1967,44.8,38.9,53.7,62.5,63.9,72,76.9,76.3,67.5,59.4,46.8,46.2,59.1
1968,37.1,36.3,52.6,58.1,63.9,73.5,76.9,79.2,70.9,62,51.7,38.7,58.4
1969,37.4,40.9,43.3,58.7,66.1,74.6,78,73.8,67.5,58.5,46.1,37.7,56.9
1970,32.8,38.9,46.2,59.4,66,72.6,76.1,75.3,73.2,61,49.4,42.7,57.8
