Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,42,41.8,M,59.5,68.9,77.7,83.4,84.2,76.9,67.3,55.7,41.9,63.6
1901,41.4,37.7,52.5,55.1,M,77.4,82.3,80.5,74.5,M,M,M,62.7
1902,39.1,37.5,53.9,59.6,71.7,M,83.4,79.7,72.6,65.1,57.8,42.6,60.3
1903,44,48.5,M,59.5,70.6,73.3,81.6,80.4,73.7,61,48.3,37.9,61.7
1904,37.3,38,51.7,57.7,68.5,77.6,79.7,78.5,72.7,59.8,49,M,61
1905,38.6,35.6,54.1,59.7,72.5,78.3,82.2,79.4,75.6,65.7,51.7,44.3,61.5
1906,44.4,42,47.1,62.3,69.7,78.3,79,82.4,77.3,61.8,51.9,M,63.3
1907,M,37.8,55.7,52.6,M,72,81.2,77.6,75.7,59.4,50.3,44.2,60.7
1908,42,39.9,56.8,63.2,70.1,76.1,80.6,77.1,71.4,62.3,53.2,46.1,61.6
1909,47,49.7,49.3,62.2,67.7,78.7,77.3,77.1,71.2,58.2,55.5,39.4,61.1
1910,41.9,42.4,57.3,62.3,67.9,74.9,80.5,78.7,75.2,65.2,46.5,38,60.9
1911,46.8,45.7,48.6,57.2,72.1,79.6,81.1,81.1,77.2,64.3,49.1,47.1,62.5
1912,34.6,38.3,49.5,63.5,70.9,75.3,79.5,78,76.9,63.4,50.7,46.5,60.6
1913,M,44.3,56.3,61,70.4,76.9,82.2,78.4,72.1,63.4,50.9,45.3,63.7
1914,44.5,39.4,44.2,60.2,69.8,80.1,79.2,79.9,70.7,64.1,49.9,41.2,60.3
1915,42.2,46.7,43.8,61.3,71.3,74.1,80.4,79.3,75.8,64.9,52.8,40.9,61.1
1916,47.1,43.3,48.3,59.1,72.8,74.4,79.3,78.4,70.8,63.7,52.8,43.2,61.1
1917,43.9,42.4,49.5,61.7,65.3,76.7,79.4,78.8,69.1,58.2,47.4,34.8,58.9
1918,32.1,46.5,55.4,58.6,73.5,75.6,75.9,81,68.9,65.4,51.2,46.6,60.9
1919,44,43.6,54.1,59.6,70.3,75.7,79.5,78.2,73.1,71.8,53.3,41.5,62.1
1920,40.3,39.2,51.3,60,65.1,76.7,78.3,78.5,75.7,65.2,52,44.2,60.5
1921,43.6,45.7,M,62.9,66,78.6,82,80.1,81.2,62.5,55.2,44.6,63.9
1922,38.5,48.6,54.2,62.5,70.5,78.5,81,77,76.6,64.6,51.1,46.6,62.5
1923,44.6,40.1,53.2,60.5,68.7,78.8,80,79.7,75,59.7,50.4,49,61.6
1924,41.2,41.2,47.8,58.4,68.1,77.4,77.3,79,69,60.3,51.7,43.4,59.6
