Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,45.8,36.1,41
1956,37.3,43.7,47.2,55.8,65.8,71.9,75.6,75.7,66.9,60,46.7,48.7,57.9
1957,40.3,46,46.9,60.3,67.1,73.7,74.9,73.2,70.5,53.9,49.3,42.2,58.2
1958,34.2,33.5,44.6,57.2,65.6,72.8,76.9,75,67.7,56.6,50.7,36.7,56
1959,38.2,42.7,45.8,58.8,68.7,71.8,75.8,76.6,69.1,60,47,41.6,58
1960,40.5,39.2,36.3,59.2,63.3,72.6,75,76.3,69.1,58.8,47.4,32.9,55.9
1961,32.7,41.2,50,50.6,60.7,69.6,73.7,74,70.5,56,50.7,38.5,55.7
1962,34.7,40.5,44.2,52.4,69,71.5,73.5,73.3,65.7,58.4,44.6,34,55.2
1963,32.8,32.3,48.7,58,63.3,70.5,73.2,73.2,65.9,58.1,46.7,30.4,54.4
1964,35,35.2,44.9,55.7,65.1,73,73.9,71.9,65.6,51.8,48.5,38.1,54.9
1965,36.1,36.4,41.8,55.9,69.2,69.5,75.3,74,69.1,55.1,47.5,38.9,55.7
1966,32.3,36.4,45.9,53.4,64.4,70,76,73.8,65.7,55.1,47.1,37.6,54.8
1967,39,35.3,49.2,59,60.9,68.8,71.8,71.2,62.3,54.8,42.8,41.7,54.7
1968,33.2,32.2,47.5,55.7,61.3,70.5,75.3,75.8,65.7,57.1,46.8,35.2,54.7
1969,33.6,38.7,40.5,56.7,64.5,73.1,76.9,71.9,65.5,55.6,44.1,35.5,54.7
1970,29.7,37.6,45.4,57.3,65.5,71.9,75.7,M,71,57.8,44.9,39.9,54.2
1971,34.9,35.7,42.6,54.6,60.9,73.6,73.6,73.2,69.8,61.7,45.9,45.4,56
1972,39.7,35.4,46.3,55.3,61.9,67.5,73.4,72.9,68,52.5,43.7,41.9,54.9
1973,36.1,36.3,50.2,54,60.6,72.8,74.5,73.6,69.5,58.3,47.4,37.5,55.9
1974,44.7,39.9,49.5,55.2,64.1,68,73.2,72.7,64.8,53.2,46.1,38.2,55.8
1975,39.1,40.6,42.3,53.5,66,70.3,73.7,75.4,66.7,58.6,48.8,37.9,56.1
