Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,M,M,M,M,M,M
1958,M,M,M,M,M,M,M,M,M,M,M,M,M
1959,M,M,M,M,M,M,M,M,M,M,M,M,M
1960,M,M,M,M,M,M,M,M,M,M,M,M,M
1961,M,M,M,M,M,M,M,M,M,M,M,M,M
1962,M,43.1,45.4,55.4,71.3,72,74.3,74.5,67.3,61.3,46.7,36.9,58.9
1963,36.4,35.1,53.3,60.2,65.3,72.1,75.3,75.9,67.3,61.4,51.1,33,57.2
1964,38.2,37.6,48.8,57.2,67,75.2,75.9,73.6,67.8,54.8,52.9,41.1,57.5
1965,38.1,38.3,43.9,55.7,71.4,70.4,74.7,75.1,70.2,56.8,50.5,42.9,57.3
1966,32.9,38,48.1,54,64.9,71.4,77.9,68.1,M,56.6,49.6,38.7,54.6
1967,41.6,35.3,49.3,60.3,61.4,70.5,74.5,73.4,64.6,56.8,45.5,43.3,56.4
1968,33.8,34.8,50,57.7,62.9,71.9,75.6,77.2,69.6,60.4,49.7,36.4,56.7
1969,34.1,38.8,43.5,58.7,66.2,74.1,77.6,73.5,67.8,57.7,46,36.2,56.2
1970,32.1,38.2,44.9,58.7,67.3,73.1,76.3,75.3,72.8,60,48.5,41.9,57.4
1971,35.4,37.9,44.5,56.2,63,74.3,74.3,73.2,70.1,62.9,48.1,47.7,57.3
1972,41.1,36.7,47.9,56,63,69,75.2,74.3,69.4,54.3,45.5,43.2,56.3
1973,38.2,37,M,55.5,62.2,73.6,75.3,74.6,71.6,59.8,50.9,39.6,58
1974,45.2,39.5,49.3,56.5,64.4,69,74.9,73.6,65.3,55.7,49.3,40.2,56.9
1975,40,42.2,43.5,53.6,66.6,72.1,73.5,76.3,66.8,61.3,52.4,39.2,57.3
1976,34.5,47.6,53.1,60,63.3,71.1,75.3,72.6,66.8,51.5,43,35.4,56.2
1977,25.7,38,52.2,60.8,67.9,71.4,79.6,76.8,70.8,53.3,48.6,36.4,56.8
1978,28.6,30.9,44.4,57.6,63.3,73.3,75.6,76.2,70.3,55.9,51.1,40.9,55.7
