Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,71.7,58.9,57.3,46.7,58.6
1949,50.1,49.4,50.9,58,66.9,75.6,81,78.3,71.1,66.1,51.3,46.2,62.1
1950,54.1,46.2,48.4,56.9,66.2,74.2,77.3,75.5,71.5,64.9,50.1,39.2,60.4
1951,44.5,44.3,48.4,58.2,65.9,74.5,78.5,77.5,71.5,64.6,49.3,46.9,60.3
1952,46.3,45.7,48.7,60.7,67.8,79,80.3,77.9,72.2,57.5,51.6,42.8,60.9
1953,47.8,47.1,52.2,59.8,72.1,74,79.6,76.8,71.8,63.1,51.2,45.7,61.8
1954,43.1,47.6,50.4,62.2,64.9,76,78.1,78.1,73.8,63.6,50.2,40.9,60.7
1955,38.9,42.3,54.2,61.8,68.5,71.1,80.9,79.5,72.9,62.1,49.9,38.5,60
1956,37.6,48,49.3,57.5,66.1,75.8,78.5,77,71,64.3,51.4,52.8,60.8
1957,40.7,46.1,48.9,63,68.4,77.8,78.5,76.1,74.6,57.8,53.1,46.3,60.9
1958,38.1,37,45.2,58.5,67.5,71.5,81.5,78.4,70.3,61,56,37.5,58.5
1959,40.2,45.1,49.6,59.9,70.1,75.8,78.7,79,73,64.8,52.2,46.1,61.2
1960,43,43.4,40.6,63,68.6,75.5,77.1,79.3,72.9,61.9,53.2,37.5,59.7
1961,37.7,46.4,54.5,55.6,64.5,73.5,79.7,78.2,75,60.5,53.9,43.5,60.2
1962,40.6,44.8,46.2,58.3,70.5,74.4,76.6,77,69.2,63,50.2,39.7,59.2
1963,38.9,37.9,54.7,59.8,64.8,73.6,76.7,76.6,67.9,61.1,53.5,37,58.5
1964,44.4,42.2,51.6,59.2,67.8,75.2,78.4,75.6,71.9,58.3,55.6,47.3,60.6
1965,41.5,42.8,46.2,55.9,71,72.8,77.3,77.8,73.5,60.5,52.5,44.9,59.7
1966,37.9,41.9,49.3,56.2,64.5,72.6,79,76.9,72.2,61.1,51.7,42.9,58.9
1967,45.4,41.5,50,59.7,62.8,71.3,77.2,76.2,66.8,60.1,47.3,46.6,58.7
1968,37.5,36.7,51.4,57,65.2,75.3,78.2,79.8,70.2,63.2,54,41.1,59.1
1969,39.5,40.5,44.7,59.2,66.8,76.9,79.5,76.3,70.6,63.3,49.9,41.8,59.1
1970,36.4,44,47.6,59.2,68.8,75.2,77.9,78.5,73.9,64.2,52.8,46.1,60.4
1971,39.3,45.9,48.3,56.8,65.6,76.2,78.1,77.1,74.1,68,52.8,53.4,61.3
1972,47,43.2,50,58.8,64.6,71.4,78.2,76.7,72.6,60.5,52.4,50.3,60.5
