Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,52.8,48.4,54.5,64,77,79.9,80.1,80.9,79.9,67.6,55.2,53.3,66.1
1934,49.9,39.3,51.1,63.6,69.5,80.5,82.6,80.9,76.8,64.2,56.5,45.8,63.4
1935,45.3,48.5,60.5,61.2,69.7,78.9,79.4,79.6,74.4,65.2,57.2,39.4,63.3
1936,41.7,42.2,56.9,61.5,71.8,77.1,81.3,81.4,77.5,68.1,52.5,49.9,63.5
1937,58.7,46.2,51.8,61.8,70.6,79.4,80.3,80.3,72.1,61.8,51.7,44.5,63.3
1938,44.2,M,59,65.2,72,76.3,78.9,81.4,74,62.6,57.1,47,65.2
1939,48,53.2,56.9,62.2,69,79.5,78.5,78.8,76.2,66.4,50.8,44.9,63.7
1940,33.6,46.2,51.7,59.6,68.6,78.6,79.6,78.9,72.1,61.3,55.1,51.5,61.4
1941,44.2,41.5,48.4,64.4,71.2,76.5,80.6,79.3,77.1,69.6,55.6,49.4,63.2
1942,44.5,41.8,55.9,62.6,71.9,79.3,82.2,78.3,75.3,65.2,57.1,44.6,63.2
1943,46.5,47.3,52.5,59.5,71.2,81.3,79,79.3,71.2,62.1,53.2,45.3,62.4
1944,45.5,49.3,53.1,61.9,74.1,80.7,78.9,77.9,75.7,63.9,52.8,42.9,63.1
1945,43.5,49.2,63.7,67.1,68.6,78.2,80,77,78.3,64.5,57.4,42.7,64.2
1946,48.2,49.9,60.6,62.3,70.4,75.4,77.7,76.4,74,65.7,59.5,49.7,64.2
1947,50.8,39.6,45.4,63.7,70.7,75.1,77.6,79.9,75.1,68.2,52.2,44,61.9
1948,38.7,44.8,57.2,64.2,70.8,77.6,81.6,78.4,71.8,58.7,59.7,48.5,62.7
1949,53.2,52.5,53.1,60.7,68.9,76.8,81,79.1,72.1,68,52.4,48.3,63.8
1950,56.6,49.9,50.4,59.4,69.3,76.2,78,77,73,66.4,51.3,40.5,62.3
1951,46.3,47.1,51.7,59.9,67.9,77.1,79,79.1,73.7,66.7,51.5,49.6,62.5
1952,50.2,48.2,52.2,62.7,71.2,80.8,81,79.3,73.8,59.4,53.3,44.7,63.1
1953,50,49.5,54.9,61.6,75.1,75.3,80.6,78.4,73.6,65.6,53,47.5,63.8
1954,46.3,50.7,52.5,65.1,66.9,78.4,79.6,80.9,76.1,65,52.5,42.7,63.1
1955,41.8,46.6,57.4,65.6,71.5,73.4,81.1,79.7,75.6,64.2,52.7,41.9,62.6
1956,40.5,50.6,52.4,60.4,68.8,76.8,81.2,78.5,72.2,66.8,53.6,55.9,63.1
1957,45.3,51.2,52.2,64.7,71.1,78,79.9,78.4,76.6,60.4,55.3,48.2,63.4
1958,39.8,39.5,48.1,61.6,69.8,75,82.3,80.5,73.8,62.3,57.6,M,62.8
1959,43.7,48.7,52.5,62.7,72.2,77.1,79.4,80.7,75.7,67.3,54.2,47.7,63.5
1960,45.3,45.8,42.8,65.4,70.9,77.4,79.4,80.7,75.3,64.9,55.4,40.3,62
1961,41.2,50.3,58,57.1,67.1,76.6,81.9,80.2,76.8,62.5,55.4,47.4,62.9
1962,45.1,50.5,50.1,60.6,73.8,76,78.7,78.7,71.3,65.4,52.2,41.9,62
1963,40.6,39.2,55.1,60.9,65.6,74.1,76.5,76.6,68.2,61.7,51.8,37.1,59
1964,45.5,43.2,54.1,63,70.3,76.5,77.5,77.5,73.2,59.6,57.3,49.6,62.3
1965,43.1,45.2,48.3,59.2,72.3,73,76.3,77.1,72.3,60.9,52.7,45,60.5
