Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,45.1,41.7,43.4
1950,49.9,43.4,43.4,51.6,64.7,69.6,70.1,69.6,64.2,58.7,42.8,34.7,55.2
1951,37.6,39.7,46.7,52.5,61.2,68.9,72.2,72.4,66.3,57.8,40.8,40,54.7
1952,43.9,42.2,45.7,53.4,63.4,74.6,73.6,70.9,63.5,52,46.7,38.8,55.7
1953,40.6,41.5,47.8,54,66.5,71.3,71.8,70.8,65,56.8,44.9,38,55.7
1954,39.4,43,44.2,59.5,57.3,68.3,73.6,72.7,67.2,57.1,41.3,36.5,55
1955,36.4,37.9,47.8,57.7,64,63.8,72.3,72.4,67.3,55.4,45.5,37.1,54.8
1956,35.4,43.2,47.1,52.3,64.7,68.2,72,72.5,64.3,58.2,45.9,49.4,56.1
1957,41.1,47,44.9,57.6,63.8,70.3,71.1,69.6,66.7,51.6,47.6,40.4,56
1958,32.1,M,M,55.3,64.2,70.5,73.5,72.2,65,54.9,51.5,38.4,57.8
1959,37.9,42.1,45.6,57.3,65.1,68.4,72.2,73.5,65.9,58.6,45.8,41.2,56.1
1960,41.1,37.6,M,56.1,60,69.3,71.5,72,66.6,57.5,47,33.5,55.7
1961,32.9,42,49.3,49.5,58.1,66.3,69.5,70.4,68.1,55.8,52.9,42.9,54.8
1962,M,46.3,44.6,53.2,68.6,69,71.8,70.5,64.1,58.1,45,35.2,56.9
1963,35.4,34.5,50.5,57.5,62.4,66.8,70.1,70.4,64.5,57.6,47.6,32.5,54.2
1964,38.6,35.2,45.8,55.3,64.1,70.8,70.8,70.5,64.5,52,50.4,42.8,55.1
1965,39.1,40.1,44.2,58.1,66,67.1,72.4,71.8,67.5,54.5,48.9,41.4,55.9
1966,32.8,38,46.2,54.3,62.6,67.3,72.3,71.1,64.1,54.4,47.1,38.6,54.1
1967,39.4,37.8,52.3,59.3,61.5,67.3,69.4,69.7,61.1,55.3,44.8,43.8,55.1
1968,36,34.1,49,57.4,62,69.9,73.2,74.5,64,57.7,47.5,37,55.2
1969,37.2,38.4,40.9,57.6,63,71.6,75.1,69.7,65.2,57.6,45.7,36.6,54.9
1970,32.7,41.7,47.3,58.2,64.5,70,73.3,M,70.7,58.3,45.4,44.1,55.1
1971,37.4,40.1,43.7,56.2,61.2,71.2,71.5,72.2,70.7,62.4,46.3,48.8,56.8
1972,42.7,37.7,47.6,58.3,60.9,65.8,72,71.2,68.7,56.1,46.6,44.6,56
1973,38.2,37.8,52.3,53.9,M,69.6,72.8,72.6,70.4,59.3,50.2,41.3,56.2
