Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,33.6,45.7,51.6,65.9,M,M,72.3,M,M,M,38,51.2
1903,32.2,38.4,M,M,M,63.5,M,72.6,65.2,54.2,43.1,M,52.7
1904,32.9,M,47.9,51,60.9,M,M,M,67.7,M,M,M,52.1
1905,M,32.6,M,M,M,M,75.5,M,68.5,56.6,47.4,37.3,53
1906,M,39,44.4,56.9,M,70.4,71,73.6,70.2,55.5,M,43.1,58.2
1907,46,39.9,55.4,49.3,M,M,M,70.6,67.4,M,44,36.9,51.2
1908,M,34.2,54.3,58.6,63.5,67.7,71.7,71.2,64.6,54.5,48.4,42.8,57.4
1909,42.8,43.6,46.3,55.7,61.1,70.7,72.5,74.4,64.3,54.3,50.8,33.9,55.9
1910,35.9,37.1,51.5,54.9,59.6,66.2,M,72.5,68.7,58.7,41.4,30.4,52.4
1911,M,46.3,46.7,51,M,70.9,71,73.3,72.2,59.5,41.9,39.8,57.3
1912,M,33.6,44.6,55.8,65,66.9,72.4,67.1,65.5,58.2,40,38.3,55.2
1913,41.2,35.8,M,M,M,M,M,M,M,54.7,M,M,43.9
1914,M,M,M,54.5,62.8,73.2,72.1,M,66.3,57.3,42.8,34.4,57.9
1915,M,38.2,37.4,53.6,64,M,M,70.3,67.8,59.2,M,37.5,53.5
1916,45.1,40.8,46.7,52.8,64.6,67.4,72.8,73.1,64.4,55.8,47.7,39.6,55.9
1917,43.1,40.3,48.2,56.8,57.2,M,71.9,70.4,64.3,M,44.2,29.5,52.6
1918,29.6,45.1,M,53.5,M,M,M,72.8,61.8,59.5,M,M,53.7
1919,38.2,M,49.2,54.8,M,70.1,72,70.5,65.5,65.5,48.2,M,59.3
1920,37.6,M,M,52.5,M,M,68,69.4,66.9,M,M,M,58.9
1921,41,42.9,54.4,M,60.2,M,73.1,67.4,M,53.8,50.1,M,55.4
1922,M,47.7,49.3,57.6,62.3,M,72.3,M,M,M,M,44.1,55.6
1923,41.8,39.4,47.1,52.8,60.3,M,70.8,69.7,M,53.6,M,M,54.4
1924,M,M,42.6,M,57.4,M,M,M,M,55.4,M,M,51.8
1925,36.6,44.6,M,M,M,71.4,74,70,M,55.7,44.5,37.7,54.3
1926,36.5,M,41.2,M,61.8,M,71.9,M,M,57.1,M,M,53.7
1927,39.5,48.5,M,M,M,M,70.7,70.4,67.4,58.1,49.7,40.3,55.6
1928,37,M,M,M,M,M,M,72.6,M,M,M,37,48.9
1929,38.9,38.4,M,M,M,M,M,M,M,M,M,M,38.7
1930,M,42.5,M,M,M,M,74,M,M,M,M,M,58.3
1931,37.4,39.2,40.8,52.4,M,69.9,M,71.5,M,57.3,M,M,52.6
1932,M,M,M,M,M,M,M,71.6,M,M,M,42.2,56.9
1933,40.4,M,45.7,M,66.7,M,72.1,M,M,57.6,46.4,48.1,53.9
1934,42.3,36.3,45.6,55.8,63.3,72.2,76.3,73.9,69.8,58.3,50.1,38.9,56.9
1935,41.3,41.5,54,56,64.7,68.8,73.6,73.2,68.4,57.1,48.8,32.6,56.7
1936,35.3,38.4,49.9,54.9,64.5,M,M,M,M,60.4,46,43.6,49.1
1937,50.6,40.3,45.9,54.6,63.7,M,72.6,73.8,M,M,M,M,57.4
1938,38.2,46.8,55.2,57.9,65.7,M,72.9,74.8,68.1,56.8,47.6,39.6,56.7
1939,40,45.2,48.4,54.6,M,73.5,72.9,70.8,67.8,59.9,43,M,57.6
1940,23.1,M,M,M,M,67.3,M,M,M,M,M,M,45.2
1941,M,34.1,M,M,M,M,M,M,M,M,M,M,34.1
1942,M,M,M,M,M,M,M,M,M,M,M,40,40
1943,42.1,41.7,44.5,53.8,64.7,72.6,72.2,73.6,63.6,55,44.6,M,57.1
1944,M,44.1,47.1,54.5,64.9,71.9,70.8,70.7,68.1,56.1,46.1,37,57.4
1945,39.5,42,56.1,59.7,60,69.8,72.6,70.8,70.1,56.1,48.3,33.2,56.5
1946,39.9,42.4,M,58.3,61.6,68,72.4,69.9,66,57.4,51.8,43.6,57.4
1947,42.8,33.7,42.5,59.3,62.6,68.8,67.4,73,68.1,60.6,44.8,40,55.3
1948,33.4,M,50.3,59.1,64.1,69.5,73.7,71.5,64.7,53.3,M,44.5,58.4
1949,M,M,M,M,63.3,70.4,74.7,71.8,63.9,61.6,46.4,42.5,61.8
1950,50.3,44.9,45,53.4,65.3,69.9,70.9,69.9,65.6,60.4,42.6,35.8,56.2
1951,39.6,42.8,49.1,54.1,61.5,69.4,73.2,74.2,M,M,M,M,58
1952,M,M,M,M,M,M,M,M,65.2,52.3,44.8,37.5,50
1953,41.4,41.9,48.7,53.5,67.2,72.6,72.7,71.3,64.8,M,44.6,38,56.1
1954,38.7,42.6,46.4,60.3,57.5,70.6,74.6,73.6,69,56.7,41.1,36.8,55.7
1955,36.4,41.2,49.4,M,63.9,64.5,74,74,67.8,54.5,44.4,37.2,55.2
1956,34.7,44.3,47.7,52.3,64.5,69.1,72.5,M,63.7,57.3,44.5,46.4,54.3
1957,40.1,46.6,44.6,M,63.8,70.4,71.8,70,67.6,52.9,48.4,40.1,56
1958,32.4,31.1,43.3,54.7,64.4,70,73.1,72.3,65,55,49.5,36.5,53.9
1959,37.2,42.7,44.2,56,65.2,68.8,72.5,73.3,66.6,59.6,45.7,41.2,56.1
