Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,78.3,77.3,74.9,64.2,47.4,43.2,64.2
1940,29.8,42.8,47,57.9,66.3,76.9,77.7,77,70.7,61.4,50.2,45.7,58.6
1941,41.4,38.4,44.5,62.4,70.9,76.3,78.9,78.8,75,67.8,51.2,45.6,60.9
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,42,45.9,49.7,59,71.9,79.5,76.8,76.5,72.9,60.5,48.5,38.4,60.1
1945,40.9,45.9,60.4,62.6,65.7,77.7,78.2,75.9,74.5,59.9,51.5,36.6,60.8
1946,42.7,45.8,58.1,61.7,66.9,76,77.2,75.2,71.1,62.1,56.3,46.7,61.7
1947,46,37,43.7,62.5,69.5,75.4,75.3,78.6,72.9,65.1,47.9,42.5,59.7
1948,36.1,44.1,54.5,63.5,69.1,76.8,80.6,76.9,70.2,58.4,55.1,46.4,61
1949,50.5,50.4,52.2,57.9,69.2,77.1,80.3,76.9,69.2,65.3,49.2,44.3,61.9
1950,52.5,47.1,47.9,58.5,70.4,76.7,76.9,76.1,70.2,64.5,47.4,38.6,60.6
1951,42.3,45.2,51.4,59.6,68,76.4,79.4,79.7,72.2,64.4,46.1,44.5,60.8
1952,47.7,45.6,50.6,59.8,70,80.6,80,76.3,70.3,57.2,51,42.1,60.9
1953,46.7,47,52.7,59.5,74.2,76.9,79.7,77.9,71,63.6,51.3,43.1,62
1954,43.2,48.3,49.8,63.6,64,77.2,80.4,80.8,77.3,63.7,48.4,41.8,61.5
1955,41.2,45.8,53.8,64.8,72.1,73.1,81.3,81.1,74.2,61,50.4,40.7,61.6
1956,41,47.9,51.2,58.7,70,76.8,79.7,79.8,70,63.4,50.1,53,61.8
1957,44.1,49.8,50.5,64.1,70.3,77,80,78,73.4,57.6,53,45.1,61.9
1958,37.3,36.8,46.7,60.6,70.1,76.3,79.5,78.6,72.5,59.9,54.4,39.5,59.4
1959,40.8,45.8,49.2,62.1,71.9,77,78.9,79.8,73.1,63.1,50.9,44.3,61.4
1960,42.5,42.6,39.7,63.2,67.9,76.4,78.9,79.6,73.6,63.7,51.8,38.6,59.9
1961,38.1,46.4,52.8,53,63.7,72.8,77.3,76.9,75.3,62,56.3,42.7,59.8
1962,39.4,46.7,48.2,58.4,74.5,74.7,78.5,77,71.2,62.6,48,38,59.8
1963,37.3,37.5,54,62.9,68.8,75.3,77.9,78.9,70.1,63.6,52.7,35.6,59.6
1964,41.5,40,50.9,60.6,69.8,77.7,76.9,75,70.9,55.6,54.8,45.3,59.9
1965,41.5,44.6,46.8,62.4,73.4,73.3,77.8,78,73.1,59.6,51.4,44,60.5
1966,36,42.2,50.1,58.7,67.6,73.9,79.6,77.2,70.7,57.9,50.3,41.4,58.8
1967,43.3,40,53.9,62.6,63.7,73.1,76.3,75.1,67,59.9,47.8,46.3,59.1
1968,37.9,38.7,51.5,59,64.8,73.8,77,79.3,71.3,60.6,49.4,38.6,58.5
1969,38,39.6,45.1,60.7,67.8,77.3,80.8,75.6,69,60.3,47.7,39.5,58.5
