Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,41.5,41.4,M,53.5,M,72,71.3,M,62.8,53.8,43.8,39.9,53.3
1944,38.7,M,M,51.9,62.6,69.5,69.8,69.9,66.9,54.7,44.5,35.4,56.4
1945,37.8,43.5,55.2,57,59.5,68.1,71.9,70.1,68,54.5,47.4,33.4,55.5
1946,40,41.4,52.4,57.1,61.2,67.1,71.3,68.7,64.3,55.9,51.5,41.9,56.1
1947,M,33.6,39.8,57.8,61.1,67.2,67.7,73,67.1,59.7,45.7,39.8,55.7
1948,32.8,45.1,50.5,57.7,61.2,68.7,71.4,68.9,64.2,52.5,50.1,42.9,55.5
1949,48.3,46.4,45.2,52.8,61.6,68.1,73.1,70.7,62,60.8,43.7,41.3,56.2
1950,M,43.4,44.4,51.2,63.7,67.6,69,67.2,63,59.1,42.6,34.4,55.1
1951,38.7,43.2,47.7,52.4,59.6,68.3,71.2,72.3,66,57.7,42.1,39.9,54.9
1952,45.2,43.2,47,55.5,62.8,73.1,72,70,63.2,51.6,46.7,37.4,55.6
1953,40.5,42,48.5,52.2,65.3,69.8,69.8,68.4,63,55.9,44.2,37.6,54.8
1954,41.4,43.1,45.2,59.2,56.2,67.5,72.9,71.4,66.4,55.9,42.1,37.3,54.9
1955,36.7,42.2,49.8,58.2,63.3,63.4,72,72.6,67.4,54.4,44.6,37.2,55.2
1956,36.2,45,45.5,52.5,63.3,66.4,70.4,70.7,62.9,57.7,44.8,47.7,55.3
1957,41.4,47.9,45.4,57,63.4,70.1,71,69.1,66.4,51.4,46.5,40.3,55.8
1958,32.9,31.2,43.5,53.9,62.5,69,71.2,70.6,64.1,54.5,49.2,36.3,53.2
1959,36.4,41.8,43.1,55.1,63.9,66.3,70.6,70.9,65.3,58.4,45.6,40.9,54.9
1960,38.1,37.5,34.7,55.9,58.8,68,71.1,71.2,66,57,45.6,32.7,53.1
1961,32.6,44.5,48.3,49.8,58.4,65.6,69.1,69.5,66.6,53.3,50.6,39.8,54
1962,36.8,45.6,43.8,50.3,66,67.2,70.4,69.7,63.6,56.3,43.9,34.9,54
1963,32.7,34.4,49,56.8,61.1,66.8,68.6,69.5,64.8,56.7,45.8,30.9,53.1
1964,36.9,34.1,44.8,55,61.9,69.1,69.8,69.8,64.6,51.3,48.8,41.2,53.9
1965,38.2,36.5,44.2,57.8,64,66.8,70.9,70,67.1,53.8,48.1,39.5,54.7
1966,34,37.9,44.9,53.3,61,65.5,70.5,69.8,63.7,54,47.3,38.8,53.4
1967,39.2,37.1,50.6,58.2,60.3,66.5,67.5,67.6,61.4,54,42.7,42.9,54
1968,36.3,32.9,45,54.4,58.7,66.6,70.5,71.8,61.9,54.6,44,34.2,52.6
1969,34.7,37.9,39.2,55.6,60.8,69.8,72.7,68.2,64.1,55,43.6,34.7,53
1970,28.8,37.4,44.8,56.7,62.3,66.3,70.5,71.1,68.5,56.5,43.6,41.7,54
