Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,35.1,35.1
1946,41.5,42.4,54,59,63.1,70.2,74.2,72.3,66.3,57.5,52.7,43.8,58.1
1947,44.6,33.4,41.3,60.5,63.3,69.4,70.1,75.2,70.6,61.5,46.5,40.9,56.4
1948,34.8,45.4,52.3,60.2,63.2,71.3,74.6,72,66.9,54,51,43.4,57.4
1949,M,M,M,M,M,M,M,M,M,M,43.1,41.4,42.3
1950,50.1,43.4,43.7,51.9,66.7,70.3,72,70.6,67,61.6,42.8,36.2,56.4
1951,39.3,42.6,49,54.6,62.3,70.7,74.6,75.6,69.1,59.7,43.7,41.8,56.9
1952,46,44.5,47.2,55.8,64.3,75.7,75.3,73.1,66.3,53.8,45.5,39.1,57.2
1953,42,42.7,50.3,55.2,68.2,73.5,73.6,72.7,66.2,57.6,44.7,38.4,57.1
1954,40.7,44.5,46.4,61,58.8,70.7,76.3,74.3,68.8,56.9,42.4,37.4,56.5
1955,36.9,40.3,49.6,58,64.7,65.3,74.8,74.5,68.9,55.7,44.6,37.4,55.9
1956,36.5,45.8,47.9,52.9,65.9,69.5,73.3,73.8,65.9,59.5,45,47.5,57
1957,41,48.5,45.9,58.1,64.8,72,73.3,72.2,69.4,54.5,47.7,40.7,57.3
1958,33.6,31.3,44.8,55.4,64.5,71,73.4,73.4,67.1,56.7,50.1,37,54.9
1959,37.6,42.8,44.1,56.3,66.3,69.5,73.5,74.3,68.4,60.6,45.9,41.1,56.7
1960,39.3,37.9,35.8,56.2,60,70.3,73.2,73.7,68.9,59.5,46.4,34,54.6
1961,33.6,44.7,50.3,50.5,60.1,67.8,71.1,71.5,68.5,55.4,51.2,40.3,55.4
1962,38.1,45.7,44.5,51.5,68.6,70,72.6,71.9,65.9,58.5,44.7,35.8,55.7
1963,34.3,34.3,49.6,57.4,62.7,68,69.6,71.2,66.2,58.4,45.5,31,54
1964,37.6,34.2,45.2,55.9,63,70.9,71.5,70.7,66.3,53,50.1,43.2,55.1
1965,38.4,38.8,44.7,59.2,65.9,68.6,73.4,72.6,68.8,55.2,48.8,40.5,56.2
1966,34.8,39.9,45.7,54.4,63.1,68.3,73.5,72.1,65.4,55.1,47.5,39.8,55
1967,40.1,38.3,51.1,59.9,61.6,69.1,70.3,70.2,63.2,54.7,43,44.6,55.5
1968,38,33.1,47.1,56.4,61.2,69.5,73.7,74.5,64.5,56.2,44.7,35.4,54.5
1969,36.1,37.8,40.3,56.5,62.3,70.8,74.3,69.7,66.6,57.9,44.3,36.7,54.4
1970,31.5,39.9,47.2,57.4,63.6,68.7,72.8,73.4,71.2,59.3,45.1,42.4,56
1971,38.4,39,43.9,54.4,59.7,71.9,71.8,72.9,70.1,62.6,M,47.3,57.5
