Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,58.3,46.9,M,26.8,44
1956,M,M,M,M,M,60.6,61.9,63.4,56.6,49.6,37.4,41.3,53
1957,29.5,37.1,M,M,55.3,61.3,63.2,61.9,59.1,43.3,M,32.2,49.2
1958,M,M,M,M,56.4,60.2,63.8,62.2,57.2,48.6,M,M,58.1
1959,M,32.9,35.3,48.6,56.4,59.2,62.3,64.4,58.1,49.5,M,32.9,50
1960,29.1,M,M,49.7,50.9,59.9,61.9,63.5,57.9,50.9,40.6,M,51.6
1961,M,35.2,40.2,39.2,49.6,58.1,61.8,61.6,59.3,47.1,40.8,31.1,47.6
1962,28.5,35.7,32.2,42.3,60,59.2,62.7,62.1,55.2,49.4,36.7,25.1,45.8
1963,25.9,24.2,40.6,47.8,60,58.8,60.4,62.1,56.4,51.9,38.1,21.9,45.7
1964,M,25.5,36.4,46.9,56,61.3,61.3,60.3,56.2,44.3,43,34.5,47.8
1965,31.1,28.9,33.2,49.1,57.9,58,62.2,62.1,56.3,45.1,39.1,32.9,46.3
1966,25.6,26.7,35,42.5,51.9,59.2,62.2,60.7,54.5,46.1,38.1,29.9,44.4
1967,31.4,25.7,39.8,48.5,50.1,57.1,58.4,58.6,51.4,46.4,32.9,35.5,44.7
1968,30.2,22,38.8,45.9,50.1,60.3,62.2,64.2,54.6,46.5,37.8,26.6,44.9
1969,26.6,25.8,M,46.6,54.2,61.4,64.7,60.2,55.7,48.3,35.6,25.4,45.9
1970,22.8,28.4,35.7,47.6,55.7,58.9,63.3,62.8,60.9,49,36.4,33.7,46.3
1971,27.1,29.7,30.8,45.6,50.6,61.5,60.9,61.3,58.7,52,36.1,40.1,46.2
1972,32.7,28.8,35.4,46.4,50.8,55.7,62.7,61.3,58.8,45.2,35.4,37.7,45.9
1973,29.9,27.7,41,41.7,50.5,60,63.2,61.3,59.1,51,41.8,31,46.5
1974,41,30.4,41.6,45.1,53.3,55.2,61.8,61.1,54.7,47.3,38.8,32,46.9
1975,33.1,33.6,33.1,43.6,56.7,59.3,61.4,64.3,56,51.9,42,30.3,47.1
1976,24.6,36.7,42.3,48.6,50.3,58.8,61.1,60.7,54.4,41.9,30.9,27.7,44.8
