Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,36.5,35,45.1,54.4,62.4,70.2,73.6,75.3,70.3,61,49.9,40.5,56.2
1901,37.7,36.3,46.4,48.6,61.8,69.9,75,71.5,65.2,55.1,41.7,36.7,53.8
1902,36.9,32.6,46.8,53.1,66.7,71.2,73.7,72.5,65,57.9,53,40.7,55.8
1903,38.5,42.8,52.4,54.5,64.3,66.1,73.4,73.4,65,55.5,42.4,33.5,55.2
1904,33.2,37.3,47.4,50.8,61.1,68.2,69.9,70.8,M,53.9,44.5,39.1,52.4
1905,34.1,32.2,50.6,55.5,64.9,69.5,70.6,68.3,66.9,56.4,47.9,37.3,54.5
1906,40.7,39.3,43.7,57.4,61.7,69.9,71.1,M,M,54.9,47.4,M,54
1907,46.5,39.8,54.8,49.7,61.8,67.5,74.4,72.2,67,53.6,45.3,39.6,56
1908,36,35,53.7,58.7,63.8,68.9,73.2,71.3,65,54.1,49.2,42.5,56
1909,42.5,44,46.1,56.4,60.6,70.5,70.9,71.6,65,53.4,51.1,34.5,55.6
1910,37.7,37.4,52.3,55.5,59.9,66.7,72.2,71.2,68.6,58.8,43,33.6,54.7
1911,42.7,46.6,46.9,52.1,65,72.1,72,72.2,70.7,59.5,41.8,41.8,56.9
1912,31.9,35.2,45.8,57.3,63.3,67,71.6,70.4,69.5,57.9,44.5,40.7,54.6
1913,44.4,39.9,48.5,53.7,M,M,M,M,M,M,M,41.5,45.6
1914,40.3,M,43,55.4,62.9,73.6,72.9,72.5,64.8,57.3,44.1,35.7,56.6
1915,36.5,40.2,39.1,55.1,64.3,67.3,71.6,70.3,67.9,57.8,47.3,37.5,54.6
1916,45.6,38.9,45.9,52.8,64.4,67.7,71.8,72.5,64,55.3,46.2,38.6,55.3
1917,41.9,38.7,47.1,57,58,67.4,71.9,69.7,63.6,49.5,44.1,29.3,53.2
1918,29.4,44.6,52.9,52.8,65.4,69.8,69.8,73,62,58.8,46.2,43.5,55.7
1919,38.5,37.9,49.1,55.6,63.4,70.2,73.1,71.6,66,65.6,48.1,39.2,56.5
1920,39.6,37.4,44.4,53.4,60.5,68.7,72,71,68.6,57,46,38.2,54.7
1921,39.9,42.1,56.4,55.3,61.2,M,73.1,70.7,72.6,54.5,50,43.1,56.3
1922,38.9,45.4,49,56.9,63.8,70.8,72.7,M,M,M,46.2,43.5,54.1
1923,41.3,40.3,48,54,61.1,70.3,72,72.9,68.2,54.3,44.5,46.9,56.2
1924,34.2,36.3,44.3,55.5,58.5,71.8,71,73.2,62.9,55.1,47.8,40.6,54.3
1925,39,46,49.3,58.4,M,72.9,74.8,71.5,73.7,55.6,44.6,38,56.7
1926,37.7,42.6,41.2,54.3,64.5,69.8,73.8,74.6,71.1,58.5,42.5,41.4,56
1927,39.7,48.9,48.4,56.4,65,68.8,72.7,70.4,69.2,58.7,50.6,39.9,57.4
1928,37.8,40.3,47.6,52.8,61.6,68.8,73.4,73.6,65.2,59.9,48.1,38.8,55.7
1929,39.7,39.3,51.5,58.1,63.5,69.3,72.8,71.4,67.2,54.8,48,40.3,56.3
1930,40.5,45.7,45.8,57,65.3,68.4,75.8,71.9,70.5,54.1,44.1,35.2,56.2
1931,39,42.4,43.5,53.9,62.2,72,76.3,71.9,72.1,59.4,52.7,47.9,57.8
1932,46.6,48.5,44.4,56.2,62.8,71.2,76.1,72.6,67.5,57.7,44.5,42.5,57.6
1933,45.5,40.9,48.2,54.6,68.2,72.3,72.5,70.8,70.7,56.2,46.4,46.9,57.8
1934,41.8,35.4,45.9,56.6,63.4,72.1,75.8,73.5,69.4,58.1,49,37.6,56.6
1935,41,42,54,56,63.6,70.2,73.5,73,68,58.1,50.2,32.7,56.9
1936,34.6,37.7,50.6,54.8,65.8,73.7,74.4,73.3,69.4,58.8,45.1,42.4,56.7
1937,49.9,M,46.6,54.3,63.2,72.4,73.6,73.7,64.9,52.3,42.7,38,57.4
1938,38.8,45.2,52.9,55.1,64.2,68.8,73.1,75.1,68.7,56.3,48.5,39.3,57.2
1939,41,45.8,49.8,55.1,63.5,75,74.8,73.2,69.8,59.4,44.6,40.7,57.7
1940,26.7,39,45.4,55.1,62.3,72.2,72.4,72.6,65.6,57.7,46,43,54.8
1941,38.8,35,41.7,57.8,65.9,72.1,74.7,75,69.1,64.5,47.2,43,57.1
1942,37.5,35.5,48,58.3,64,72.4,75.2,72.1,67.6,58.3,47.8,39.4,56.3
1943,41.4,41.8,44.5,54.3,65.7,74.9,73.9,75.4,64.3,55.1,44.8,41,56.4
1944,39.7,45.1,47.7,54.7,66,73,72,72.2,68.5,56.7,45.8,36.4,56.5
1945,39,43.7,57.4,59.1,61.6,71.7,74.3,72.8,70.5,55.9,47.9,33.3,57.3
1946,40.3,42.4,54.1,58.2,63.3,70.7,74.2,71.9,66.8,57.7,52.2,43.5,57.9
1947,44.8,34.1,40.7,60.1,63.7,70.1,70.3,75,68.6,61.1,44.6,39.4,56
