Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,48.3,47.6,50,55.7,67.3,75.2,78.3,74.8,67,63.4,47.4,42.3,59.8
1950,50.7,44.6,45.8,56.1,68.8,74.6,75,74.9,68.5,62.9,44.6,37.3,58.7
1951,39.8,42.8,49.2,56.6,66.5,74.7,77.4,77,70.4,62.5,43.4,41.6,58.5
1952,45.5,44.1,48.1,58.6,67.6,79.8,79.9,74.6,69.4,56.2,49.1,40.9,59.5
1953,43.5,44.7,50.8,57.3,72.3,76,78.3,76.6,68.6,62.3,49.5,40.8,60.1
1954,40.9,46.4,48,62.2,62.5,75.1,79.8,78.9,74.3,62.1,45.6,38.1,59.5
1955,39.4,41.9,51.1,62.1,69.2,70.1,78.5,78.4,71.8,59,46.6,38,58.8
1956,38.1,44.6,48.8,56.4,67.8,74.7,77,77.2,68.4,60.7,47.3,49.8,59.2
1957,40.7,47.1,47.4,61.4,68,74.8,77.3,75.8,70.5,55.2,50.2,42.7,59.3
1958,35,34.5,44.8,57.7,67.5,74,77.5,76.7,69.7,58.6,52.4,37.7,57.2
1959,38.8,43.4,46.6,59.5,69.3,74.7,77.1,78.6,70.8,61.1,48.1,41.9,59.2
1960,40.8,39.5,36.3,60.5,65.3,74.2,76.5,77.1,70.3,60.5,49.8,36.8,57.3
1961,37,44.6,52.3,52.9,62.9,71.3,75,74,71.8,59,52.9,40.4,57.8
1962,37.3,44,46.4,55.7,72.4,72.7,76.2,75.5,68,61,47.1,36.7,57.8
1963,35.8,34.9,52.3,60.5,65.9,72.7,75,75.6,68,61.6,50.1,33.7,57.2
1964,38.4,38.1,48.1,58.1,67.4,75.3,75.5,73.8,68.7,54.8,53,42.5,57.8
1965,39.8,41.2,45.3,59.2,71.1,71,75.8,75.7,70.6,57.6,50.4,43,58.4
1966,34.6,40.1,48.3,56.1,65.6,72.3,77.5,74.9,68.6,57,49,40.8,57.1
1967,41.9,38.1,53,62.3,63.2,70.9,73.8,73.2,64.5,57.7,45.9,44.4,57.4
1968,36.2,36.5,51,58.5,64.5,73.4,76.6,77.2,68.7,59.2,48.4,36.8,57.3
1969,37.1,39.1,43.6,59.1,66.6,74.7,78.4,73.5,67.5,58.4,46.7,38.5,56.9
1970,32.9,40.6,48,60.1,67.8,73.7,77.3,75.6,73.1,60.5,47.1,41.8,58.2
1971,35.8,38.2,43.6,56.6,63.2,74.1,73.9,73.5,70.5,62.5,46.6,47.5,57.2
1972,41,36.8,47,55.7,62.1,68.5,75.9,76.7,72.3,57.8,48.3,46.5,57.4
