Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,32.8,30.6,38.8,51,58.3,64.1,67.5,68.1,63.7,56.3,45.2,35.8,51
1901,33.5,30.7,41.3,41.9,57.3,64.5,68.4,65.1,58.9,51.7,39.3,33.2,48.8
1902,33.9,27,41.2,48.7,63.4,66.3,69.2,69.8,M,52.5,45.5,34.2,50.2
1903,31.3,35.8,47.3,47,56.1,59.7,65.3,65.2,58.9,47.8,37.4,28.2,48.3
1904,M,M,M,M,55.1,63,63.9,65.2,59.8,M,M,M,61.4
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,47.3,30.5,38.9
1910,33.4,33.1,48.2,49.4,54.4,60.4,66.2,64.5,63.1,54.3,39.9,30.4,49.8
1911,40.8,41.3,42,48,59.3,65,62.2,65.6,67.1,58.1,M,M,54.9
1912,M,31.6,41.1,51,57.5,61.5,65.3,64.8,64.1,54.4,40.8,37.7,51.8
1913,39.4,36.6,43.5,49,58.9,64.9,68,66.6,59,51.4,45.2,39.1,51.8
1914,36.6,34.3,37.9,51.5,58.4,67.6,66.6,66.2,59.9,53.3,42.2,35.6,50.8
1915,34.5,36.9,33.6,51.6,60.8,62.8,66,64.9,62.4,54.9,45,34.4,50.7
1916,41.7,35.9,40.6,48.6,61.7,62,66.4,67.4,58.5,52.2,44,36.6,51.3
1917,40.6,34.8,43.6,52.9,53.8,62,66.2,64.3,59.5,46,41.3,28.2,49.4
1918,26.8,42.4,47.9,48,58.5,64.3,62.8,66.7,56.7,55,42.3,39.8,50.9
1919,35.9,34,43.8,50.3,57.4,64.3,66.5,64.8,60.3,60.3,44.7,37,51.6
1920,36.2,32.3,39.2,48,54.7,62.2,65.3,64.3,61.9,51.3,41.4,34.9,49.3
1921,37.2,38.4,51,M,M,M,M,M,M,M,M,M,42.2
1922,M,M,45.1,53.7,55.9,M,66.4,M,M,52.7,M,42.7,52.8
1923,M,M,M,M,58.8,67.3,69.6,70.4,66.8,54.9,45.1,46,59.9
1924,34,35.7,39.6,52.1,57.4,70,69.1,71.9,61.5,57.1,48.1,41.9,53.2
1925,39.1,44.8,48.4,58.2,59.1,71.7,71.9,71.4,74.3,53.7,43.9,38.4,56.2
1926,37,40,37.8,52.5,63.1,68.4,70.6,71.3,69.4,56,41.8,41.8,54.1
1927,38.7,47.8,46.6,55.9,62.1,65.6,69,66.9,67.1,58.5,49.6,39.3,55.6
1928,37,39.6,44.9,49.7,59.3,64.8,69.8,69.8,63.3,57.4,45.6,39.4,53.4
1929,39.3,37.4,47.3,55.2,59.5,65.5,68.8,69.8,M,M,M,M,55.4
1930,39.6,43.5,41,55,61.6,65,73,68.9,67,51.4,42.3,34.2,53.5
1931,37,39.6,38.4,50.4,58.5,68.3,71.7,67.5,68.8,57.7,M,48.7,55.1
1932,46.7,47.9,42.7,55,61.7,69,74,70.5,65,56.1,45,44.7,56.5
1933,44.6,39.6,45.1,52.6,65.7,71.4,69.9,69.8,70,57.2,46.8,48,56.7
1934,40.9,34.2,45.1,54,62,69.1,72.5,70.4,66.5,57.1,49,37.1,54.8
1935,40.1,40,51.1,53.8,62.2,66.6,70.3,70.1,66.4,57.7,49.7,31.3,54.9
1936,34.9,36.3,48.4,51.3,65.3,70.6,72.9,70.8,67.8,57.6,45.4,42.7,55.3
1937,47.6,37,44.8,52.8,62.2,69.5,69.8,69.3,63.6,52.2,43.8,39.7,54.4
1938,38.9,45.2,52,55.2,62.9,66.8,69.7,72.8,65.9,58.7,49,40,56.4
1939,40.5,43.5,49.4,53.8,62.1,71.6,71.6,69.9,68.5,60.1,46.5,41.3,56.6
1940,27,37.7,44.1,52.1,60.2,68.5,69.3,69.6,65,58.7,46.1,44,53.5
1941,39.2,34.4,40.7,57.7,65,69.2,70.6,71.5,68.7,62.5,47.6,44.5,56
1942,37.4,33.9,45.5,57.8,61.9,69.6,72.2,68.8,65.1,57.1,48.8,39.8,54.8
1943,41.5,40.3,43.3,53.4,64.1,72.4,70.6,72.2,63.6,55.1,46.3,41.6,55.4
1944,40.8,44.6,46.6,53.4,64.8,72,68.7,68.1,66,56.3,45.2,36.4,55.2
1945,37.5,42.6,55.3,58,59.5,68.5,70,69.1,66.9,54.5,46,33,55.1
1946,39.3,41.3,52.4,57.8,60.4,67.8,69.1,68.3,63.3,57.1,52.6,44.6,56.2
1947,44,31.4,38.2,58.8,62.3,67.3,68.1,70.7,66.3,59.4,44.6,41.6,54.4
1948,33.4,43.5,50.5,57.8,62.4,67.9,69.8,67.3,62.4,51.9,49.1,41.7,54.8
1949,46.6,44.9,44.7,51.2,61.1,66.6,70.1,67.9,61.1,58.8,43.7,41.1,54.8
1950,48.2,42.1,41.6,50.9,62.7,66.7,66.3,65.3,62,57.4,40.3,34.3,53.2
1951,36.9,40,45.2,M,59.5,67,69.7,71.3,64.2,57.3,41.5,39.6,53.8
1952,43.7,41.6,44.4,52.4,61.4,72.5,71.6,68.5,62.8,52.3,45.8,37.9,54.6
1953,39.7,40.3,47.1,52.6,64.9,68.2,69.5,68.5,63.5,56.4,45.8,37.5,54.5
1954,39.5,42.2,43.9,57.4,56.2,67.1,71.7,71,67.5,55.3,41.4,35.9,54.1
1955,36.1,39.1,47.2,56.9,62.9,61.7,69.4,70.1,65.7,53.1,44.6,36,53.6
1956,35.3,43,44.9,51.5,62.6,65.7,68.8,69.4,M,M,M,46.9,54.2
1957,38.7,44.8,43.1,55.3,61.3,67,68.8,67.2,64.5,49.9,45.8,38.7,53.8
1958,30.7,29.1,39.9,52,61.3,66.9,68.8,68.7,62.9,53,49.8,35,51.5
1959,35.4,40.7,42.4,54.3,62.1,66.2,68.1,69.3,62.4,55.5,42.9,M,54.5
1960,M,35.4,32.3,55.2,58.4,65.6,68.6,69,64,55,45.1,34.3,53
1961,32.9,43.1,47.9,47.4,56.7,64.1,67.6,66.9,65.1,51.8,48.5,38.5,52.5
1962,36.6,44,40.9,49.5,65.8,65,69.2,67.8,61.9,56.4,43.8,34.7,53
1963,33.4,33.6,48.5,55.7,60.2,64.3,66.6,67.7,62.1,56.4,44.3,30.6,52
1964,37.2,32.7,43.5,53.9,61.7,68.1,67.4,67.3,63.2,50.8,50.1,41.1,53.1
1965,37.4,38,41.9,56,64.1,63.9,68.6,68.2,63.4,52.3,46.8,40.6,53.4
1966,33.1,37.5,43.2,51.4,59.3,64.3,69.7,67.3,61.6,52.1,45.5,38.6,52
1967,38.7,35.4,49.9,57.1,58.6,63.9,65.3,65.4,58.7,52.7,41.7,42.9,52.5
1968,35.4,31.3,45.7,53.9,58.5,66.3,68.2,70.2,61.1,53.3,43.3,34.1,51.8
1969,35,35.9,37.9,54.3,59.9,67.7,71,66.1,61.1,54.1,42.4,34.2,51.6
1970,29.4,36.7,44.5,55.2,61.3,64.7,69.6,68.2,66,54.3,43.1,41.3,52.9
1971,35.8,37.8,39.3,53.2,58.1,66.6,67.1,67.3,64.9,58.3,43.7,46.7,53.2
1972,40.5,35.8,45,54.5,57.6,62.7,67.6,67.7,64.4,52.5,43.4,44.6,53
1973,37.5,35.8,49.1,48.9,57.4,65.5,68.9,67.5,65.8,55.5,48.4,38.9,53.3
1974,47.4,38.9,50.3,52.9,61.4,62.5,67.3,66.5,61.1,M,M,M,56.5
1975,M,M,42.1,52.3,62.6,65.3,67.2,68.6,61.9,55.7,44.5,M,57.8
1976,32.2,44.1,47.5,54.8,56.8,63.8,68.1,67,60.5,49.1,39.1,36.1,51.6
1977,M,36.5,48.1,55.9,62,66.4,71.1,68.7,64.4,M,M,M,59.1
1978,28.9,31.3,43.5,52.4,57.4,65.3,67.6,66.8,63.6,49.2,45.7,36.5,50.7
1979,31,32.1,44,52.4,M,62.8,64.4,M,61.4,50.9,43.7,36.3,47.9
1980,34.7,27.3,39.6,48.4,59.3,65.4,70.5,68.3,64.3,49.3,42.3,33.5,50.2
1981,27.3,34.2,39.9,56.6,56.8,68.3,69.4,65.2,60.4,50.3,42.4,31.2,50.2
1982,M,41.1,46.9,49.2,60.5,65.3,68.5,66.4,59.7,52.4,44.8,41.1,54.2
1983,32.7,35,43.1,46,57.8,62.9,69.2,69,60.7,53.4,42.7,33.5,50.5
1984,31.9,37.8,42.9,48.8,57.9,65.8,65.9,66.9,59.5,57.4,39.8,42.9,51.5
1985,M,M,M,52,58.2,65,67,65.3,60.4,56.2,51.3,29.6,56.1
1986,31,37.6,42.1,52.1,58.6,66,69.7,65.4,62.6,52.3,46.6,36,51.7
1987,31.4,35.3,41.3,45.9,61.1,65.6,68.2,68.9,60.8,45.2,42.7,36.5,50.2
1988,27.5,32.1,41,50.5,55.3,63.6,66.1,67.7,60.3,45.6,41.4,33.6,48.7
1989,37.9,36.9,46.8,48.8,54.6,63.6,67.2,66,60.8,50.9,40.7,26.9,50.1
1990,36.6,39.9,46.4,48.4,58,65,67.6,67.1,60.6,51.6,44.4,39.5,52.1
1991,34.1,35.8,44,51.4,60.9,63.6,68.7,65,60.8,50.7,39.1,37.8,51
1992,33.5,38.6,40.6,48.2,54.3,61.6,68.4,63.5,61,48.4,41.5,34.6,49.5
1993,38.3,32.5,37,45.8,57.8,65.7,71.4,67.3,62.7,50,40.4,31.9,50.1
1994,28.4,36.1,43.2,52.4,54.6,65.6,66.2,64.6,58.5,50.3,45.4,38.4,50.3
1995,32.7,32.2,45.7,51.5,57.8,62,68.4,67.5,59.9,50.4,38.1,31.9,49.8
1996,30.1,34.1,36.7,46.9,60.5,63.3,67.4,65.6,59.6,51.5,37.7,35.5,49.1
1997,32.3,38.1,46.9,45.7,53.5,60.5,68.4,65.2,61.4,50.8,37,34.1,49.5
1998,35.4,37.2,39.6,48.7,61.6,67.6,69.5,67.2,65.1,53.2,45.3,39.9,52.5
1999,36,37,38.4,53.9,56.5,63.7,68.5,69.1,60.1,50.5,45.7,35.9,51.3
2000,32.3,40.1,46.4,49.5,62.1,65.9,68.4,67.7,61.2,53,40.7,27.2,51.2
2001,32,41.5,39.7,53.3,58.5,64.4,67.2,68,59.2,49.5,47.7,38.7,51.6
2002,36.4,35.8,43.8,54.4,57.5,65.3,69,68,63.5,55.2,39.2,35.4,52
2003,29.5,36.5,M,52.3,58.9,63.2,66.8,M,60,M,47.6,32.9,49.7
2004,33.6,34.8,44.9,51,62.1,65.4,68.2,64.6,61.6,56,46.2,34.2,51.9
2005,36.7,38,41.3,49.6,55.8,64.1,69.2,68.3,64,54.5,44.4,32.9,51.6
2006,38.8,35.2,44,55.5,58.1,65.2,69,69.8,60,50.5,43.8,39.6,52.5
2007,35.4,33.3,48.5,49,59.6,66,65.7,71.8,63.8,56.1,43,40.6,52.7
2008,32.2,39.5,43.6,52,59.5,68,69.2,68.8,63.8,51.6,40.1,39.1,52.3
2009,32.7,35.8,45.4,51.3,60.2,68.8,67,68.4,62.7,52.2,45.8,33.9,52
2010,29.1,29.3,41,55,62,70.6,71.8,71.7,65.2,52.9,43.3,25.6,51.5
2011,29.7,38.7,43.2,52.7,57.6,66.4,68.8,67.5,61,49.8,43.8,39.3,51.5
2012,36.2,37.1,50.5,52,59.8,M,69,64.6,59.7,49.8,40.7,40.3,50.9
2013,38.8,34.7,35,48.1,56,65.1,65.6,64.5,60.8,51.7,40.6,38.7,50
2014,26.7,36.8,40.2,50.5,58.5,65.2,65.7,65,63.4,51.8,38.8,40.5,50.3
2015,32.7,28.8,45.7,51.3,58.2,65.9,68,65.6,60.6,51.8,47.2,45.3,51.8
2016,30.9,34.6,46.2,50.7,56.9,65.7,69.3,68.5,64,54.3,46.1,38.8,52.2
2017,39,41.9,41.5,53.4,59,63.3,68.3,65,59.7,52.5,44.6,36.1,52
2018,29.5,44.8,39,46.5,61.1,66.4,67,65.5,66.1,54,40,37.7,51.5
2019,34,42.6,40.9,51.4,61.5,64,67.1,65.7,64.8,55.5,41.7,40.3,52.5
2020,37.5,38.6,48.4,50.6,56.7,64.5,68.7,67.5,60.3,54.4,46.6,34.9,52.4
2021,34.8,36.4,45.2,48.4,55.8,63.2,66.1,66.5,60.4,54.5,41,44.4,51.4
2022,31.2,38.7,43.9,49.4,59.9,66.1,69.6,66.1,59.7,48.5,43.1,M,52.4
