Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,59.3,M,80.3,79.9,75,71,57.8,50.5,40.9,64.3
1953,43.9,44.2,50.8,58.2,75.4,76.3,79.1,78.4,71.8,62.8,49.8,39.7,60.9
1954,40.5,46.1,46.9,M,M,M,81.2,81,76.7,64.4,M,M,62.4
1955,40.3,M,52.7,M,70.3,M,81.1,M,M,59.1,48.5,M,58.7
1956,M,46.8,48.9,M,M,77.2,M,M,69.9,62.1,48.8,M,59
1957,M,M,M,64,M,M,77.2,75.5,73.2,54.8,50.1,43.1,62.6
1958,34.4,33.8,44.2,57,67.7,73.9,77.6,76.4,69.5,58,55.5,37.9,57.2
1959,36.9,42.3,45.8,59,69.1,73.5,77,78.2,70.7,60.9,48.4,42,58.7
1960,40.6,38.9,37,61.5,65.5,74.9,76.6,77.6,70.6,61.5,49.6,35.7,57.5
1961,36.6,44.2,51.8,52.9,62.8,72.3,73.5,74,72.3,60.2,53.7,41.7,58
1962,37.4,43,45.6,57.8,73.2,73.5,76,75.9,68.9,62.5,47.5,36.9,58.2
1963,33.4,35.6,51.8,60.8,65.8,72.8,75,75.3,69.1,60.6,50.3,33.6,57
1964,36.9,37.2,48.1,57.3,67.7,75.8,76.1,73.7,69.1,55.2,53,42.5,57.7
1965,40.1,39.9,45.8,57.8,71.2,71.4,76.5,75.9,71.9,58.4,51.1,43.9,58.7
1966,36.5,41.1,49.6,58.3,66.5,72.7,77.9,75.8,69,58.2,50.1,41.5,58.1
1967,43.3,40.5,55.4,62.5,64.1,71.5,74.8,74,65.4,58.8,47.6,46.5,58.7
1968,37.4,38.1,M,M,M,73.6,75.8,78.3,70.3,59.8,49.6,37.5,57.8
1969,37.3,40.3,44.6,59.6,66.8,75.8,79.2,74,68.5,59.7,46.9,39.2,57.7
1970,34.2,42.4,49.1,60.8,68.1,73.5,77.7,76,74.7,63.3,49.2,45.3,59.5
1971,39,41.4,46.5,58.3,64.1,75.5,75.2,74.7,72.8,64.9,48.6,50,59.2
1972,44.3,39.9,49.8,58.2,64.4,70.3,76.5,75.6,71.4,58.1,48.1,46.9,58.6
1973,40,40.3,54.7,57.4,64.4,74.3,76.8,76.7,74.2,61.7,52.8,41.5,59.6
1974,50.4,44.5,55.2,59,67.4,70.2,74.9,74.7,67.5,57.8,50.2,42,59.5
