Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,38.5,36.2,46.7,57.8,66.6,72.6,78.1,80.1,75.3,63.5,51.6,41.6,59.1
1901,41.4,38.1,48.5,52.3,66,M,M,M,M,58.1,44.2,37.8,48.3
1902,37.5,35.4,48.9,55.4,69.6,72.9,76.5,76,67.8,60.1,54.7,39.9,57.9
1903,38.7,44,53.4,56.8,66.8,68.7,76.4,76.1,68.3,59.3,45.6,35.9,57.5
1904,35.1,38.3,49.1,53.4,64.7,72.3,74.4,M,M,M,47.7,40.3,52.8
1905,36.5,33.3,53.9,58.7,69.4,M,M,M,M,58.1,50.1,40.4,50.1
1906,43.8,42.2,44.9,60.7,66.3,M,M,M,M,M,50.2,43.4,50.2
1907,49.3,41.1,57.7,52.2,64.5,69.6,77,74.6,M,56.2,46.7,40.8,57.2
1908,38.7,36.3,56.2,61.8,67.5,72,75.7,74.3,68.7,58.9,52.4,43.9,58.9
1909,44.7,47.3,48.9,59.7,63.9,74.1,74.3,74.3,67.8,57.1,55.1,37.5,58.7
1910,39.2,38.2,M,59,63.3,69.3,75.5,74.3,72.1,62.2,45.7,36,57.7
1911,44.9,46.9,48.1,53.7,67.8,75.5,74.7,75.4,73.6,61.6,43.6,43.5,59.1
1912,33.7,37.4,47.4,59.8,65.3,69.8,74.2,72.5,71.5,60,46.9,42.4,56.7
1913,46,42.1,50.6,56.3,66.3,72.7,77.1,74.1,66.1,57.6,50.5,43.4,58.6
1914,41.6,38.6,44.9,58,66.5,76.3,74.8,75.3,67.3,60.2,46.8,36.6,57.2
1915,38.3,42.4,41.4,58.9,66.2,69.5,75.4,72.4,69.7,61.2,49.5,38,56.9
1916,44.5,41.9,47.8,56.9,68.1,70.8,74.2,75.5,66.6,58,48.6,39.6,57.7
1917,43,40.4,47.7,60.1,60.1,70.3,73.8,72.5,66,52.8,47.5,31.1,55.4
1918,29.9,46.5,55,54.3,67.7,71.5,72,75.2,65.1,62.4,47.1,44.6,57.6
1919,40.9,39.6,50.5,57.3,64.3,72.7,75.6,74,69.1,67.5,50.5,40.5,58.5
1920,39.2,38,45.8,55.7,62.2,71.1,73.4,71.7,69.7,59.8,48,40.8,56.3
