Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,35.5,34.6,43.2,54.6,64.1,72,75.7,74.8,M,61.1,M,M,57.3
1901,37.4,M,45,47.6,61.8,71.5,M,M,63.9,M,M,34.8,51.7
1902,35.5,33.3,46.5,M,M,M,M,M,M,M,M,M,38.4
1903,M,M,53.4,51.4,M,M,M,M,M,M,M,M,52.4
1904,34.5,40.4,48.7,50.6,63.3,M,M,M,M,M,M,37.4,45.8
1905,32.8,32.4,51.7,56,64.8,74.7,76.3,73.8,70.4,58.7,47.5,36.3,56.3
1906,38.7,38.5,44.2,M,M,M,M,M,M,57.6,47.4,41,44.6
1907,46.2,40.6,53.6,M,M,M,M,M,M,M,46,M,46.6
1908,34.5,M,48.6,M,M,M,74.4,73.3,M,M,M,M,57.7
1909,M,44.3,46.6,56.8,62.2,71.8,71.7,73.7,66.5,55.8,53.2,34.5,57.9
1910,38.3,38.6,54,55.5,61,69.9,75.2,73.2,70.3,60.7,42.6,35.4,56.2
1911,M,M,M,54.5,66.8,73.8,73.5,74.8,74.6,62.3,44,44.2,63.2
1912,32.9,35.9,46.2,58.3,65.2,M,74.7,72.6,72.5,60.4,44.4,39.7,54.8
1913,45,39.7,49.2,54.1,64.4,72.5,76.8,74.4,66.4,55.4,44.5,M,58.4
1914,39.1,36.6,42.1,56.4,64.7,74.7,74.5,73.5,67,59.7,43.8,38.2,55.9
1915,37.3,41.5,38.5,56.4,65.7,69,73.4,72.5,69.7,59.3,48.2,37.6,55.8
1916,43.6,38.5,43.7,53.8,66.5,68.5,74.2,74.7,65.9,57.2,46,37.1,55.8
1917,42.2,37.7,47.6,57.5,58.2,68.4,73.4,72.1,66.2,51.3,44.5,30.5,54.1
1918,27.5,43.2,53.6,54.7,66.6,70.7,70.2,74.6,62.5,60.4,46.8,43.1,56.2
1919,36.5,39,49.4,54.7,63.2,71.9,74.3,72.5,68.7,M,49,42,56.5
1920,40.9,38,45.9,56.2,64.5,72.3,75.1,73.6,71.1,60.9,47,40.4,57.2
1921,41.3,44.6,58.6,57.9,62.3,74.9,76.3,74.8,75.2,57.2,51.2,44.1,59.9
1922,39.6,46.5,50.3,59.9,64.4,72.4,76.3,72.4,M,60.3,49.6,46.2,58
1923,43.9,40.9,49.8,57.1,64.6,74.1,76.1,76.7,M,57.1,47.5,48.3,57.8
1924,37.8,39.9,44.5,56.2,61.5,75.4,M,M,66.2,60,50.7,41.7,53.4
1925,39.3,46.8,M,M,61.9,76.5,71.6,M,76.8,58.8,46.6,39.6,57.5
1926,36.7,43,42.2,53.1,65.1,72.1,77,77.3,76.4,61.9,M,42.2,58.8
1927,41.3,49.1,49.7,58.7,67.4,71.2,76.5,M,M,60.2,49.8,39.4,56.3
1928,35.4,38.9,47.6,54.4,63.5,70.4,77.8,77.6,67,59.4,46.3,38.5,56.4
1929,38.5,38.4,51,59.2,65.1,70.9,72.3,70.5,67.6,53,49,40.4,56.3
1930,38.6,43,44.4,56.1,63.4,67.5,74,70,69.1,52,44.7,34.4,54.8
1931,36.8,41,40.9,51.1,M,69.7,75.1,71.3,69.9,57.6,50.9,45.7,55.5
1932,45.2,43.9,40.1,53.1,61.2,70.1,74.6,72.6,66,55.6,43.8,42.3,55.7
1933,42.8,M,45.1,53,65.7,69.7,72.2,70.7,70.1,55.6,44.6,45.9,57.8
1934,40.6,M,44.3,54.4,62.7,71.8,75.4,73.2,68.1,55.3,47.5,35.3,57.1
1935,39.9,39.9,52.1,54,63.4,67.7,73.4,73.3,67.4,56.5,49.3,31.7,55.7
1936,33.9,35.8,48.1,54.3,64.8,71.3,74.2,74,69.7,58.4,45.4,42.8,56.1
1937,50.4,38,42.1,51.8,62.1,71.8,72.3,74.3,66,52.3,41,37.1,54.9
1938,36.1,43.9,50.5,55.1,62.8,67.6,72.2,73.9,66.5,54.3,45.8,37.2,55.5
1939,37.8,43.3,47.6,52.5,62.5,73,72.3,71.5,67.8,57.3,41.5,37.3,55.4
1940,24.2,36.5,42.4,51.9,59.2,68.5,70.8,69.8,63.2,55.3,44.8,40.9,52.3
1941,36.8,32.6,38.2,55.6,63.5,71,74.3,74,69,61.8,45.2,M,56.5
1942,34.3,31.9,45.1,54.5,63.5,71.9,74,71.8,66,55.2,46.8,36.9,54.3
1943,38.2,38.3,40.8,49.9,63.5,74.3,73.1,73.9,62.8,51.7,M,37.5,54.9
1944,36.5,42.1,43.6,52.4,65.4,71.2,71.3,70.3,66.1,54.9,43.4,32.1,54.1
1945,35.6,38.9,53.9,55.7,58.2,68.8,73.4,72.1,69.5,54.7,45.2,M,56.9
1946,37,M,52.5,55.5,61,68.3,73.4,69.6,65,55.8,49,38.9,56.9
1947,41.7,29.3,36.6,56.8,61.3,69.1,68.9,73.9,68,59.3,43.8,36.2,53.7
1948,29.1,40.9,48.5,58.2,61.8,69.9,73.4,70.2,65.7,51.8,49.2,39.3,54.8
1949,45,43.4,43.7,51.9,62.9,70.7,75,72.8,63.7,M,40.9,39.7,55.4
1950,48,41.9,41.9,49.5,65.5,69.4,71,70,64.9,58.5,40.8,32,54.5
1951,35.2,38.6,45.3,51.8,61.2,69.9,73.9,73.4,66.9,57.5,39.5,37.8,54.2
1952,41.6,40.7,44,53.5,63.5,75.9,76.1,73.1,65.8,51.8,43.8,37.1,55.6
1953,39.9,40.1,46.5,52.1,67.7,73.9,74.1,73.2,65.6,56.6,43.3,34.8,55.7
1954,38.4,40.6,43.3,59.2,57.2,70.4,74.3,73.2,68.1,56.6,41.4,35.4,54.8
1955,35.1,37.4,47.3,56.7,65,65.2,74.9,74.4,68.3,55.5,41.8,34.9,54.7
