Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,40.1,40.4,47.9,58.2,67.1,74.5,78.9,79.8,74.7,64.1,52.4,41,59.9
1901,41.1,39.4,49.3,50.9,66.3,74,78.6,75.9,69.3,58.1,42.4,39.8,57.1
1902,37.5,34.8,50,55.6,71.1,75.8,78.8,76.5,67.7,60.6,54.1,42.6,58.8
1903,39.9,44.3,58.5,56.9,69.5,70.2,78.9,78.5,69.7,59,47.7,36.7,59.2
1904,37.8,38.7,52.1,55.7,66.7,73.7,76.7,75.7,69.9,57.3,47,40.6,57.7
1905,37.2,35.2,54.6,59.1,68.9,76,77.6,74.4,72.1,59.1,50.8,40.9,58.8
1906,44.3,41.9,46.3,60.4,66.1,75.1,76.1,78.1,74.1,57.5,48.9,44.6,59.5
1907,49.4,40.1,57.1,52.7,65.3,71,77.9,75.6,72.8,56.8,47.9,42.1,59.1
1908,40.1,38.1,57.1,61.8,67.5,72.7,76.6,75,67,56.9,51.1,46,59.2
1909,46.4,49.4,50,61,66,76.8,75.4,76,71,57.8,55.7,38.9,60.4
1910,43.1,42.9,56.2,60.2,66.7,72.7,77.9,77.2,73.4,63.9,46.9,38.4,60
1911,46.4,47.7,51,57,70.1,79.2,78.7,79,76.3,63.7,48.5,46,62
1912,36.6,39,49.6,61.4,70,72.7,78.6,77.6,76.8,61.5,49.3,46.2,59.9
1913,51,44.9,54.1,59.1,68.2,74.5,80.7,76.8,68.6,60,50.4,45,61.1
1914,44,41,46.9,60.5,M,79.3,78.4,77.6,68.6,62.3,M,40.2,59.9
1915,41.7,45.9,43,61,70.1,72.9,79.6,77.5,74.4,63.8,53.1,41.5,60.4
1916,49.1,45.7,51.4,58.9,72.4,74,77,77.8,70.5,60.9,51.8,42.8,61
1917,46.4,45.5,50.5,62.3,63.1,75.1,78.7,76.5,68,57.4,47.4,34.8,58.8
1918,34.2,49.5,57.3,58.4,71.8,75.2,75.7,78.1,67,64.9,50.7,48.4,60.9
1919,44.7,43,53.7,59.7,69.4,75.6,78.5,77.9,71.8,72,53.4,42.9,61.9
1920,43.8,41.4,49.4,59.3,64.7,75.7,79,76.7,73.8,61.5,50.3,43.5,59.9
1921,44.4,47.1,61.7,62.2,65.8,77.6,79.3,76.6,79.4,61.2,54.9,47,63.1
1922,42,50.5,53.4,62,68.6,77.4,78.9,75,73.8,61.8,51.5,47.1,61.8
1923,45.8,43.6,54.3,58.6,65.9,76.8,78.6,77.7,73.7,60.5,48.7,50.9,61.3
1924,41.1,41.4,48.6,59.3,65.8,77.8,77.1,80.1,68.4,59.2,52.5,45.2,59.7
1925,42.2,50.4,53.9,63.3,66.3,79.7,80.8,77.8,81,62.2,49.2,42.6,62.5
1926,42,47.9,46.2,58.5,69.5,76.5,80.4,80.1,76.6,64.3,48.1,46.7,61.4
1927,44.5,54.1,54.4,61.7,70.2,73.5,78.5,75.3,74,63.3,55.6,44.5,62.5
1928,43.8,43.7,51.4,57.6,66.3,75.1,79.7,79.4,69.6,63.8,51.5,43.7,60.5
1929,44.6,43.2,56.4,62.4,67.7,73.9,76.9,76.1,71.5,59.1,52.5,44.4,60.7
1930,45.3,50.1,49.5,61.8,70.7,74.2,80.7,75.2,76.4,58.2,48.8,39.4,60.9
1931,42.6,45.5,46.7,57.9,66.8,76.9,82.3,77.6,77.3,63.5,57.3,51.9,62.2
1932,52.9,51.3,48.7,58.7,67.1,77.6,81.7,78.3,72.1,62.1,49.3,47.1,62.2
1933,50.2,46.4,52.5,59.7,73.7,77.8,78.3,78.7,77.5,62.1,50.3,49.6,63.1
1934,45,37.1,49.4,61.3,67.6,78.3,82.4,79.4,74.4,60.4,53.2,41.5,60.8
1935,43.3,45.2,57.6,59.6,68.9,77.7,80.4,79.5,72.2,62,54.5,35.4,61.4
1936,38.8,40.6,55.2,57.6,72.8,78.2,82.5,80.1,75.2,64.3,51.1,44.9,61.8
1937,53.1,45.7,50.6,59.1,70,78.4,79.1,79.4,70.2,60,47.9,42,61.3
1938,43.4,49.6,58.3,60.8,71,74.2,78.6,79.7,72.8,61.1,55.4,42,62.2
1939,45.3,52,55.9,60.5,68.9,81.1,78.3,76.8,74.4,65.8,51.1,48.3,63.2
1940,34,M,51.5,58.5,68.1,78.5,79.3,78,71,62.7,52,48.8,62
1941,45.2,41.2,48.6,62.7,72.2,77.4,79.7,79.1,75.3,69.4,52.3,47.5,62.5
1942,43.2,41.3,54.7,63.2,70.4,77.8,80.1,78,74.5,63.2,54.6,44,62.1
1943,45.8,48.1,51,60.5,71.5,81.6,79.8,80.1,70.2,61,51.1,44,62.1
1944,42.4,48.8,52.2,61.1,72.8,80.7,77.4,77.2,74.7,61.3,50.1,39.6,61.5
1945,42.2,47.3,62,64.4,66.3,77.9,79.8,77.2,75.8,61,54.1,39.1,62.3
1946,44.8,47.5,59.3,62.5,68.9,76.4,76.8,75.2,71.8,62.6,56.4,48.1,62.5
1947,48,39.6,44.7,63.5,70.3,76.1,76.1,79.9,74.3,65.7,49.5,43.6,60.9
1948,38.7,44.8,57.6,63.8,70.2,77.2,81.3,78,71,58.8,56.6,50.2,62.4
1949,52.8,53,53.7,59.9,68.8,76.6,80.2,76.7,69.5,65.1,51.3,46.2,62.8
1950,55.2,48.9,50.6,59.4,71,78,78,76.5,71.5,65.2,50.1,40.2,62.1
1951,45.1,47,52.9,59.9,67.6,77.6,79.7,80.1,73.5,66.3,49.7,47.6,62.3
1952,50.1,47.4,52.4,60.7,70.4,80.7,80,77.6,71,58.3,52.8,43.9,62.1
1953,48.8,49.9,53.1,60.7,73.6,76.6,79.2,76.2,70.6,M,50.6,43.2,62
1954,41.6,M,51.8,64.5,63.9,76.7,80.1,80.1,76.7,64.2,47.8,41.5,62.6
1955,41.8,46.5,54.9,64.4,70.9,71.4,79.8,78.9,72.3,59.7,50.2,40.2,60.9
1956,40.1,48.6,51.9,58.9,69.6,76.2,79.5,79,69.8,62.7,50.6,54.5,61.8
1957,45.1,50.8,50.2,63.5,69.3,76.7,78.3,76.2,73.3,56.8,53.2,46.3,61.6
1958,36.8,37.8,46.6,60.5,69,75.4,79.3,78.1,71,59.4,54.4,39.5,59
1959,42.5,47.2,49.7,62.1,70.7,75.6,78.1,78.6,71.2,62.8,52.1,44,61.2
1960,42.9,43,40.1,63.3,67.1,75.6,77.2,78,72.2,62.2,51.9,38,59.3
1961,38.5,46.9,55,55.2,65,73,77.9,76.5,73.5,59.9,55.4,43.6,60
1962,41.7,48.4,48.2,58.1,73.7,74.3,77.9,77.1,70.5,63.4,50,40,60.3
1963,38.7,38.7,56.1,62.1,67.8,73.9,76.1,77.2,69,61.2,52.6,35.8,59.1
1964,42.4,41.1,51.7,61.3,68.9,77,76.2,75,70.2,56.5,55.1,46.3,60.1
1965,43,45,48.4,62,72.5,72.8,76.6,77.6,72.3,59.7,52.4,44.9,60.6
1966,36.8,43.3,49.9,59.3,67.6,72.7,78.6,76.8,70.2,58.5,51.2,42.4,58.9
1967,45,41.4,54.7,63.4,65,72.3,76.7,74.5,65.3,58.9,46.9,47.2,59.3
1968,36.8,37.7,53.3,60.9,66.3,74.8,77.6,79,71.6,61.5,51.9,40,59.3
1969,39.6,40.8,46,61.1,67.7,76.7,79.5,74.5,69.6,61.3,48.2,40.3,58.8
1970,36.5,43.3,51.1,62.3,68.8,75,79.5,77.2,74.9,62.7,50.9,46.8,60.8
1971,42,43.3,48.4,59,65.7,76.6,76.9,75.8,73.2,65.8,50.4,53,60.8
1972,47.3,42.9,51.9,60.1,65,72,77.4,76.8,72.9,59.3,50.7,48.5,60.4
1973,41.8,42.1,56.7,59.5,66.7,75.7,78.4,77.8,75.3,63.1,55.6,44.3,61.4
1974,53.7,46.8,57,61.5,69.9,73,77.1,76.2,69.8,58.6,50.9,44.4,61.6
1975,47.5,48.6,50.5,59.5,70.8,75.2,76.5,79.1,72.7,64.1,54.6,43.1,61.9
1976,40.6,52.9,57.8,61.9,66.3,73,77.5,75.7,70.5,56.6,46.2,41.1,60
1977,31.1,43.7,56.2,64.6,71,75.8,82.3,79.2,74.3,58.7,53.9,42.8,61.1
1978,36.2,37,50.3,62.1,67.4,76.3,78.5,78.7,74.7,60.2,55.1,46,60.2
1979,39.1,39.9,54.6,61,68.2,72,76.9,78.3,72.1,61.2,54.4,45.1,60.2
1980,42.9,40.3,49.3,61.6,69,75.6,81.6,82,75.5,59.6,49.2,43.5,60.8
1981,37.3,45,49.4,64.8,66.8,79.9,79.5,75.6,70.7,59.5,51.1,40,60
1982,37.3,47.3,54.2,57.8,71.7,75.2,79.1,76.4,70.4,61.6,53,49.4,61.1
1983,39.3,42.8,52.6,56.6,67.6,75,81.2,80.5,72.2,62.5,52.2,41.5,60.3
1984,39.4,47,52,57.6,67.7,76.2,76.4,77.2,69.3,67.8,48.9,51.4,60.9
1985,36.5,43.1,55.5,62.4,68.6,75.6,77.3,75.4,69.6,64.9,59.8,41.3,60.8
1986,40.2,48.2,52.7,61.8,69.5,79.2,82.1,75.7,72.9,62.8,53.4,42.6,61.8
1987,40.5,42,49.3,57.4,70.2,76.8,79.6,79.7,72.1,54.8,53,45.7,60.1
1988,36.3,42.8,51.5,59.7,66.1,74.7,M,79.2,70.6,54.9,52.9,42.5,57.4
1989,45.7,46.6,53.5,59.3,65,76.4,77.2,75.7,71.6,61.5,51.2,36.2,60
1990,48.6,50.8,54.6,59.8,68.1,75.6,78.8,78.2,72.1,63,53.4,49.1,62.7
1991,42.7,47.4,54.3,62.8,72.1,75.2,79.9,76.4,70.9,61.3,49.3,47.5,61.6
1992,43.9,47.8,50.7,60.4,64.2,72.2,80.6,74.8,71.2,58.3,51.5,42.6,59.9
1993,44.5,42,48.9,57.9,68.9,76.9,83.2,77.8,73.8,60.3,50.9,41.8,60.6
1994,38.4,45.8,54.7,63.1,65.2,76.9,78.3,75.1,68.5,59.7,54.2,47,60.6
1995,41.5,42.5,53.8,62.4,69.4,73.5,79.9,79,69.4,62.6,47.9,39.7,60.1
1996,39.6,45.8,48.1,60.3,70.5,75.7,78.5,75.6,70.8,60.3,46.8,45.5,59.8
1997,42.9,47.6,57.7,57.4,64.9,71.7,79.3,75.5,71.7,61.2,47.1,41.7,59.9
1998,45.2,46.9,50.1,60.7,71,78.2,80.2,77.3,74.2,62.9,53.2,48.4,62.4
1999,47.4,47.2,48.4,63.3,67.1,74.2,80.3,80.3,70.4,60,55.6,45.2,61.6
2000,40.7,46.7,56.3,59.4,71.3,78,77.9,76.9,70,60.7,48.9,35.2,60.2
2001,41.4,49.4,49.4,62.7,69,76.3,76.5,79.5,68.6,59.3,56.4,48.4,61.4
2002,44.1,45.5,54.2,65.2,66.2,77.4,81.1,78.6,73.6,63.4,49.7,40,61.6
2003,37.5,41.6,52.3,57.4,66.5,74.2,78.5,79.4,71.4,61.5,56.3,40.9,59.8
2004,40.3,40.9,54.9,60.7,74.3,77.5,79.1,75.9,71.1,63.2,55.2,43.1,61.4
2005,44.3,44.8,48.5,59.2,64.5,74.9,80.8,79.7,75.6,61.8,52.3,39.6,60.5
2006,47.6,42.9,52.1,64.1,65.9,74.6,79.4,79.2,M,58.1,51.6,47.3,60.3
2007,44.3,40.3,55.7,58.6,68.1,76,78.5,84.5,74.6,66.5,50.4,48.8,62.2
2008,40.6,47.5,52.3,58.5,67.2,79.7,78.6,77.6,72.6,M,M,46.3,62.1
2009,40.3,43.3,50.8,60.1,68.9,77.5,75.8,M,72.3,59.8,53.5,41.1,58.5
2010,38.7,38,M,62.6,70.4,80,81.4,80.8,76.4,62.7,51,35.4,61.6
2011,36.9,47.7,51.2,61.5,69.5,79.4,82.6,79.6,71.9,59.4,M,M,64
2012,46.8,46.7,60.8,62.2,72,M,82.9,76.9,71.9,M,48.8,M,63.2
2013,45.4,M,44.3,59.9,66.6,M,78.4,75.9,72.2,62.7,47.6,46.2,59.9
2014,35.5,45.1,45.5,60.6,70.1,77.6,77.7,76.6,72.7,63.2,46.7,45.6,59.7
2015,39.7,36.6,52.4,61.1,70.9,80.5,82.1,79,73.9,61.4,54.6,55.5,62.3
2016,39.4,44.4,57.9,61.2,68.5,79.2,83.7,82.2,77.3,64.5,53.5,44.9,63.1
2017,46.6,52.4,52,64.9,69.4,75.9,81.1,78.2,72.8,64,51.3,44.4,62.8
2018,36.7,53.1,48.8,58.4,73.6,79.6,80.2,79.7,78.9,64.1,47.7,45.7,62.2
2019,43.5,48.6,50.2,61.8,74.7,76.4,82,79.7,78.1,66.5,48.1,47.3,63.1
2020,46.9,47.2,56.8,59.7,65.3,75.4,81.5,79,71.4,64.4,55.5,42.5,62.1
2021,42.3,42.1,54.4,60.3,67.7,75.9,79.2,79.9,72.2,65.6,49.1,52.2,61.7
2022,40.6,47.6,54.4,60.9,70.9,77.8,80.9,78.6,72.3,58.4,54.6,42.4,61.6
