Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,60.1,58.3,61.7,42.4,34.7,M,51.4
1926,M,25.2,25.5,38.6,M,54.7,59.6,61,58.7,44.7,33.5,M,44.6
1927,M,M,M,37.2,47.6,54.9,59.3,M,54.9,46.3,39.5,M,48.5
1928,M,28.6,34,36,46.9,52.7,59.6,58.2,53.3,47.4,37,M,45.4
1929,M,29,35.9,43.5,48.3,56.3,58.7,59,53.6,M,M,M,48
1930,M,32.1,28.3,42.5,51.5,51.7,60.8,55.7,53.9,38.7,31.9,M,44.7
1931,M,30.9,25.4,38.2,48.1,58.5,61.4,58.5,58.4,49.2,43.3,38.5,46.4
1932,34.9,30.9,25.9,39.5,46.4,56.2,58.4,56.3,54.1,43.8,33.2,35.9,43
1933,31.1,26.7,29,39.6,53,58.1,58.3,57.7,57.7,46.2,31.6,34.6,43.6
1934,28.2,20.3,32.6,40.6,50.3,57.1,61.7,59.3,55.1,46,37.3,21.9,42.5
1935,26.1,23.6,38.3,40.6,48.6,54.1,59.4,58.4,54.3,46.5,37.4,16.6,42
1936,M,22.1,32.5,37.5,52.3,59.2,60.6,59.6,56.8,46.7,32.9,34.1,44.9
1937,39.5,M,30.5,40.3,49.7,56.6,58.5,59.9,53.3,39.1,31.5,29.1,44.4
1938,25.2,28.5,36.5,43.2,48.3,54.1,58,59.7,54.9,47.3,M,28.3,44
1939,28.8,31,33.7,36.2,49,59.1,60,58.7,57,49.7,34.8,28.8,43.9
1940,M,M,M,36.7,47.8,56.4,58.4,57.2,52.4,47.5,34.2,34.8,47.3
1941,26.1,19.1,25.8,44,51.5,56.3,60.2,60.9,56.9,51.8,38,32.9,43.6
1942,23.4,18.2,29.7,43.5,49.3,57.5,59.7,58.2,54.2,45.4,36.2,27.1,41.9
1943,30.7,26.7,31.5,36.3,49.2,60.4,59.4,60.6,51.6,43.2,33.7,28.1,42.6
1944,29.3,31.9,33.8,38.7,53.8,58.3,57.9,57.4,53.5,44.3,32.2,24.8,43
1945,22.8,30.1,40.8,44.2,45.1,57.3,59.6,58.6,55.7,45.1,34.3,23.2,43.1
1946,M,28.9,38.4,42.7,47.8,56.1,59,55.6,M,48.2,44.1,33.2,45.4
1947,35,17.5,20.8,43.2,48.3,55.3,55.5,59.9,54.3,47.8,32.4,32.5,41.9
1948,21.9,33.1,37.4,44.7,48.7,56.7,M,58.3,52.3,42.3,39.6,32.3,42.5
1949,36.6,33.9,32.1,38.2,49.9,57.3,60.2,57.6,50.4,48.9,31.2,32.8,44.1
1950,39.4,30.1,28,37.4,52,54.8,56.2,55.7,52.3,M,30,22,41.6
1951,28.4,30.5,31.4,38.3,46.9,55,58.6,58.5,52.7,46.3,31.3,29.5,42.3
1952,31.8,29.9,33.2,40.1,50,61.2,60.5,57.8,52,43.6,34.6,30,43.7
1953,28.8,28.3,33.1,38.5,52.8,57.7,57.6,57.5,52.8,47,35.7,29.6,43.3
1954,29.9,29.3,32,46.9,45.2,58.3,61.6,60.4,57.6,46.1,31.5,25.2,43.7
1955,24.6,28.5,34.7,46.4,53.5,52.5,60.8,60.5,56,45,33.2,27.4,43.6
1956,23.3,31.2,31.3,38.9,52.7,56.3,58.5,58.9,M,46.1,32.7,36.2,42.4
1957,26.8,33.5,30.6,43.4,51.5,57.1,59.4,58,55.1,40.4,35.4,28.1,43.3
1958,19.8,15.1,28.8,40,51.2,56.8,58.9,58.7,53.2,44.4,38.6,25.5,40.9
1959,23.5,29.6,30.2,43,51.7,M,58,59.5,53.6,46.4,33.9,30.8,41.8
1960,26.3,23.7,20,43.8,46.8,56.2,57.9,58.7,54.1,46.1,36.6,23.1,41.1
1961,21.3,32.4,36.4,33.7,44.9,53.2,57.4,57.3,55.3,44.6,37.7,29.2,41.9
1962,26.2,33.9,29.8,36.8,55.5,54.6,58.5,58,51.3,44.6,32.4,22.8,42
