Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,58.4,42.8,M,50.6
1940,24,38.1,43.7,52.7,59.9,69.4,70.9,70.7,63.7,55.2,46,42.1,53
1941,38.4,34.4,41.2,55.4,63.7,70.1,73.2,73,68.2,61.6,45,41.5,55.5
1942,36.6,35.5,46.9,56.6,63.1,71.6,73.1,70.7,66.8,57.1,47.8,39.8,55.5
1943,40.5,41.8,44.1,53.5,65.1,73.2,72.5,73.4,62.9,53.9,43.7,39.4,55.3
1944,39.7,44.1,47.5,55.1,65.5,M,71.5,M,68.9,55.5,45.4,36.4,53
1945,39.3,43.3,56,58,60.7,70.1,72.7,71.1,69.8,54.9,48,32.2,56.3
1946,40.2,42.6,52.5,57.5,61.2,68.3,72.6,70.3,65.9,56.5,51.5,44.2,56.9
1947,45.4,33.9,39.5,58.9,62.4,68.8,69,73.6,67.9,60.3,45.5,39.8,55.4
1948,33.3,43.9,50.9,58.8,62.6,69.3,73.4,70.8,65,53.1,50.6,43.2,56.2
1949,47.6,46.8,47.2,53.5,63.1,70.2,74.5,71.4,63.6,61.5,45.6,41.6,57.2
1950,50.6,44.7,44.9,52.1,65.4,70.3,70.9,69.7,65.2,59.6,42.4,35.6,56
1951,38.5,41.8,48.1,53.9,61.5,69.8,73.1,73.8,67.5,58.6,42.7,41.1,55.9
1952,45.4,43.3,47,55.6,63.4,74.7,73.9,71.6,65,52.5,45.4,38.4,56.4
1953,42.5,42.8,49.3,54.8,68.1,73.1,73.3,71.9,65,57.2,44.5,37.9,56.7
1954,39.5,42.5,46,59.4,57.2,68.8,73.5,72.7,66.6,55.5,40.4,35.1,54.8
1955,36,39.7,48.2,57,63.1,63.8,72.5,72.6,67,53.9,43.8,35.8,54.4
1956,34.6,43,45.8,51.8,63.9,67.2,71,70.5,62.9,56.5,43.7,46.7,54.8
1957,39,46,44.9,57.5,63.7,70.5,71.9,69.8,67.4,52.1,47.6,40.5,55.9
1958,32.9,30.9,43.2,54.8,64.5,70.1,72.6,71.9,65.4,55.4,49.6,36.6,54
1959,37.6,43.2,44.8,56,65,67.9,72.2,73.2,66.6,59.3,45.8,40.8,56
1960,38.8,38.5,35.3,57.1,59.4,69.3,72,72.6,67.4,58.5,47.2,33.7,54.2
1961,33.9,43.9,50.3,51.2,59.4,67.7,70.1,70.1,67.2,54.9,50.4,40,54.9
1962,36.5,43.7,42.4,50.6,66.9,68,70.8,69.2,62.4,56.5,43,33.9,53.7
1963,31.8,32.5,47.8,56.2,61.8,67.6,69.4,70.1,64.1,56.2,44.6,29.7,52.7
1964,34.6,33.2,43.9,53.4,62.4,69.5,69.7,69.5,64.2,50.4,47.9,37.5,53
1965,35.7,35.4,41.2,55.7,64.2,65.6,71,70,66.3,53,46.1,38.5,53.6
1966,31.4,36.5,43.1,51.8,60.9,66.5,71.1,70,63.2,52.2,45.5,37.3,52.5
1967,38.9,35.9,48.3,56.7,58.9,66.1,67.9,67.9,60.2,52.9,40.9,41.6,53
1968,33.9,30.9,44,54,58.5,67.1,71.3,71.8,62,54.2,42.8,33.5,52
