Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,79.5,74.9,64.1,49.8,44.6,62.6
1937,50.9,44.8,51.1,59.4,70,79.4,79.9,80,70.6,58.6,48.2,42.3,61.3
1938,42.4,49.6,57.9,60.7,70.4,74.8,78.5,80.6,74,62.5,54.2,42.8,62.4
1939,43.7,49.7,55.7,60.8,69.8,80.4,80.1,78.4,76,65.9,48.7,44.1,62.8
1940,31.1,43,48.8,58.8,68.5,78.4,78.7,78.5,72.3,63.1,51.6,46.7,60
1941,42.2,39.8,46.5,59.6,67.5,76.8,79.5,80,76.6,68.7,51.9,45.7,61.2
1942,40.8,40.1,52.4,63.7,70.4,78.4,81.2,79.2,74.4,64.7,52.8,41.7,61.7
1943,45,46.8,49.5,59.6,71.7,80.6,79.2,80,70,60.2,49.9,44,61.4
1944,42.6,48.2,51.5,60.4,72.9,79.5,78,77.6,74.6,62,50.1,38.7,61.3
1945,42,46.9,61.1,63.8,66.6,78.2,79,77.6,75.9,60.3,52.9,37.4,61.8
1946,41.7,46.4,59.3,60.6,66.9,76.3,77.4,76,71.6,61.1,54.7,47.3,61.6
1947,46.3,37.6,43.8,62,69.9,74.9,75.3,79.2,72.3,63.6,48.1,42.3,59.6
1948,36.2,44.3,55.7,63.5,70,77.3,80.4,77.1,70,58,54.4,45.5,61
1949,51.3,50.7,53,59.2,70,78.2,81.2,77,70.1,65.7,49.4,42.9,62.4
1950,51.2,47.6,48.8,58.9,71.6,76.4,76.7,75.9,69.3,62.6,45.9,36.9,60.2
1951,40.6,42.8,50.7,58.6,67,75.9,79.6,78.3,71.7,62.7,44,42.5,59.5
1952,46.9,42.6,49.5,59.6,69.5,81,80.5,76.3,69.2,55.3,49,40.9,60
1953,43.9,45.2,50.7,58.8,72.9,77.2,79.1,77.2,69.3,61.4,48.7,40.7,60.4
1954,40.9,45.5,48.8,62.8,63.2,76.6,80.9,80.2,75.2,63.3,46.2,39,60.2
1955,39.7,42.9,52.7,63.4,70.4,70.5,79.6,79.2,72.8,59.4,48.2,37.1,59.7
1956,37.7,45.2,48.5,56.6,68.3,75.5,78.8,78.4,69,61.6,47.3,49.4,59.7
1957,41.6,47.7,48.6,61.9,69.1,75.7,78.3,75.5,71.9,55.5,50.4,42.5,59.9
1958,33.8,33.7,45,57.8,68.4,75.9,78.9,78.1,70.8,58.6,53.3,36.8,57.6
1959,37,42.6,45.5,59.2,68.9,73.2,77.1,78,70.2,59.8,47.2,40.4,58.3
1960,39.6,37.7,36.5,59.8,64,74,76.5,77.4,70.6,60.2,47.5,33.9,56.5
1961,34.5,42.9,50.4,51.8,61.7,70.9,74.4,74.1,71.3,56.4,52.6,40.1,56.8
1962,35.7,42.5,44.8,54.4,71.2,72.7,74.9,74.2,67,59.3,46.3,35.6,56.6
1963,32.4,33.8,49.8,58.9,64.5,71.7,73.9,74.2,68,58.8,48,32.3,55.5
1964,36.9,35.7,46.7,57.1,66,74.8,75,72.5,67.7,52.7,51.7,41.3,56.5
1965,39.1,39.7,44.1,57.7,69.5,70.2,75.6,74.9,69.6,55.8,48.8,40.1,57.1
1966,34,38.9,46.3,55.5,M,70.7,76.9,74.2,67,54.8,48.7,M,56.7
1967,40.5,M,55.2,64.6,65,72.2,75.1,M,M,59.2,M,46.1,59.7
