Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,45.2,42.2,49.6,62.1,62.4,72.4,76.5,74.5,67,53,49.1,33.5,57.3
1918,32.5,48,55.6,56.6,69,M,73.3,76.4,64.5,61.9,48.6,46.2,57.5
1919,42.7,40.8,52.3,59,66.7,74.9,76.5,76,72,69.2,52.3,42.3,60.4
1920,41.1,M,48.5,56.6,63.7,73.4,76.5,74.7,72.4,61.5,49.8,43.6,60.2
1921,43.6,46.9,M,M,64.4,76.1,78.3,76.8,76.9,58.6,54.6,M,64
1922,M,46.4,M,65.8,65,M,77.2,M,M,61.3,49.9,47.7,59
1923,44,43.1,M,56.9,64.8,75.1,77,78,72.8,59.1,49.8,48.5,60.8
1924,37.3,40.4,46.4,58,63.7,76.3,76.2,79.2,M,M,M,M,59.7
1925,M,M,54.1,62.5,64,77.4,78.9,76,76.5,57.7,47.5,42.5,63.7
1926,42.3,46.4,44.3,57.9,67.3,73.3,77.3,77.2,73.8,61.4,46,45.1,59.4
1927,42.3,52.8,52.4,59.7,65.9,69.7,74.7,73.6,73,63.4,54.1,43.4,60.4
1928,42.3,43.9,51.1,56.5,63.8,70.9,75.9,75.6,67.7,63,51.9,43,58.8
1929,43.1,40.4,M,59.6,64.9,71.5,74.7,75,69.2,58.5,50.3,44.7,59.3
1930,43.5,M,M,59.9,68.2,71.8,79.9,74.6,M,56.2,47.4,38,59.9
1931,42.5,45.4,46.4,57.1,64.7,74.5,79.9,75.7,74.8,62.4,56.2,50.6,60.9
1932,49.8,51.7,48.1,59.1,65.7,74.4,80,76.1,70.3,60.2,48.3,44.8,60.7
1933,48.7,43.6,51.4,57.2,71,76.1,75.9,75.7,74.6,59.9,50.2,49,61.1
1934,44.4,38,47.6,59.1,66.6,75.6,79.5,76.4,71.9,60.2,51.2,41.1,59.3
1935,41.5,42.6,55.1,58.8,65.7,73.7,76,74.2,M,60.2,53.8,37.1,58.1
1936,38.4,41.1,53,57,69.1,74.5,78.5,75.6,71.2,61.1,49.5,44.8,59.5
1937,51.2,44.3,50.4,57.2,66.5,75.7,76,74.9,66.5,56.6,47.6,42.5,59.1
1938,M,49.7,57.1,58.9,67.8,71.4,74.8,76.8,70.1,59.9,53.1,43.8,62.1
1939,45.3,48.9,54.4,59,66,77.2,76.8,74.9,72.9,63.7,49.3,46.7,61.3
1940,32.4,43.6,48.5,57.6,66.1,74.7,75.5,75.3,68.2,60.6,50.4,46.5,58.3
1941,43.8,40.7,46.4,61.7,68.5,74.3,76.7,76.2,72,67.2,51.1,M,61.7
1942,42.1,41,51.4,62.3,68.3,76.1,78.7,74.3,69.8,61.2,51.8,42.1,59.9
1943,45.2,46.8,48.8,58.4,70.1,78.4,76.4,78.5,68,59.2,M,46.2,61.5
1944,43.3,48.4,51.1,58.8,70.4,77.2,74.5,74.1,71.1,60.4,50.1,M,61.8
1945,44.2,46.9,60.6,62.8,65.5,75.9,77.1,75.4,73.4,59.8,52.8,M,63.1
1946,43.9,46.8,58.5,61.8,66.1,74.3,76,74,69.6,60.8,55.6,M,62.5
1947,46.8,38.9,44.4,63.3,67.4,73,73.9,77.7,71.9,64,49,M,60.9
1948,37.1,46.3,56.8,63.3,68.7,74.9,78,74.8,68.5,57.6,54.2,48.5,60.7
1949,51.4,50.3,52.9,58.2,67.3,74.3,78.3,74.2,67.5,64.2,50.3,M,62.6
1950,54.1,48.4,49.5,57,69.1,74.1,74,73.1,68.3,63.3,47.8,M,61.7
1951,43,45.9,52.2,58.8,66.7,74,77.7,77.9,71,63.7,46.5,44.1,60.1
1952,49.2,47.4,51.4,60.4,68.5,80,78.6,75.3,69.4,57.6,51.5,M,62.7
1953,46.1,48.1,54.7,60.2,72.4,76.1,77.5,76.5,70.1,62.3,52.4,M,63.3
1954,44.8,49.7,52.5,63.9,64,74.8,79.2,79,74.4,63.5,47.6,41,61.2
1955,43.5,45.7,54.8,64.2,69.5,70.7,78.4,78.7,73.1,60.9,51.8,M,62.8
1956,41.5,48.4,53.4,58.9,69.4,75,77.3,77.7,69.7,62.5,50.8,53,61.5
1957,45.4,50.9,51.7,63.3,69.7,75.4,77.5,75.6,72.1,58.1,53,45.8,61.5
1958,38.7,38.8,48.1,60.8,69.2,75.3,77.8,77.4,70.4,60.2,56.5,42,59.6
1959,42.4,47.6,50.5,61.7,70.7,74.7,76.8,78.8,71,63.3,50.4,M,62.5
