Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,35.3,36.3,43.5,52.5,61,68.5,71.8,71.4,67.2,58.4,45.8,37.5,54.1
1901,M,34.2,45.8,45.7,59.3,67.8,71.2,M,61.8,51.4,38.9,35.9,51.2
1902,37.8,32.2,46,51.1,64.4,67.9,71.2,72.3,63.1,57.7,54.1,42.1,55
1903,37.3,42.3,54.3,54.8,63.7,63.9,70.1,69.7,63,54.3,42.7,31.8,54
1904,33.3,34.4,42.7,47.6,62.2,66.2,68,70.7,67.4,51.9,45.1,36.4,52.2
1905,M,M,51.2,55.3,64.2,68.1,70.9,68,66.1,54.9,47.7,37.2,58.4
1906,40.2,37.9,44.7,55.1,61.1,68.7,68.9,71.9,M,52.9,45.7,42.6,53.6
1907,46.7,40,54.8,48.3,59.2,64.3,71.1,68.1,63.2,50.7,43.6,37.4,54
1908,34,35.5,53.5,57.5,M,67.2,71.8,71.6,64.2,53.1,49.4,42.1,54.5
1909,45.1,M,45.5,56.8,61.1,69.9,68.7,69.5,64,52.4,50.7,M,58.4
1910,34.4,30.2,49.8,53.7,58.3,64.9,70.8,69.9,66.5,56.9,42.1,31.6,52.4
1911,42.1,44.3,46.5,50.8,63.5,70.4,70,71.3,70.5,60.7,42.8,42.8,56.3
1912,33.6,32.7,44.8,56.6,62.5,66.5,71.4,69.3,68.7,56.7,42.5,39.5,53.7
1913,43,38.8,46.7,52.2,61.7,67.9,73.5,72,63.9,53.6,47,39.6,55
1914,38.4,35.5,42.4,56.4,62.1,73.6,71.6,71.6,65.2,57.5,43.4,36.6,54.5
1915,37.4,41.1,35.9,54.3,64.2,66.6,70.1,69.4,M,M,M,M,54.9
1916,M,M,M,M,M,M,M,71.5,64.9,56.5,45.7,38.7,55.5
1917,44,40,49.1,54.9,55.1,66,70.2,68.9,M,48.6,M,M,55.2
1918,M,M,M,M,M,M,M,M,62.2,58.8,46.3,44.7,53
1919,36.4,M,M,M,M,68.9,71.8,70.2,65.6,65.1,47.4,35.3,57.6
1920,39.1,35,44.3,54.4,59.8,66.6,69.6,69.3,M,M,44.5,39.3,52.2
1921,39.7,43.6,56.2,M,59,M,71.6,M,70.5,53.8,50.5,M,55.6
1922,M,M,M,56.6,61.1,67.9,70.4,M,M,M,M,M,64
1923,M,M,M,M,M,68.5,70.8,69.6,66.1,53.2,42.8,46.1,59.6
1924,34.1,35.7,41.1,53.2,57.6,70.2,69.1,70.7,60.8,52,45.8,40.3,52.5
1925,37.7,43.9,46.6,57.1,57.9,68.9,71.2,68.1,70.1,53.9,43.9,37.2,54.7
1926,M,M,40,51.9,61,66.2,M,71.2,69.3,55.2,M,M,59.3
1927,M,M,M,M,62.8,67.9,71.5,67.7,65.4,55.7,M,38.3,61.3
1928,36.3,M,M,50.5,59.7,66.5,71.5,M,M,M,M,M,56.9
1929,M,M,M,57.3,63.5,68.6,71.9,70.6,67.1,54.8,47.7,38.7,60
1930,40,42.9,43.1,54.9,63.7,66.6,73.8,68.6,67.9,51.9,43.5,34,54.2
1931,36.7,40.5,41,52.1,60.5,68.9,73.1,68.8,68.6,56.9,51.9,47.9,55.6
1932,47.5,47.6,43.5,55,61.6,69.1,73.4,70.5,64.4,55.6,44.1,45.4,56.5
1933,45.1,40.3,48,54.3,65.9,69.2,70.8,69.6,68.8,55.9,45.8,47.9,56.8
1934,43,35.3,47.8,55.6,61.6,65.9,73.8,70,64.8,53.7,M,36,55.2
1935,38.4,37.4,48.6,53,62.1,M,M,66.7,M,54.9,47.4,28.8,48.6
1936,M,34.8,47.8,53.7,63.9,71.4,73.9,71.7,M,57.3,42.9,39.3,55.7
1937,50.8,36,41.1,52,62.3,69.7,69.2,70.6,62.9,49.6,39.8,35,53.2
1938,35.2,43.5,49.2,54.5,61,65.9,70.3,71.7,64,51.6,43.9,35.4,53.9
1939,37,42.3,46,M,60.6,70.5,69.8,68.1,64.8,54.9,39.5,35.4,53.5
1940,20.8,34.3,41,51.5,58.7,68,69.7,68.7,60.8,53.3,44.6,42.2,51.1
1941,37,M,M,M,M,M,M,M,M,M,45.7,41.2,41.3
1942,35.5,33.1,M,55.7,M,73.1,74.2,73.9,M,54.9,47.5,M,56
1943,M,40.4,M,51.5,M,71.2,69.9,M,M,M,M,39.5,54.5
1944,38.4,44.1,47,54,65.6,69.9,68.7,70,64.9,54.6,45.1,37.1,55
1945,39,43.6,55,56.1,59,67.6,71.1,69.9,67.2,54.2,46.5,32.2,55.1
1946,39,40.9,51.5,55.5,60.3,67.5,71.8,69,65.7,55.3,50.5,41.6,55.7
1947,44.2,30.1,38.6,56.4,60.5,66.4,66.6,71.7,66.2,58.9,44,39.3,53.6
1948,32.5,44.5,50.3,57.6,60.9,67.8,71.4,69.1,63.9,51.5,49.8,42.3,55.1
1949,47.9,46,45.5,52.7,61.4,68.2,73.2,69.6,61,59.7,M,42.2,57
1950,51,44.6,44.3,51.4,62.9,68,70.1,68.4,63.8,57.9,40.1,34.6,54.8
1951,39.3,41,46.8,52,58.5,67,70.7,71,65,56.5,40.8,40.1,54.1
1952,44.1,41.9,44.5,52.4,61,72,71.5,70.1,63.5,51.4,44.5,38.5,54.6
1953,41.6,41.1,48.4,53.2,66.2,71.4,70.9,70,64.1,54.9,43.1,38.3,55.3
1954,40.3,44.3,45.4,59.4,56.1,68.1,73.1,71.1,65.5,54.9,41.2,36,54.6
1955,35.3,40.3,49,57.6,62.7,62.8,71.9,71.7,66.9,54.1,44.4,37.3,54.5
1956,34.1,44.1,46.1,52.2,63.9,66.9,70.8,70,62.3,57,45,48,55
1957,40.2,47,44.3,56.9,62.6,69.7,70.5,68.1,66.6,50.9,47,40.2,55.3
1958,30.1,28.4,42.3,54.5,62.6,68.9,71.8,70.5,63.6,52.9,47.9,34.4,52.3
1959,35.6,42.4,43.3,55.8,64.1,66.8,70.9,71.3,65,57.5,44.1,39.3,54.7
1960,37.8,35.9,32.3,55.5,58.7,68.3,70.7,70.5,65.7,56.7,45.3,32.5,52.5
1961,31.5,43.4,49.9,50,58.1,66,69,68.9,65,52.4,49.2,38.8,53.5
1962,36.3,45.6,42.1,50.8,65.6,66.8,70.2,69,63,55.2,43.6,33.1,53.4
1963,33.1,33,49.6,56.7,61.3,66.6,67.6,69.1,62.8,55.1,44.2,28.7,52.3
1964,35.9,33,45.9,56.2,61.5,69.5,69.8,68.8,62.9,50.5,47.5,41.8,53.6
1965,37.6,37.8,43.4,57.6,63.8,65.9,70.3,69.8,65.9,52.3,46.1,39.4,54.2
1966,30.5,37.1,45,53.1,60.1,66,70.2,69.4,62.1,51.7,45.5,37.6,52.4
1967,38.6,35.8,50.1,58.2,59.5,66.5,67,67.5,59.8,53.1,41.4,42.7,53.4
1968,35.1,29.3,46.7,54.7,59.5,67.7,70.1,70.9,61.4,53.7,43.1,34.6,52.2
1969,34.9,35.5,38.4,55.9,61.1,69.1,72.1,68.1,63.2,54.6,41.3,35,52.4
1970,29.4,38,46.2,56.5,61.2,66.9,70.7,69.6,67.4,55.5,42.7,40.6,53.7
1971,34.4,35.8,40.7,52,58,69.1,68.9,68.7,66.2,58.8,42.8,45.7,53.4
1972,40.3,35.9,45.7,54.3,58.5,63.7,69.3,69.2,65.8,52.9,43.8,44.7,53.7
1973,35.6,36.2,51.3,51.3,57.7,67.7,71.1,70.5,67.7,56.7,48.7,39.3,54.5
1974,49.7,40.5,53,54.3,62.9,64.3,70.2,69.4,63.5,51,44.3,38.5,55.1
1975,41.5,43.8,45.3,53.1,64.5,67.1,70.1,70.5,63.4,56.5,46.2,38.7,55.1
1976,32.7,44.7,50.2,53.5,58.5,66.8,69,68.1,61.9,50.6,39.6,35.5,52.6
1977,25.2,35.7,49.1,56.7,62.3,67.3,72.1,70.7,66,51.4,47.7,37.1,53.4
1978,27.8,31.5,44.9,54.3,59.7,67.8,70.7,70.9,67.6,53.1,49.3,39.6,53.1
1979,32.7,34.6,48.5,53.8,60.7,65.5,69,69.5,64.4,52.8,46.6,38.7,53.1
1980,38.3,33,44.4,52.9,60.4,67.3,73,71.3,66.6,51.7,44,37,53.3
1981,30,37.2,41.3,58.8,58.7,70.4,71.6,68.1,62.5,51.8,43.3,33.7,52.3
1982,34.2,42.1,49.5,51.5,63.2,67.4,71.4,69,62,55.3,46.8,43.8,54.7
1983,33.7,36.4,44.4,49.4,60.2,65.2,70.5,71.2,62.5,54.6,45,34.7,52.3
1984,33.1,39,44,52.2,58.5,67.7,68.9,69.9,61.5,60.8,42.6,46.7,53.7
1985,29.5,38.5,49,54.4,61.2,67.2,70,68.7,62.2,59.7,54.4,34.2,54.1
1986,34.7,42.6,45,54.2,61.5,69.6,73.1,70,67,56.6,51.9,39.1,55.4
1987,36.6,39.2,45.8,49.8,65.1,69.3,72.5,72.1,64.8,49.7,46.8,42.4,54.5
1988,32.8,37.4,46.1,52.9,58,66.8,71.2,72.4,65.7,49.7,46.9,38.6,53.2
1989,42.3,41.8,49.6,53.1,59.1,68.9,71.9,70.4,64.9,55.7,47.3,32.1,54.8
1990,43.9,46.9,49.8,52.8,62.2,68.4,71.4,71.4,66.1,56.2,47.5,45.3,56.8
1991,39.7,42.5,49.3,57.7,66.2,68.7,73.5,70.5,65.5,55.8,44.4,42.9,56.4
1992,39.2,42.5,45.2,52.9,58.9,66.9,71.8,68.4,66.3,53.9,46.6,40.3,54.4
1993,42.5,37.1,41.8,52.8,60.9,68.9,74.3,71.5,66.5,54.7,45.2,36.5,54.4
1994,33.6,41.2,46.9,56.7,58.6,69.9,71,70.3,63.2,54.9,49.1,42.5,54.8
1995,38.8,38.6,48.6,55.5,62.7,67.4,72.7,73.4,64.7,55.3,43,35.6,54.7
1996,35.9,38.4,40.3,50.5,63.8,68.3,70.7,69.9,62.6,53.5,41.6,M,54.1
1997,35.8,41.9,50,47.9,55.6,65.5,71.1,67.5,64.2,53.5,39.8,36.7,52.5
1998,39.1,39.7,44.2,52.6,64.5,69.7,72,71,67.7,55.8,47.3,42.4,55.5
1999,39.6,39.3,40,54.4,59.3,67.2,72.2,71,61.8,51.7,47.6,38.1,53.5
2000,34.6,39.7,47.8,49.4,63.1,68.2,69.5,68.5,62.5,53.8,42.9,31.2,52.6
2001,32.9,42.4,40.8,54.7,60.9,67,70.9,71.6,62.3,50.6,46.7,41.6,53.5
2002,36.5,38.5,46.2,56.5,59.3,68,72.5,70.2,67.3,59.6,42.5,36.5,54.5
2003,31.9,38.1,49.2,54.1,62.5,66.6,69.6,72.6,63.1,53.1,50.6,35,53.9
2004,35.1,37.4,48.3,52.9,64.8,69.4,70.9,69,64.4,59.7,49.4,37.2,54.9
2005,39.9,40.1,42.2,52.3,57.6,68,73,72.1,65.9,56.2,47.3,35.7,54.2
2006,41.2,35.9,45,56.6,58.8,66.6,70.6,72.3,62.5,52.2,44.4,40.8,53.9
2007,37.9,33.4,49.2,50,60.6,67.6,69.1,73.4,65.2,56.9,42.5,42.5,54
2008,33.4,41.7,43.8,53.6,59.9,68.9,69.4,69.3,64.3,51.7,40.7,41.5,53.2
2009,34.5,36.6,45.3,51.7,61,68.7,67.9,69.9,65,53.2,46.6,34.5,52.9
2010,30.2,30.3,41,54.9,63.7,71,73,73.5,65.3,52.7,44.8,27.6,52.3
2011,30.9,40,46.9,56.3,61.2,69.7,73.5,70.9,64.9,51.3,46.4,41.1,54.4
2012,38.5,41.3,52.8,54.9,63.8,66.5,73.4,68.9,63.8,53.2,40.8,41.5,55
2013,40.8,36.2,37.2,52.2,58.7,68.1,70.6,68.7,64.5,55.4,41.3,40.6,52.9
2014,27.9,38,41.5,52.9,61.4,68.8,68.3,67.7,66.9,54.6,39.4,42.3,52.5
2015,34.4,30.5,47.1,54.5,62.7,69.2,71.6,69.2,64.3,54.5,47.9,48.5,54.5
2016,31.3,37.8,48.8,53.2,59.7,69,73.3,72.8,67.7,56.3,46.2,41,54.8
2017,41,42.5,43.4,57.1,61.4,66.8,71.6,68.9,62.6,54.4,46.2,36.9,54.4
2018,29.2,47.5,41.8,49.3,65.2,69.6,71.4,69.5,70.1,56.8,41.4,38.7,54.2
2019,36.5,44.9,43.2,54.6,65,67.6,71.2,70.5,68.7,57.9,42.7,41.9,55.4
2020,39.6,40.7,50.5,50.4,57.6,66.7,72,70.4,64.1,56.5,47.8,35.4,54.3
2021,36.9,38.4,48.2,50.5,58.7,67.4,70.2,70.7,64,57.7,41.9,46.1,54.2
2022,33.3,40.5,47.3,51.7,63.5,68.9,73.1,70.1,62.4,50.2,45.2,37.4,53.6
