Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,38.7,41.4,52.9,56.8,61.9,68.5,71.8,68.8,63.9,55.6,50.4,41.4,56
1947,44.2,33.5,38.5,57.9,61.4,68.3,68.2,72.9,67.5,59.2,44.1,38.9,54.6
1948,32,42.9,48.9,58.2,62.4,70.6,74.1,71.1,64.9,52.4,49.6,41,55.7
1949,46.5,45.3,46,53.3,63.3,70.6,75.7,72.3,62.9,60.6,43.2,41.2,56.7
1950,50.1,43.4,43.2,51.5,65.7,70.2,71.6,70.5,65.2,58.9,41.2,33.7,55.4
1951,37.3,40,46.6,52.9,61.2,70.2,73,73.8,67.2,57.8,40.6,40,55.1
1952,43,42.4,44.8,54,62.8,75.4,74.6,71.6,64.5,51.6,43.8,37.6,55.5
1953,41.4,40.9,48.3,53.1,67.3,72.6,72.7,71.6,63.6,55.7,43.2,37.2,55.6
1954,38.7,41.3,45.7,59.4,57,69.6,74.9,73.5,67.9,55.4,41.5,35.7,55.1
1955,35.1,39.2,48.1,57.5,64.7,64.7,74.2,73.9,67.5,54.7,42.9,35.2,54.8
1956,33.7,43.4,46.2,52.2,64.4,69,73,72.3,M,M,M,M,56.8
1957,M,M,M,M,M,M,M,M,M,M,M,M,M
1958,M,M,M,M,M,M,M,M,M,M,M,M,M
1959,M,M,M,M,M,M,M,M,M,M,M,M,M
1960,M,M,M,M,M,M,M,M,M,M,M,M,M
1961,M,M,M,M,M,M,M,M,M,M,M,M,M
1962,M,M,M,M,M,M,M,M,M,M,M,M,M
1963,M,M,M,M,M,M,M,M,M,M,M,M,M
1964,M,M,M,M,M,M,M,M,65.3,52,49.5,40.5,51.8
1965,37,37.9,42.4,57.4,65.8,66.8,72.2,71.1,66.8,53.8,46.4,40.2,54.8
1966,30.1,36.1,43.5,52,60,66.1,71.1,69.9,62.9,51.7,45,37.6,52.2
1967,38.7,35,49.8,57.6,59.7,66.7,68.7,68.5,60.2,53.4,42.7,41.8,53.6
1968,34.3,32.4,46.6,54.7,60.9,69.5,73,74,64.1,56.7,46,36.2,54
1969,36.6,37.8,41.3,56.7,65.2,73.1,75.9,70.7,65.8,56.2,44,36.5,55
1970,30.9,39.1,46.7,57.6,63.6,70,74.3,73.1,70.7,59,46,42.7,56.1
1971,36.5,39.5,43.1,55.2,61.1,72.4,72.5,72.2,69.5,61.8,45.8,47.6,56.4
1972,42,37.5,46.5,55.8,61.2,66.4,72.3,72.4,69,54.9,45.5,45.2,55.7
1973,37.4,38.5,52.6,52.8,60.2,71,74,74.2,69.9,58.8,49.1,39.8,56.5
1974,48.2,40.5,51.1,54.9,64.2,66.7,72.9,72.2,65.7,54.6,47.4,40.2,56.6
