Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,63.3,48.2,38.2,34.1,45.9
1908,28.5,28.9,47.2,52.8,58.2,63,66.8,65.7,59.5,49.6,42.8,35.3,49.9
1909,39.9,37.1,38.3,49.6,55.4,65.5,64.3,65.4,58.6,47,44.6,28.4,49.5
1910,31.7,30.7,45.1,48.1,52.5,60.5,67,64.9,61.7,53.1,35.2,27.5,48.2
1911,37.5,38.5,39.6,46.5,58.2,64.2,64.7,66.3,65,54.5,36.8,39.1,50.9
1912,28.2,27.3,38.9,50.8,57.9,62,66,63.5,63.4,51.9,36.7,34.6,48.4
1913,39.8,33.4,42.7,46.6,56.1,63.2,68,66,58.3,49.1,41.2,35.8,50
1914,34.5,30.6,33.7,48.3,56.5,67.5,66.2,65.5,58.8,51.2,38.6,32,48.6
1915,33.2,35.5,30.8,48.8,58.3,61.9,64.7,64.3,62.3,52.4,42.6,30.9,48.8
1916,41.2,32.7,37.3,45.9,59.3,61,66.9,66.9,57.2,50.7,40,33.6,49.4
1917,38.5,32.2,41.5,49.2,50.5,61,65.2,64.1,58.2,45,37.9,24.9,47.3
1918,23.6,38.7,44.4,47.1,59.2,63.2,61.9,67,54.6,53,41.1,38.3,49.3
1919,34.2,33.1,41.8,48.6,57.4,64.1,66.9,64,58.8,59.2,43.8,34.1,50.5
1920,33.3,29.2,37.4,46.6,53.8,61.4,64.1,64.4,60.8,49.3,39.4,34.2,47.8
1921,34.4,35.5,50.7,48.3,54.1,64.6,65.9,64.2,65.1,48.5,44.1,38.1,51.1
1922,33.9,41.1,42.2,51,54.9,63.8,66.4,62.8,60.6,51.4,41.2,40,50.8
1923,37.5,30.4,40,47.5,54.4,63.4,64.4,64.9,60,47.9,38.9,42.8,49.3
1924,30.6,31.6,35.9,46.5,52.3,64.7,64.4,67.4,57.1,51,42.8,34.5,48.2
1925,35,42,42.5,51.1,53.6,66,68.4,66.7,68.3,49.6,M,31.9,52.3
1926,30.9,35.4,33.1,46.7,55.5,62.2,67.6,69.2,67.3,53.6,38.8,37.2,49.8
1927,M,M,40.9,52.6,57.7,63.8,65.9,62.5,62.4,54,45.8,32.9,53.9
1928,32.4,34.5,41.7,46.5,54.7,62,66.9,67.1,58.9,52.2,41.4,33.8,49.3
1929,34.8,32.9,M,50.7,56.1,61.4,65.5,64.8,61,47.7,44.2,34,50.3
1930,34.2,39,36.6,50.1,57.7,61.2,66.7,62.7,62.6,47,39,M,50.6
1931,33.2,36.6,36.3,46.7,55.4,64.1,69.2,65.1,65.1,53.5,48.2,43.4,51.4
1932,42.2,43.1,36.1,48.8,56.5,64.4,69,67,61.7,52.1,40.2,39.5,51.7
1933,39.7,34.9,41,48.4,61.6,64.7,66.5,65.4,65.5,51.9,39.9,41.9,51.8
1934,34.7,28.1,41.4,48.8,57.6,65.9,69.7,67.7,62.7,51.9,43.8,31.4,50.3
1935,33.3,36.1,46.8,48.7,57.3,62.9,67.8,66.6,61.8,51.8,45.2,24,50.2
1936,29.5,30.7,44,48.4,58,64.7,68.4,67.7,63.3,55.3,40.7,39.4,50.8
1937,46.9,34.6,38.8,M,57,66.1,66,67.5,59.1,48.5,38.5,33.4,50.6
1938,33.2,40.3,46.6,49.3,57.6,62,66.5,67.9,61.7,50.9,43,33.3,51
1939,34.5,39.6,43,47,56.4,66.7,66.8,M,61.9,52.5,38.2,34.8,49.2
1940,M,31.5,37.8,46.6,53.2,63.3,65.9,64.4,55.6,47.1,M,37.5,50.3
1941,31.3,25.8,31.3,49.3,56.6,63,66.2,M,M,56.6,41.4,39.8,46.1
1942,30.9,27.1,41.1,50.8,57.2,64.7,67,65.1,60,52.2,44.1,34.3,49.5
1943,37.6,33.7,38.7,46.3,M,67.3,66.9,66.8,58.1,49.6,39.6,34.6,49
1944,34.1,38.7,41.1,47.9,59,65.5,65.2,64.1,61.4,51.4,39.8,33,50.1
1945,32.2,38.1,50.9,51.5,54.1,63.3,66.5,66.1,65.6,49.9,M,28.4,51.5
1946,34,37.7,49.2,53.2,M,62.3,66.4,62.7,60.2,53.7,M,M,53.3
1947,M,M,33.6,39.7,M,63.8,63.2,67.1,61.1,M,M,M,54.8
1948,M,38.1,44.5,52.3,56.8,64.1,65.3,64,58.1,48,44.5,36.2,52
1949,42.9,39.9,40.2,45.9,58.3,66,70.9,66.3,57.7,55.9,37.1,36.5,51.5
1950,46,36.1,37.5,45.4,59.3,64.3,65.3,63.8,58.9,54.5,M,M,53.1
1951,34,35.1,40.3,46.8,54.5,62.6,65.1,65.1,60.5,50.6,36.1,35.2,48.8
1952,38.3,37.8,40.2,48.1,56,67.9,66.1,65.3,57.3,45.4,38.4,33.2,49.5
1953,35.5,35.3,41.5,46.6,59.7,64.9,64.9,63.8,57.8,50.1,39,32.8,49.3
1954,34.9,36.4,39,52.9,51,61.9,66.4,65.6,61.1,51,37.1,30.9,49
1955,29.8,35.2,42.3,52.2,58,57.1,67.8,67.7,61.6,49.8,37.7,31.2,49.2
