Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,51.4,59.3,73.6,78,78.8,77.7,76.9,62,50.9,48.1,65.7
1934,M,37.9,49.1,61.1,68.1,78.6,82.3,79.5,74.5,61.3,53,43.3,62.6
1935,42.3,45.8,57.1,59.2,67.3,76.9,79.1,78.5,71.4,61.8,53.6,34.9,60.7
1936,36.7,39.6,54.4,57.8,72.5,77.3,80.8,78.9,74.1,63.8,50.3,44.3,60.9
1937,50.8,M,48.9,58.7,68.1,M,79.1,79.3,70.4,58.8,47.5,42,60.4
1938,42.7,49.8,58.2,61,70.2,74.2,78.6,80.7,73.4,62.9,55.3,42.6,62.5
1939,43.8,49,54,58.3,M,M,79.6,M,75.7,65.5,49,44.6,57.7
1940,31,44.1,48.6,58.9,67.2,77.9,78.3,77.4,70.8,62.6,51.6,46.6,59.6
1941,42.4,39.5,46.2,62.9,71.2,76.2,79.5,79.2,75.4,68.4,51.7,46,61.6
1942,41.3,39.8,53,62.9,70,77.4,80.4,77.5,74,62.8,52.9,41.8,61.1
1943,44.1,46.9,49.3,58.7,70.6,80,78.4,79.3,69.2,60.2,50.1,43.4,60.9
1944,M,48,50.5,59.9,72.3,79.6,76.9,75.7,73.1,60.8,48.5,39,62.2
1945,41.9,46,61,M,65.7,77.3,M,M,74.8,60.5,53.2,37.4,57.5
1946,43.5,46.9,58.6,61.6,67.2,76.3,77.6,75,71.2,61.7,56.6,M,63.3
1947,47.1,37.6,43.8,63,69.5,75.5,75.5,79,73.8,65.8,48.1,42.1,60.1
1948,37.2,44.5,56,63.7,69.3,76.7,80.4,77.2,70.7,59,55.8,49.1,61.6
1949,51.5,51.2,53.2,59,69.5,77.7,81,77.5,70.1,65.7,49.9,44.9,62.6
1950,53.3,47.6,49.4,59,70.5,77,77.2,76.2,70.8,64.8,48.6,38.7,61.1
1951,42.8,45.4,51.7,59.2,67.8,76.3,79.2,79.2,72.2,64.3,46.6,44.2,60.7
1952,47.7,45.8,50.6,59.8,69.5,80.9,80.8,76.7,70.7,57,51.2,42,61.1
1953,47,47.9,52.7,60.2,73.2,76.6,79.7,77.8,70.4,63.2,51.4,43.1,61.9
1954,43,46.5,49.4,63.1,63.8,76.1,79.1,79.1,75.7,63,46.1,39,60.3
1955,39.4,42.7,53,63.5,71.2,71.5,79.8,79.6,73.2,60.7,49.3,38.1,60.2
1956,39.4,46.1,49.7,57.6,69.2,76.2,78.8,78.3,68.9,62.3,48.7,50.8,60.5
1957,42.1,48,49.1,63.1,69.6,76.5,78.4,76.8,73.7,56.5,52.2,43.8,60.8
1958,35.5,35.3,45.6,59.4,69,76.1,80,78.3,71.8,59.5,54,37.6,58.5
1959,39,44.7,49,61.9,71.8,75.8,78.7,79.6,72.1,62.6,50,42.2,60.6
1960,41.4,40.6,38.6,62.9,67.4,75.7,78.1,79,72.3,62.8,50.9,36.6,58.9
1961,37.1,44.8,53.6,54.8,65.3,74,78.5,77.2,74.9,61.1,55,41.9,59.9
1962,38.2,43.8,47.5,57.7,74.6,74.8,78.6,78,70.3,63,48.4,38.2,59.4
1963,36.7,36.4,53.7,62.5,67.7,74,77.3,76.9,69.4,62.7,51.9,35,58.7
1964,39.5,39.4,51.1,59.9,69.5,77.6,77.6,75.8,70.8,55.8,55.2,43.9,59.7
1965,41.5,42.2,46.4,60.5,73.7,72.8,77.6,77.8,72.4,58.8,52,42.9,59.9
1966,36.1,41.1,49.7,58.3,67.9,74.3,79.9,76.9,70,57.8,50.2,41,58.6
