Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,37.9,38,51.9,53.7,59.1,67,73.4,72.4,70.4,60.9,42.2,33.4,55
1911,45.1,45,47.3,53.9,64.9,71.8,71.5,73.1,72.6,62,44,44.5,58
1912,M,34.9,47.9,M,M,68,72.7,71.3,70.4,M,M,40.1,57.9
1913,M,39.6,48.9,M,63.1,69.7,74.3,73.5,64.7,54.6,46.3,41.6,57.6
1914,38.8,37.8,43.3,56.4,62.6,73.7,73.1,73.4,66.6,59.4,43.2,39.5,55.7
1915,39,42.4,37.8,55.3,65.5,69.1,73.2,71.6,68.8,59.7,47.8,36.8,55.6
1916,46.9,38.9,46.5,52.4,66,69,73.9,74.2,65.4,56.9,46.4,38.8,56.3
1917,43.3,39.4,49.1,56.8,56.7,68.2,72.6,71.2,66.1,50.9,43.9,30.4,54
1918,29.5,45.7,53.9,54.7,68,70.9,69.4,74.3,63.4,60.5,47.6,45.6,57
1919,37,39.8,48.8,54.6,63.7,71.3,74.2,72.6,66.3,67.1,49.8,40.8,57.2
1920,39.5,38.2,44.1,54.7,62.4,69.6,73,72,69.6,57.3,45.2,39.3,55.4
1921,41.3,44,56.5,55.5,61.2,72.9,74.2,72.5,73,54.1,50.5,43.1,58.2
1922,40.1,47,50.1,58.9,63.7,71.6,73.6,70.1,68.1,57,45.7,45.4,57.6
1923,M,40.6,48.1,54.3,61.8,70.6,72,73.9,68.7,55.7,44.8,47.5,58
1924,35.7,37.9,43.3,54.4,58.1,72,71.8,74.6,64,56.6,46.7,40.7,54.7
1925,40.4,46.6,49.1,59.5,60.5,72.4,74.2,70,73.3,56.4,45,37,57
1926,37.2,41.7,41.4,53.2,62.5,69.7,72.9,75,72.8,58.2,43,M,57.1
1927,40.1,48.5,48.6,59.2,64.9,70,73.3,69.9,68.3,59.3,50.6,40.5,57.8
1928,36.1,41.1,47.3,52.9,61.3,68.6,74.2,73.7,65.4,59,46.3,37.3,55.3
1929,40.6,39.3,50.8,57.3,63.2,69.5,72.9,71.7,67.6,54.7,48.9,38.1,56.2
1930,41.5,44.6,45,55.9,64.3,67.7,74.9,70.7,70.2,54.7,45.2,35,55.8
1931,36.4,40.5,42.1,53.8,62.2,70.9,75.9,71.9,70.7,57.1,51.7,48.5,56.8
1932,48.3,47.3,43.4,55.3,62.8,71.4,74.9,72.4,66.6,56.6,44.9,44.7,57.4
1933,44.3,41.3,47.4,54.7,67.5,70.6,72.5,72.2,70.6,57.8,45.6,48,57.7
1934,42.5,35.9,48.1,56.1,63.9,72.4,76.8,74.4,69,57.7,48.8,37.3,56.9
1935,42.2,42.4,53.1,57,65.1,69,74.5,74.2,67.9,57.8,50.4,32.2,57.2
1936,35.3,37.6,48.9,55.4,M,71.5,74.9,73.9,70.1,59.8,45.6,45.2,56.2
1937,53.7,40.9,45.1,54.6,64.4,72.5,72.7,74.3,67.2,54,43,37.8,56.7
1938,38.9,47.6,52.6,56.4,64.9,69.4,73.5,74.8,67.7,56,48.2,38.1,57.3
1939,39.5,46.3,49.9,54.6,63,73.7,74.1,72.4,70,59.3,44.4,39.8,57.2
1940,25.8,39.6,45.6,53.5,60.4,70.1,72,72,64.9,56.6,46.1,43.7,54.2
1941,39.1,34.4,41.6,56.8,63,70.7,74.8,74.8,69.1,63.3,45.3,42.7,56.3
1942,36.3,35.4,46.1,55.7,63.7,72.6,74.1,72.1,67.4,58.4,48.5,39.9,55.9
1943,42.1,40.4,45.1,52.8,64.4,74.4,74.2,74.9,64.2,53.4,43.2,39.4,55.7
1944,39.1,45.1,48.2,54.7,66.1,72.6,71.2,71.6,69.2,55.5,44.9,36.8,56.3
1945,38.5,44.7,55.5,58.4,60.3,69.4,74.4,73,70.8,56.1,M,34.1,57.7
1946,40.9,42.4,53.2,57.6,63.2,69.5,74.6,71.9,66.2,57.7,52.6,42.2,57.7
1947,46,32.6,40.5,59,62.1,68.8,69.4,74.6,69.3,62,46.3,40,55.9
1948,34.7,46.2,52,59.7,62.9,70.1,74.4,71.8,66.2,53.4,51.5,43.3,57.2
1949,49.2,47.9,47.3,53.7,63.8,71,76,73,64.7,62.8,43.8,43.7,58.1
1950,52.5,46.3,45.3,52.6,66.7,70.2,71.5,70.5,66.6,59.9,42.4,35.3,56.6
1951,39.9,42.2,48.6,54.1,61.3,70.5,73.8,74.3,68.8,59.2,43.3,41.8,56.5
1952,45.3,43.9,46.8,55,63.9,75.2,74.7,72.7,66.1,53.3,44.8,38.6,56.7
1953,41.7,43.3,50.3,54.4,67.2,73.3,73.2,72.1,66,57,43.8,38.3,56.7
1954,40.9,43.9,46.7,61.2,58.4,70.2,75.8,73.5,68.1,56.8,42.5,37.5,56.3
1955,37.3,41.4,49.1,59,64.8,65.8,74.6,74.6,69.8,56.2,44.4,37.8,56.2
