Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,49.1,39.1,44.1
1931,43.3,47.3,47.7,59.7,67.4,77.8,81.9,77.7,76.8,64.7,58,50.9,62.8
1932,51.5,52.3,49.7,60.8,68.2,77,81.6,78,72.8,62.8,49,46.3,62.5
1933,49.7,45.5,52.4,60.5,73.5,78.8,78.5,78,77.2,62.1,51.6,49.3,63.1
1934,45.9,38.4,48.8,62.4,69.1,78.6,81.5,79.1,75,61.7,54,43.3,61.5
1935,43.4,45.5,57.7,60.3,68.3,76.9,79.3,78.7,72.2,63.1,54.4,36.7,61.4
1936,38,40.9,M,58.7,72.5,77.7,81.2,79.5,75.1,64.1,50.4,44.7,62.1
1937,50.3,45.3,51.3,60.3,69.6,78.5,79.3,78.7,70.7,58.6,47.3,42,61
1938,43,50.1,58.2,61.3,71.1,75.3,78.6,80.7,73.5,62.2,54.8,43.3,62.7
1939,44.8,49.4,55.8,61.6,70.6,81.7,80.3,78.8,76.2,66.1,49.4,45.4,63.3
1940,31.2,44.2,49.4,60.6,68.8,79.4,79,78.1,71.3,62.2,51.9,46.8,60.2
1941,42.9,40.7,47,64.4,73.2,77.2,79.6,79.5,76,M,51.8,47,61.8
1942,42,41.6,53.2,65,71.4,79,80.4,78,72.7,62.3,53.7,42.2,61.8
1943,44.4,48.6,51,61.8,72.6,81.6,79.9,80.8,70.5,60.3,50.9,44.3,62.2
1944,43,48.4,51.7,61.3,74.1,80.6,77.7,77.1,M,61.1,M,39.3,61.4
1945,42.7,47.2,63.5,65.3,69.7,79.3,79.5,78.1,75.8,60.8,53.9,38,62.8
1946,43.6,46.7,58.7,63.8,68.9,77.3,77.9,76.1,71.8,61.5,55.7,47.7,62.5
1947,47.2,38.9,44.2,64.7,70.2,M,76.7,79.7,73.7,65,48.9,43.2,59.3
1948,37.6,44.9,56.9,65.5,71.2,78.4,81.7,78.1,M,59.6,56.3,M,63
1949,51.2,51.5,52.1,59.3,70.4,78.2,81.4,77.5,69.7,65.1,50,44.6,62.6
1950,54,47.9,50.1,60.3,71.8,77.9,77.8,77.8,71.1,64.6,48.6,39.7,61.8
1951,43.7,46.1,52.8,60.9,69.8,77.8,81.4,81,73.4,64.8,46.8,44.9,61.9
1952,48.9,47.6,52.3,62.1,72.5,83,81.9,76.3,70.7,57.7,51.7,43.3,62.3
1953,47,46.5,52.3,60,74,77.8,80.2,78.8,71.4,63.8,50.8,42.8,62.1
1954,44.7,49.1,50.9,64.3,63.8,78.8,81.2,81.5,76.4,64,48.1,41.7,62
1955,42,M,54.9,63.8,72.2,73,80.8,80.4,74.1,61.3,50.4,40.6,63
1956,41.2,48,52.2,59.4,70.6,76.9,79.4,79.7,M,63.2,50.5,53.2,61.3
1957,44.9,49.6,50.7,64.1,69.8,76.7,79.2,77.4,73.1,57,52.8,44.9,61.7
1958,37.8,37.6,47.2,60.6,70.2,76.5,79.1,78,71.7,60.7,55.6,41.2,59.7
1959,42.8,47.3,50.5,62.9,72.6,76.7,78.8,79.8,72.9,63.5,51.8,45,62.1
1960,43.5,43.1,41.3,63.6,68.4,76.2,78.5,79.2,73,63.4,53,39.4,60.2
1961,40.3,47.2,55.2,56.4,66.1,73.7,77.3,77,75,62.7,56.7,43.9,61
1962,41.5,48.8,49.5,59,74.7,74.9,79.1,78.1,71.2,63.9,50.3,40.6,61
1963,39.5,39.8,55.6,63.8,68.3,74.5,77.4,78.7,70.2,64.1,M,M,63.2
1964,42.4,41.5,M,61.4,69.9,77.9,77.1,76,71.7,57.2,55.9,45.7,61.5
