Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,48.8,39.2,44
1901,36.8,37,45.5,52.6,67.9,M,M,75.2,66.8,56.5,41.9,32.8,51.3
1902,37,33.7,47.8,53.6,69.4,70.8,M,74.8,66.2,58.3,53.1,M,56.5
1903,36.8,41.4,53.5,53.8,67.7,68.9,75.3,75,66.9,M,44.8,36.4,56.4
1904,32.8,36.6,47.5,50.7,64,72.3,M,73.5,M,55.9,M,40.7,52.7
1905,34.3,32.6,50.3,58.1,69.1,M,M,73.5,71.9,59.3,46.5,39.4,53.5
1906,43.5,45.6,44.2,59.3,66.5,M,M,77.3,75.7,57.5,49.4,39.3,55.8
1907,45.9,38.4,54.5,52.4,M,M,M,74.9,71.1,53.9,47.3,39.9,53.1
1908,37.5,38.1,53.5,61.1,66.7,M,M,M,M,56.9,50.1,42.9,50.8
1909,43.2,45.2,47.3,57.8,63.6,73.9,73,72.9,66,54,52.1,35,57
1910,37.3,36.8,53.6,57.4,62.3,69.7,77.3,74.7,71.6,60.7,42.9,33.4,56.5
1911,42.2,45.3,46.9,52.8,67.2,75.1,75.6,76.8,73.9,60.7,44,41.4,58.5
1912,32.4,37,46.3,59,65.7,71.3,75.3,73.9,M,M,M,M,57.6
1913,M,M,M,57,67.5,72.6,M,M,M,M,M,M,65.7
1914,41.4,38.1,44.3,58.5,M,M,M,M,M,M,46.1,38.2,44.4
1915,39.2,43.1,40.8,58.1,67.5,69,75.1,72.8,70.8,60.8,49.4,M,58.8
1916,M,M,M,M,M,M,M,M,66.7,57.5,48.4,37.8,52.6
1917,42.5,40.2,47.3,59.5,59.7,72,76,74.1,67,52.9,45.2,29.4,55.5
1918,29,43.9,52.7,54,68.6,73,73.3,76.2,64.5,60.8,46.9,44,57.2
1919,40.7,39.2,49.8,56.4,66,73.2,76.7,74.2,68.3,66.9,49.9,38.9,58.4
1920,38.2,37.7,45.8,55,62.5,71.4,74.7,73.7,70.1,58.6,46.1,40.7,56.2
1921,39.4,42.4,56,58.2,63.4,75.2,77.2,73.4,74.9,56.9,51.6,43.2,59.3
1922,38.8,47,50.4,58.6,66.3,74.3,76.8,72.3,70.1,58.4,47.5,43.8,58.7
1923,41.4,39.9,49.4,54.7,63.1,74.1,75,75.6,70.2,57.4,46.8,46.8,57.9
1924,35.4,38.1,44.5,56.1,61.8,74.7,74.3,75.8,64.8,57.2,48.2,39.9,55.9
1925,38.6,46.6,50.6,60.3,62.5,76.2,78.3,73.9,75.6,55.8,45.2,39.4,58.6
1926,37,43.3,41.8,55.3,66.2,71.7,77.2,77.4,73,59.7,43.1,40.5,57.2
1927,39.8,48.9,50.1,57.5,66.6,70.4,75.3,72.2,69.7,59.8,50.6,40.6,58.5
1928,38,38.9,47.9,53.9,63.8,70.4,76.7,76.9,65.2,60,47.8,37.9,56.5
1929,39.7,39.2,51.5,59.9,65.1,71.3,73.7,74,68.8,56.4,49.7,41.3,57.5
1930,41.9,46.5,46.7,59.1,67.5,71.8,78.4,73.5,73.2,56,45.4,35.7,58
1931,41.2,44.3,44.3,56,64.3,M,M,74.5,74.3,61,54.7,48.5,56.3
1932,49.3,49.8,47.8,57.7,65,74.1,78.2,75.4,69.6,58.9,47,43.6,59.7
1933,48.1,42.8,49.4,56.9,71.5,M,M,74.7,73.3,60.1,49.3,48.3,57.4
1934,44.1,37.4,46.8,56.8,65.4,73.5,77.5,75.8,71.4,58.9,49.7,M,59.8
1935,41.5,41.7,50.7,M,M,71.8,76.4,75.5,71.2,60,52.4,M,60.1
1936,M,38.5,48.8,54,65.6,M,79.1,76,72.6,61.3,48.5,43.5,58.8
1937,50,41.9,48.4,57,65.9,75.6,75.8,76.6,68.3,56,46.7,40.8,58.6
