  Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,73.7,79,80,74,63.8,50.9,41.4,66.1
1901,40.3,38.5,49,52.6,65.3,73.6,78.3,75,67.5,57.3,43.4,36.9,56.5
1902,37.7,35.4,M,56,70.3,73.3,76.3,75.9,68.1,59.3,53.6,40.5,58.8
1903,38.8,44.3,54.2,56.9,67.1,69.6,76.3,76,67.7,58,45.4,35.4,57.5
1904,34.9,38.6,49.7,52.8,64.4,72.1,74.1,74.1,69.5,56.3,46.2,39.6,56
1905,34.4,32.4,52.5,58.2,68.2,74.5,75.5,72.9,71.2,57.8,48.5,38.9,57.1
1906,42.9,40.8,44,59.5,65,73.6,74.5,76.6,71.6,56.1,47.7,42,57.9
1907,47.5,39,55.1,50.8,63.3,68.8,76.5,74,70.1,54.6,46,39.6,57.1
1908,36.2,35.2,54.6,60.7,66,71.1,74.7,72.8,66.2,56.4,52,42.9,57.4
1909,44.4,47.6,50,60.2,65,75.2,74.4,74.1,67,56.1,53.7,36.8,58.7
1910,39.1,38.9,56,59.2,63.3,70,76.6,74,71,61.7,44.8,35.3,57.5
1911,43.7,47.7,49.3,54.5,68,76.8,76.2,76.6,74.2,61.4,44.6,43.3,59.7
1912,34.1,38.2,47.6,60.4,66.6,71.2,75,74.2,72.6,60,47.9,42.8,57.5
1913,46.2,42.8,51.8,57.1,67.3,72.4,79.1,75.9,66.2,58.7,48.9,43.4,59.2
1914,41.9,38.5,45.4,58.4,67.3,77.9,75.9,76.1,67.1,60.4,47.5,38,57.9
1915,38.7,43.1,41.7,58.7,67.2,70.7,75.8,73.5,70.2,60.8,50.4,38.5,57.4
1916,45.9,43.2,49.1,56.9,68.9,71,75,76.1,67.3,57.8,49.3,39.8,58.4
1917,44.9,42.1,49.2,61.1,61.5,71.9,75.6,73.8,67,53.6,47,31.9,56.6
1918,32,46.8,55.9,55.4,69.2,73.3,72.9,75.9,64.4,62.4,48.6,46.1,58.6
1919,42.6,41,51.1,58.2,66.3,74,76.4,75.1,69.9,68,50.8,39.4,59.4
1920,38.8,38.3,46.1,56.5,62.5,70,M,73.5,70.6,59.6,47.1,40.9,54.9
1921,40.6,43.8,58.5,59.6,64.1,75.3,76.3,73.3,75.6,58.3,52,M,61.6
1922,39,48.5,50.9,60.4,65.9,74.4,76.6,72.9,71.1,59,49.2,45.4,59.4
1923,42.5,41.3,50.4,56.7,63.5,74.4,75.1,75.8,70.9,58.2,47.2,47.9,58.7
1924,36.7,39.5,46.2,57.4,62.4,75,73.7,76.1,65.4,58.2,49.9,41.4,56.8
