Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,M,M,M,M,M,M
1958,M,M,M,M,M,M,M,M,M,M,48.5,34.7,41.6
1959,33.7,40,42,54,65.3,67.8,72.7,72.8,67,58.2,44.4,M,56.2
1960,38,34.9,32.3,54,58.7,68.6,71.6,71.7,67.6,57.2,44.1,31.3,52.5
1961,30.5,43.4,48.4,49,58.7,65.7,69.6,70,M,M,48.7,38,52.2
1962,35.6,42.1,44.1,50.2,66.3,69,71.3,70.4,64.8,55.8,42.2,33.4,53.8
1963,30.3,31.9,46.2,54.3,60.8,66.7,67.3,68.2,62.9,55,44.9,27.9,51.4
1964,33.5,31.3,42.3,53.9,60.6,67.9,67.8,68.1,63,50.2,47.3,38.6,52
1965,36.1,32.9,40.8,54.8,62,65.2,69,68.1,64.5,52.2,44.4,M,53.6
1966,31.1,37.4,M,51.7,60.2,65.2,70.7,69.7,62.7,52.4,45.2,36.5,53
1967,38.7,32.9,46.5,56.1,57.6,65.8,66.7,66.2,59.1,53.2,42.1,43,52.3
1968,35.3,31.6,M,53.9,58.3,66,M,71.5,62,53.8,42.8,33.5,50.9
1969,33.3,35.6,37.4,54.4,60.4,68.5,M,67.4,63.7,54.6,41.5,34.2,50.1
1970,28.5,36.9,44.7,55.5,62.2,67.8,71.3,71.7,70.2,58,44.6,41,54.4
1971,34.8,35.4,40.8,51.7,58.2,69.5,70.2,70.6,M,M,44.6,45.3,52.1
1972,39.5,35,44.8,M,59.8,64.4,70.3,M,M,53.4,43.9,43.7,50.5
1973,36.6,35.6,50.7,49.7,57.9,69.2,72.1,M,64.9,M,M,37.1,52.6
1974,46.9,M,M,M,M,M,70,69.6,66.4,52.7,43.7,35.2,54.9
1975,35.8,41.4,41.4,51.1,62.9,65.9,69.4,69.4,63.6,56.2,45.9,M,54.8
1976,28.1,43.3,49.1,53.8,57.6,67.1,68.7,69.6,61.7,50.7,38.7,33.4,51.8
1977,24.3,33.9,47.1,56.7,61.7,66.8,72.1,70.3,64.8,49.1,46.7,35.3,52.4
