Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,63.6,61.9,74.6,78,76.7,72.4,61.6,45.3,38.9,63.7
1955,39.3,43.3,52.7,61.6,68.6,69.5,78.6,78.1,71.2,58.2,47.8,37.3,58.9
1956,38.1,45.7,50,56.2,67.6,74.1,77.1,77,68.9,61.6,48.4,50.8,59.6
1957,43.3,48.3,48.3,62.2,69.2,75,77.1,75.2,72,56,51.6,43.5,60.1
1958,35.1,34.8,45.2,58.6,68,74.8,78.5,76.9,69.5,58,52.3,37,57.4
1959,39.6,44.3,47,60,70.5,73.6,77.2,78.2,70.1,61.5,49.1,42.1,59.4
1960,41.6,40.3,37.8,62,65.4,74.3,77.3,78.5,71,60.8,49.3,35.3,57.8
1961,36.3,44.8,53.3,53.6,63.8,72.5,76.2,75.6,72.4,58.8,54,41.5,58.6
1962,38.8,46.3,47.3,56,72.4,73.9,77.2,76.5,69,61.8,48.5,38,58.8
1963,37.2,36.8,53.2,61.2,66.6,72.9,75.2,75.5,68,59.6,50.3,34.4,57.6
1964,39.4,37.8,49.8,60,67.2,75.8,76.4,75.1,69.3,55.6,52.5,44,58.6
1965,40.9,42.9,46.5,59.7,71.6,72.1,76.5,77,72.1,58.3,50.6,42.5,59.2
1966,35.4,41.2,49,57.5,66.8,72.5,78.4,76,68.4,57.7,49.2,40.9,57.8
1967,43,39.3,52.9,62.8,64.3,71.8,75.8,74.7,65.2,57.7,45.6,45.4,58.2
1968,36.2,35.1,51.5,59.6,64.6,73.7,77.3,77.9,69.4,60.9,49.9,37.7,57.8
1969,37.2,39.9,44.6,59.5,66.8,76.7,79.6,74.6,68.7,59.9,46,38.5,57.7
1970,34.9,41.1,48.8,60.3,68.1,73.9,78.4,76.8,74.5,62.4,49,44.3,59.4
1971,39.3,40.7,46.3,57.4,64.2,75.9,76.1,75.3,73,64.9,48.4,50.2,59.3
1972,45,39.7,50.1,58.7,64.6,70.8,76.5,76.2,72.2,57.5,48.2,46.8,58.9
1973,39.9,40.8,54.6,57.5,65.2,75.5,77.6,76.3,73.8,61.4,52.5,41.6,59.7
1974,50.7,44.3,54.5,59.8,68.2,71.3,76.1,75.4,67.9,57.2,49.4,42.2,59.8
