Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,40.8,39.7,48.4,60.1,69.6,76.6,81.1,82.6,77.1,65.3,51.1,41.5,61.2
1901,42.3,39.9,50.3,53.3,68.5,73.6,77.7,78,71,59.3,45.9,36.6,58
1902,38.2,36.5,50.6,57.3,73.2,77.4,82.1,M,M,M,M,M,59.3
1903,M,46.6,57.5,58.8,69.7,72.8,80.8,79.3,71.1,61,47.1,37.8,62
1904,38.7,40,52.6,59.4,67.6,73.6,76.4,75.3,70.4,57.4,45.9,37.2,57.9
1905,34.7,32.6,53.5,58.3,68.3,75.5,78.1,75.2,73.8,M,46.9,37.8,57.7
1906,42.2,40.5,43.3,62.4,67.8,74.8,77.2,79.1,74.2,57.4,50.6,M,60.9
1907,49.5,39.5,55.3,M,66.5,M,M,M,M,64.5,57.5,55.3,55.4
1908,53.4,50.7,57.4,64,M,74.1,78.1,M,71.3,58.5,51.4,45,60.4
1909,44.2,48,48.7,59.9,66.5,77.2,77.2,75.8,68.6,57.6,M,37.9,60.1
1910,40.7,41.1,58.1,61.2,66.6,72.8,79.7,77.1,73.8,64.2,46.5,37.4,59.9
1911,45.1,49,51.4,56.4,71.6,78.9,79.5,79.7,76.4,63,46.8,44.7,61.9
1912,34.8,38,49.2,61.2,69,73.3,78,77.9,76.6,62.4,49.1,44.7,59.5
1913,49.6,44.1,53.5,58.5,69.2,74.8,80.9,76.9,69,61.7,51,44.9,61.2
1914,44.8,39,46,61.5,69.4,79.8,78.9,78.5,67.3,62,51.6,39.7,59.9
1915,42.8,46.6,44.7,61.4,68.3,72,80,76.9,73.6,62.9,53.2,40.8,60.3
1916,46,44.2,51.1,59.5,72.5,74.9,77.1,78.3,69.8,61.3,51.3,M,62.4
1917,45.2,42.3,49.4,62.6,63.7,75.4,77.8,76.9,69,57,49.2,33.1,58.5
1918,32.5,48.9,55.6,57.7,72.3,75.6,75.5,79.4,66.5,65.3,49.4,45.1,60.3
1919,43.7,42.1,51.7,59.5,69.4,75.8,79.2,75.2,69.9,71.3,52.6,M,62.8
1920,39,38.7,49.7,59.6,63.6,74.5,76.4,74.3,73.2,62.3,48.6,41,58.4
1921,41.3,44.7,59.9,61,65,77.1,79,76.8,77.7,60.2,53.7,46.4,61.9
1922,40.4,48.3,53,61.7,69.1,77,78.7,74.3,72.6,61.9,49.7,44.3,60.9
1923,42.6,40.7,50.7,56.3,64.9,76.8,78.4,78.9,73.1,60,47.9,49.2,60
1924,38.7,39,47.4,57.2,64.8,76.8,76.1,78.6,68,58.9,49.5,43.1,58.2
1925,M,48.8,52.6,61.6,64.3,79,81,77,79.3,58.4,47,40.4,62.7
1926,38.2,45.1,44.3,57.1,68.2,74.2,79.4,80.3,75.4,61.9,45.5,41,59.2
1927,40.5,49.9,51.6,58.9,68.7,72.3,76.6,72.9,73.8,62.1,54,41.5,60.2
1928,40.5,41.4,48.6,55.6,64.9,74.3,80.1,79.5,67.8,63.4,49.4,41.9,58.9
1929,40.7,40.4,55,62.8,67.1,73.8,76.9,76.6,70.9,57,49.7,42,59.4
1930,42.9,44.3,48.9,58.5,70.3,73.6,80.3,74.6,75.2,54.6,44.8,34.3,58.5
1931,M,M,43.5,57.1,65.7,76.1,81.9,76.2,74.3,60.4,52.5,M,65.3
1932,49.2,49,46.7,58.8,67.1,76.5,80.8,77.6,70.6,M,45.7,43.5,60.5
1933,47.2,44.6,51.5,59.2,72.8,77.4,77.9,77.4,76.7,61.4,49.6,47.7,62
1934,44.8,36.8,47.8,60.7,67.6,77.9,80.4,78.1,73.2,59.9,52.1,41.9,60.1
1935,41.3,43.6,56.1,58.4,66.2,75.7,78.5,77.8,71.4,61.3,53.6,35,59.9
1936,36.9,38.7,53.3,56.2,70.5,75.9,80,77.6,73.3,62.7,48.9,43.6,59.8
1937,51,44.5,49.9,58.5,67.7,78.4,79,79.7,68.2,56.1,44.4,39.4,59.7
1938,40.1,46.1,57.7,60.6,69.8,75.3,79.6,80,72.2,59.5,53.1,40.7,61.2
1939,43.3,47.9,55.2,59.1,68.8,80.3,78.8,78.4,74.7,64.1,45.8,41.6,61.5
1940,28.7,41.9,47.2,58.1,67.5,77.8,78.2,77.8,70.3,60.3,49.5,44.3,58.5
1941,39.1,37.5,44.2,62.4,71.1,76.7,80.5,80.2,75.6,68.3,50.1,44.3,60.8
1942,38.8,37.4,51.1,62.1,70.2,77.8,80.7,78,73.2,61.4,51.1,38.8,60
1943,42.7,46.2,48,58.3,71,81.4,79.3,80.1,68.6,58.5,47.6,40.3,60.2
1944,39.8,44.5,48.2,58.7,73,79.5,77.4,76,72.3,59.1,47.7,36.2,59.4
1945,40.4,42.6,61.1,63.8,65.8,77.8,79,77.1,75.1,59.1,50.3,35.6,60.6
1946,41.1,45.6,57.9,62.1,67.6,76.5,77.9,75.7,71.3,61,54.1,44.2,61.3
1947,45.7,35.9,42.3,62.8,70.3,76,75.8,79.6,74.4,63.9,46.5,39,59.4
1948,35.1,M,54.8,63.8,69.7,76.9,80.6,77.7,70.2,57.2,54,46,62.4
1949,50,50.7,52.2,59.2,69.6,77.9,81.3,77.7,69.1,64.1,48.4,43.7,62
1950,52.4,45.8,48.4,58.5,70.5,76.4,78,76.3,70.5,64.2,47.3,37.8,60.5
1951,42.1,44.5,51.8,59.3,67.8,76.4,79.1,78.6,72.8,63.6,45.6,42.5,60.3
1952,46.6,44.8,49.7,59.3,68.5,80.2,79.5,74.8,68.6,55.5,49.7,40.6,59.8
1953,45.4,46.7,50.9,59.9,73.9,76.7,79,77.2,70.3,61.3,49,41.7,61
1954,41.1,48,49.4,64.2,63.6,75.5,78.9,79,74.8,62.2,45.3,39.4,60.1
1955,39.8,44.4,53.7,63.2,70.2,71.3,80,78.8,72.1,59.5,48.8,37.7,60
