Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,39.6,37.2,M,51.3,65,73.3,78.2,M,M,M,M,M,57.4
1902,35.8,33.8,48.6,56.5,70,73.4,77.8,74.8,69.7,59.7,54.8,M,59.5
1903,38.6,42,54.9,56.6,66.3,70,76.9,76,68.4,59.1,45.1,35.5,57.5
1904,35.3,37.4,50.7,54.1,65,72.4,74.6,74.4,69.4,56.8,46.9,38.3,56.3
1905,34.2,32.4,53.3,59.2,68.8,75.8,76.4,73.2,72.3,59.2,48.8,38.5,57.7
1906,42.3,41.4,44.5,61.4,65.9,73.7,74.7,77.3,73.1,57.4,49.2,41.8,58.6
1907,47.3,40.3,57.6,51.6,64.4,69.2,77.5,75.3,71.7,56,M,M,61.1
1908,M,M,M,M,66.2,72.7,76.9,75.1,68.5,M,M,M,71.9
1909,M,M,M,61.5,65.6,76.1,76.5,75.3,68.1,58,55.8,38.7,64
1910,40.2,40,56.8,59.7,65.7,71.3,78.1,75.3,72,61.4,44.9,36.1,58.5
1911,44.3,47.7,48.7,54.7,68.7,74.5,76.8,75.1,75.3,63.1,45.3,46.1,60
1912,36.1,39,48.7,61.2,67.4,71.5,75.4,75.3,74.3,61.8,50.4,44,58.8
1913,47.1,43.6,M,57.7,68.2,73.8,78.5,74.6,66.9,59.9,50.8,44.3,60.5
1914,43.1,38.7,45.7,58.9,68.7,M,72.1,76.9,69.4,62.1,50,39.3,56.8
1915,41.7,45,43.1,61.8,69.6,73,77.5,75.8,72.6,63.3,52.6,39.9,59.7
1916,46.3,44.2,49.7,58.1,71.7,73.6,M,78.5,69.6,60.6,50.5,40.4,58.5
1917,45,41.9,49.1,62.2,62.2,75.5,77.6,75.8,69.3,55.7,49.3,34.9,58.2
1918,32.5,48.8,56.4,57.3,72.6,74.8,75.1,78.5,66.6,64.2,50.5,47.7,60.4
1919,44.4,42.6,53.2,M,68.3,76.1,78.9,76.2,72.5,70.9,53.7,42,61.7
1920,M,41.5,49.3,57.5,64.7,74.9,77.1,75.4,72.3,63.4,49,42.6,60.7
1921,M,M,M,M,65.2,77.5,79.3,77,78.2,60.5,53.8,M,70.2
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,45.7,44.6,56.9,66.8,73.6,77.8,77.5,74.2,62.7,45.2,42.7,60.7
1927,41.3,50.5,50.5,58.4,67.5,70.5,75.8,73.1,72.5,62.7,53.1,42.3,59.9
1928,40,41.4,50.2,54.8,64,71.8,77.4,77.4,66.8,63,51.1,42.2,58.3
1929,41.2,40.1,53.4,61.4,65.9,72.3,M,75,71.8,58.4,51.6,41.9,57.5
1930,42.8,47.6,48.2,59.3,68.9,72.3,80.5,74.1,75.8,58.8,M,35.4,60.3
1931,M,45.5,45.1,57.2,65.2,76.3,80.4,75.8,75.6,64.1,58.5,49.5,63
1932,49.4,50.2,47.8,59,66.6,75.6,80.7,77.1,71.7,61.1,46.8,44.1,60.8
1933,48.1,43.1,49.2,58.5,71.6,78.2,77.9,76.7,75.9,61.4,49.9,46.6,61.4
1934,43.9,36.3,46.7,59,67.7,77.3,79.9,77.1,72.7,60.6,51.6,41.6,59.5
1935,40.8,42.9,54.5,57.9,66.5,76.3,76.7,75.4,70,60.1,52,33.9,58.9
1936,35.2,37.2,51.6,55.2,70.4,74.7,78.7,76.7,71.5,M,48.7,43.5,58.5
1937,48.2,42.6,48.9,57.3,67.3,76.7,77.4,77.1,68.2,56.2,47.1,40.4,59
1938,40.5,47.1,55.6,59.6,68.6,72.5,77.1,79.2,72.7,62.5,53.4,42.2,60.9
1939,43.9,47.5,53.7,59,68.4,78.9,77.8,77,75.1,64,M,M,64.5
1940,30.4,42.2,46.9,58.2,66.9,76.7,77.3,75.7,70.4,62.6,50.7,46,58.7
1941,41.4,39,45,62.2,71,75.4,77.9,78.4,75.6,68.2,51.9,46.2,61
1942,39.5,39.2,51.7,62.5,68.9,76.3,78.9,75.9,71.2,61.9,52,40,59.8
1943,42.6,45,47,57.5,69.8,79.9,77.2,79.5,68.9,59.4,49.9,42.7,60
1944,41.8,46.7,49.4,58.4,71,78.4,76.3,75.7,72.1,61.4,50.2,38,60
1945,41,44.4,60,63.1,65.5,77.2,77.3,76.5,74.7,60.1,52,36.4,60.7
1946,42.4,45.6,56.6,61.9,65.8,75.1,77.1,75.1,71.8,61.8,55.3,47,61.3
1947,45.9,37.4,43.7,62.6,68.4,74.3,75.3,77.8,72.3,64.9,47.8,42.3,59.4
1948,35.6,43.9,55.4,62.8,68.4,75.9,79.7,75.8,70.3,59.3,55.3,47,60.8
1949,50.5,49.9,52.1,58.4,68.2,76.8,79,76.5,69,64.6,50.3,45.2,61.7
1950,52.1,47.3,48.1,58.8,69.3,75,75.8,74.4,69.7,64.9,48.5,M,62.2
1951,42.5,45.7,51.4,58.7,67.7,75.5,78.6,77.8,72.5,65.9,46.7,44.1,60.6
1952,48,46.2,50.9,60.1,68.8,80.7,80.1,75.6,69.7,57.8,52,43.3,61.1
1953,46.5,48.8,53.1,61.1,73.3,76.5,79,77.3,70.5,64.2,52.1,42.8,62.1
1954,43.1,49.1,50.3,64.3,63.4,76.4,80,79.1,75.5,63.9,47.8,41.6,61.2
1955,42,45.2,54.5,63.3,70,71.4,79.4,78.5,72.7,61.1,50.6,39.7,60.7
1956,40.6,47.3,M,55.5,67,73.9,77.1,77.1,68.1,60.8,48.2,49.5,60.5
1957,42.2,47.9,49,62.2,69,75.5,76.9,74.4,71.4,54.8,50.5,42.4,59.7
1958,33.7,35.2,44.6,57.3,67.1,74.7,78.3,76.6,69.7,57.8,52.2,36.6,57
1959,39,42.6,46.3,59.4,69.7,72.8,76.8,77.9,69.5,60.8,47.6,40.4,58.6
1960,40.3,39.4,35.6,60.2,63.7,73.6,76.1,77,70.4,59.7,48.1,34.6,56.6
1961,35.2,43.2,52.1,52.8,62.9,71.7,75.1,74.1,70.9,56.8,53,39.4,57.3
1962,37.7,44.9,46.6,55.3,71.4,73.3,75.9,75.1,67.4,60.4,46.3,36.6,57.6
1963,35.5,35.3,51.5,60.1,65.6,72,74.7,74.8,66.6,58.8,49,32.8,56.4
1964,37.7,37.9,48.4,58.8,66.5,74.1,75.1,73.8,67.4,53.6,50.6,42.1,57.2
1965,39.5,42.1,45.4,59.3,70,70.3,74.8,74.8,69.7,56.1,48.4,40.9,57.6
1966,33.5,39,46.3,55.6,65,70.1,75.6,73.7,67.4,56.3,48.4,39.5,55.9
1967,41,38.1,51.5,61.5,62.8,70.1,74.1,72.9,63.3,55.9,43.3,43,56.5
1968,34.4,33.4,49.5,57.5,63,72,75.5,76.4,66.7,58.4,47.4,35.7,55.8
1969,35.3,39.2,42.6,59.1,65.8,75.5,78.4,74,67.2,58.7,45.3,36.9,56.5
1970,32.7,39.9,46.6,59.8,67,73.2,77.1,76.2,73.7,61.6,49,41.5,58.2
1971,38.1,39.6,46,56.2,63.2,73.6,74.8,73.9,71.4,63,46.4,48.3,57.9
1972,43.5,38.9,49,57.1,63.6,M,75.2,M,70.3,56.1,46.7,44.4,54.5
1973,38.1,39,53.2,56.6,63.6,73.5,76.3,75.4,71.8,60,50.2,39.4,58.1
1974,47.9,42.6,52.9,57.8,66,69.2,74.7,74.2,66.4,55.3,46.6,40.1,57.8
1975,42.2,42.8,45.4,55.6,67.4,72.1,74.9,76.8,68.2,60.9,50.2,39.1,58
1976,34,47.2,52.4,57.4,63.3,71.1,75,73,65.8,53.2,41.5,37.3,55.9
1977,26.7,38.4,52.2,60.3,67,73,79.1,76.8,70.7,55.7,50,37.2,57.3
1978,30.5,32.7,45.9,58.6,65.6,73.8,75.3,76,70.3,55.9,51.6,40.7,56.4
1979,35.9,35.7,51.7,57.5,65.6,69.6,74.1,74.5,68.9,57.4,49.4,40.8,56.8
1980,40,37.2,46.7,57.6,65.3,71.3,77.8,76.5,71.6,56.3,46.5,41.8,57.4
1981,34.4,M,46.3,61.5,M,M,78.9,74.3,67.8,56.6,M,36.2,57
1982,33.9,44,49.5,53.9,69.4,73,77.5,74.9,67.2,58.1,M,M,60.1
1983,M,38.9,49.8,53.1,65.4,71.9,78,78,69,58.9,48.4,36.8,58.9
1984,36.8,43.8,48.7,54.9,64.7,75,75.7,75.8,66.3,66.1,46.1,48.9,58.6
1985,34.2,41.3,52.4,60.3,67.4,74.2,75.3,74.2,68.4,63,56.6,37.5,58.7
1986,37.4,44.4,49.9,60.4,67.6,78,81.3,75.1,71.1,61.3,51.1,39.9,59.8
1987,36.7,40.1,48.3,56.5,69.1,75.5,79.4,78.9,71.1,52.9,50.1,42.5,58.4
1988,33.3,40.8,49.2,57.9,65.2,73.1,77.5,78.7,68.6,52.9,49.1,40,57.2
1989,42.9,43,51.2,58.2,63.7,73.9,76.8,75,69.7,58.6,48.7,33.8,58
1990,44.5,47.8,52.3,M,67.4,74,76.2,76.5,70.8,61.2,51.2,45.9,60.7
1991,40.6,44.9,52.5,60.8,71,73.7,78.6,75.4,67.8,59.9,47.7,45.5,59.9
1992,42,45.5,48.5,56.6,62.6,70.9,78.6,73,69.2,56.3,48.6,40,57.7
1993,42.6,39.9,47.3,M,67.7,74.9,80.8,76.8,71.8,58.6,48.8,39.1,58.9
1994,35.5,42,51.3,59.6,63.7,76.2,77.8,74.7,67.8,57.9,51.3,45.3,58.6
1995,39.9,40.6,51.6,60.4,67.2,73,78.7,78.8,68.9,60.5,46.6,38.2,58.7
1996,37.5,43.1,46,58,69,74.7,78,75.7,69.8,60.6,45.3,42.9,58.4
1997,40.4,45.1,55.2,55,63.7,71.1,78.5,75.1,70.8,59.2,45.4,39.4,58.2
1998,43.5,45.1,48.6,59.3,70.3,76.3,79,77.5,74.6,61.1,51.9,46.2,61.1
1999,44.2,45,46.7,61.6,65.9,73.4,79.1,78.3,68.5,58.4,53.7,42.8,59.8
2000,38.8,44.9,53.4,59.1,70.1,76,76.4,76.3,68.9,59.6,47,32.4,58.6
2001,38.5,46.8,48.1,62.1,68.1,M,75.7,78.6,M,M,52.2,45.5,57.3
2002,40.8,42.5,50.1,62.9,65.3,74.9,78.7,76.2,70.8,59.6,44.8,37.5,58.7
2003,34,38.1,49.9,54.6,63.4,69.8,74.9,76.1,67.6,55.9,52.5,36.4,56.1
2004,35.2,36.5,48.6,55.2,69,72.3,75.5,72.3,67.4,60.1,48.4,38.4,56.6
2005,41,40.6,44.2,55.4,61.1,71.3,77,76,70.5,58.7,47.7,35.8,56.6
2006,42.7,38.2,46.9,59.6,61.2,71.9,75.9,76.7,66.2,54.7,47.5,43,57
2007,41.4,36,52,54.9,63.8,72.8,73.4,80.2,71,61.6,45.6,43.2,58
2008,35.6,41.6,47.4,54.4,62.1,75.3,74.8,73,68,54.9,44,41.5,56.1
2009,35.3,39.7,45.8,55.5,64.5,72.7,73.3,75.3,67.6,55.3,49.4,35.5,55.8
2010,33,33.7,45.8,58.7,67,76.4,77.3,76.7,70.3,58.3,45.9,31,56.2
2011,32.9,41.2,47.1,58.6,65.2,74.7,78,75.4,68.8,55.2,48.4,42.9,57.4
2012,40,41.6,55.6,56.7,67.7,70.4,78.8,74,68,57.4,43.2,43.5,58.1
2013,40.1,38.2,40.6,56.1,62.5,73.1,75.3,72.5,67.7,58,43.6,41.8,55.8
2014,30.6,40.3,42.1,55.7,66,73.7,74.2,72,68.9,58.3,42.1,41.5,55.5
2015,35.2,32.1,47.5,56.6,67.2,75.7,77.2,74.6,68.5,57,50.2,49.8,57.6
2016,34.1,39.1,52.2,56.4,63.5,74,78.9,77.6,73.1,60.2,49,40.2,58.2
2017,40.7,47.7,47.1,61.4,65.7,72.9,77.5,73.4,67.7,59.1,46.5,39.6,58.3
2018,32,47.4,44,54.5,70.8,75.8,76.9,75.9,74.7,60.1,44.3,40.5,58.1
2019,39.9,44.4,45.6,58.8,70.3,72.5,78.1,75.4,74.2,62.2,44.1,42.5,59
2020,42.1,43.4,53.8,56.1,61.5,72.6,78.9,76.6,67.5,60.6,51.8,38.7,58.6
2021,37.5,38.8,50.2,56.3,64.5,73.4,77.1,77,69.1,62.7,44.8,46.8,58.2
2022,35.8,41.6,50.5,56.5,67.6,74.7,78.6,75.6,68,54.3,49.3,37.6,57.5
