Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,69.4,56.6,49.3,M,58.4
1930,41.9,45.5,46.6,59.4,66.5,72,77.3,74.3,72,55.6,M,38.5,59.1
1931,39.8,M,M,56.6,64.3,M,79.1,M,M,M,M,M,60
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,69.8,M,M,M,74.3,61.3,48.2,50.4,60.8
1934,44.8,37.5,48.7,58.1,67.5,75.2,79.4,76.6,70.7,M,51.1,38.7,58.9
1935,42.4,43.4,55.6,57.4,67.6,71.6,76.8,77.3,72.9,60,50.5,33.2,59.1
1936,35.6,38.1,51.4,55.4,68,74.9,77.8,77.1,72.9,60,45.5,44.4,58.4
1937,52.9,39.2,44.4,55.9,65.1,73.8,74.6,76.2,68.5,54.5,43.9,37.3,57.2
1938,38.8,48.2,54,57.6,65.8,70.8,75.9,77.9,69.5,58.6,48.5,38.8,58.7
1939,40.7,44.6,50.6,54.5,65.4,75.6,75.9,75,73.4,60.6,44.7,39.6,58.4
1940,24.7,39.3,45.7,55.6,62.3,73,75.7,M,67.6,59.5,46.6,45.2,54.1
1941,38.6,34.4,41.4,59.6,67.6,74.7,77.3,78.1,73.9,65.3,47.7,42.2,58.4
1942,35.2,32.8,M,57.8,M,M,M,M,M,M,M,M,41.9
1943,41.3,40.7,45.1,54.9,67.3,78.1,77.1,76.8,66.6,54.9,45.5,39.4,57.3
1944,37.6,44.3,49.2,58,70.9,76.1,75.6,76.4,70.9,58.3,48.1,38.1,58.6
1945,38.3,43.8,58.1,60.9,62.1,72.3,77.4,74.3,71.7,55.4,49.7,35.4,58.3
1946,41,42.4,55.6,59,64.1,70.9,76.1,71.3,67.9,59.4,54.2,44,58.8
1947,45.4,32.4,40.9,61.4,63.2,71.5,72.4,76.9,72,63.4,46.9,39.2,57.1
1948,34.1,48.6,53.8,M,M,M,M,70.2,67.2,55.1,51.1,42.1,52.8
1949,45.9,50.2,50,57.3,67.1,73.9,80.6,77.8,67.8,64.1,45.3,M,61.8
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,M,M,M,M,M,M
1958,M,M,M,M,M,M,M,M,M,M,M,M,M
1959,M,M,M,M,M,M,M,M,M,M,M,M,M
1960,M,M,M,M,M,M,M,M,M,M,M,M,M
1961,M,M,M,M,M,M,M,M,70.3,56.6,52,40.7,54.9
1962,37,46.6,43.9,52.7,69.6,69.8,72.5,73.1,67.6,59.5,46.8,37.3,56.4
1963,33.2,35.2,51.3,58.8,62.5,70.3,72,71.8,67.6,60.9,48.4,31.6,55.3
1964,37.7,36.5,48,59,64.5,72.3,73,71.9,66.8,54.4,51.5,43.4,56.6
1965,40.9,38.9,45.5,59.5,66.5,69.5,72.9,72.7,70.5,56.7,51.6,43.4,57.4
1966,35.9,42.6,49.3,57.5,63.9,69.6,75,72,66.3,56.7,50.5,41.8,56.8
1967,42,39.3,54.7,61.9,63.6,71.1,69.6,69.9,64,57.8,45.2,46.7,57.2
1968,38.3,32.7,49.6,58.7,63.5,71,73.2,73.7,66.5,58.9,46.9,38.5,56
1969,37.9,39.3,41.5,59.6,64.9,71.4,75.4,71.7,66.1,58,44.6,37.4,55.7
1970,31.8,39.8,48,59.8,65.4,70.1,73.9,72.9,71.2,61.5,47.3,44.8,57.2
