Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,42.8,43.3,49.9,59.1,68.5,78.2,83.6,84.3,76.6,66.8,55.3,44.5,62.7
1901,44,40.1,55.1,55.3,70.9,77.6,82.4,80.1,73.9,62.1,45.3,44.6,61
1902,41.3,39.1,55.1,61.3,72.8,77.4,82.7,78.7,72.5,62.9,57.5,45.5,62.2
1903,43.5,48.5,60,56.5,67.6,M,M,79.7,71.6,M,M,35.7,57.9
1904,35.7,38.8,51.7,58.5,68.8,77.6,80.4,78.2,71.6,59.7,48.7,40.6,59.2
1905,40.2,38.1,56.6,61.3,73.1,77.2,79.5,77.3,74.3,62.4,51.8,45.4,61.4
1906,48.1,44.1,50.4,63.8,70,78.9,79.2,78,81.5,64.5,52.3,46.7,63.1
1907,51,42.6,59.2,54.4,68.7,73.5,81.3,78.6,77.1,59.1,51.3,46,61.9
1908,44,43.2,60.5,65.8,71.6,76.8,79.8,78.9,72.9,62.7,54,48.7,63.2
1909,48.7,52.9,52.1,63.3,M,78.4,76.5,77.1,M,M,M,M,64.1
1910,M,M,M,63.9,68.1,74.9,79.9,78.2,75.1,65.4,48.2,40.2,66
1911,49.9,48.8,51.4,59.3,72,80.9,81.3,80.7,78.1,65.9,52.1,49,64.1
1912,37.9,41.2,51.8,64.4,71,76.1,79.2,78.6,76.9,64.3,51.7,49.3,61.9
1913,54,47.3,58.4,61.6,69.9,75.7,80.7,78.2,71,63.2,51.4,47,63.2
1914,48.1,42.8,47.1,61.6,71,79.5,78.8,79.2,70,64.4,51.5,43.3,61.4
1915,44.7,48.5,44.7,62.1,71.2,75.2,80.7,78.8,75.5,65.5,55,42,62
1916,51,46.4,51.2,60,72.3,74.7,78.5,78.4,70.9,64,54,44.6,62.2
1917,48.7,47.3,53.4,63.2,66.4,76.5,79.6,78.1,69.9,59.7,48.7,36.7,60.7
1918,35.5,51.9,57.3,60.3,73.3,75.3,77,79.9,70,M,M,52.3,63.3
1919,46.9,46.8,55.1,61.4,M,M,M,M,M,M,M,M,52.6
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,53.9,53.9
1924,46.6,45.4,52.5,61.9,70.9,80.1,79.8,81.7,71.8,64.3,M,M,65.5
1925,M,M,M,M,M,M,M,80.3,80.9,64.7,53.8,45.1,65
1926,M,51,50.1,61.5,70.9,77.4,81.9,83.2,79.3,67.1,57,50,66.3
1927,47.3,57.7,56.7,63,73.3,76.8,80.6,78.6,77.8,68.7,59.9,49.4,65.8
1928,48.6,49.6,56.1,61.1,69.1,79,82.4,83.5,75.9,68.6,54.5,46.9,64.6
