Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,42.5,47.4,55.6,70,80.5,79.2,79.3,67.7,57.6,45.8,38.9,60.4
1944,38.7,40.8,44.4,56.5,72.9,79.6,78.7,76.1,M,59.5,47.6,M,59.5
1945,M,M,M,63.6,65.7,79.2,79.2,76.3,75.8,M,51.6,M,70.2
1946,M,43.4,57.1,59.5,67.7,75.6,77.2,74.2,71.5,61.5,M,M,65.3
1947,44.8,34.1,41.4,61.3,69.5,74.8,76.5,79.2,72.7,64.2,47.1,39.6,58.8
1948,34.1,40.6,54.7,61.9,M,M,M,M,M,M,M,M,47.8
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,45.9,48.4,56.8,66.9,75.1,77.2,M,69.1,62.3,49.1,50.1,60.1
1957,39,45,48.3,61.3,68.8,77.1,78.8,76,73.7,55.3,51.3,44.1,59.9
1958,34.8,34.8,44.3,58.5,67.4,72.5,79.5,76.9,69.5,58.2,53.8,35.3,57.1
1959,37.6,42.2,47.8,60,70.3,75.1,78.1,78.9,71.3,62.8,48.2,42.1,59.5
1960,40.6,39.7,37.7,62.3,66.3,74.6,77.1,78,71.1,61,50.5,35.7,57.9
1961,35,43.9,53.4,53.6,63.8,72.5,78.3,77.5,74.3,58.9,52.1,40.2,58.6
1962,37.6,40.9,45.2,57.2,71.3,73.7,75.7,75.6,68.3,62.3,47.4,36.8,57.7
1963,35.7,34.3,52.4,59.5,64.9,73.5,77.1,76.8,68.1,60.1,51.6,M,59.5
1964,39.7,39.1,50.5,58.4,67.9,76.2,77.2,74.7,70.1,55.7,54.4,43.6,59
1965,39.4,39.8,45.3,56.2,72.2,71.6,76,77.1,72.4,57.8,51.6,42.9,58.5
1966,35.7,38.9,48.9,55.9,65.3,72.4,79.8,76.3,69.5,57.9,50.1,40.1,57.6
1967,42.4,36.7,49.6,60.4,62.4,71.3,75.8,74.6,65.2,57.9,46.1,44.1,57.2
1968,35.4,35.1,51,58.4,63.9,74.1,77.5,79,70,61.1,50.9,37.6,57.8
1969,35,39.6,44.3,59.5,66.9,76.4,79.4,75,68.7,59.6,47.7,38,57.5
1970,33.1,39.8,45.9,58.8,67.9,74.3,77.3,76.7,75.3,61.8,50.5,43.1,58.7
1971,37.2,41.5,45.4,55.8,64.2,75,76.6,75.1,72,64.7,49.4,49.6,58.9
1972,43.9,39.3,49.8,56.2,63.7,70.3,77.1,75.5,70.3,57.2,48.5,44.8,58
1973,39.2,38.9,52.4,57.1,64.4,75.5,77,76.9,73.6,61.7,52.9,42.4,59.3
