Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,57.1,51.3,43,50.5
1953,47.2,48.4,52.3,61.1,74.4,76.9,80.2,79.6,72.4,63.6,51.4,43.2,62.6
1954,43,48.7,50.9,65.3,65.2,76.7,79.8,78.6,75.5,64.1,47.5,41,61.4
1955,40.7,44.6,53.6,64.1,70.4,71.9,80.1,78.1,71.5,60.3,49.1,37.9,60.2
1956,39.4,46.9,50.9,58.6,69.8,77.3,80,79,69.8,62.1,49.9,51,61.2
1957,42,47.8,49.8,64.4,71.1,77.5,79.6,76.6,72.8,57.1,52.8,45.1,61.4
1958,37.5,36.1,45.9,60,68.7,75.3,79.8,76.8,70.6,59.2,54.1,38.2,58.5
1959,38.6,43.6,48.4,61,71.2,75.8,77.6,78.8,70.2,61,47.8,42.2,59.7
1960,40.6,40,37.1,62.3,66.6,75.5,76.5,77.7,70.2,60.3,50,36,57.7
1961,35.9,43.9,52.1,53.8,63.7,M,77.6,75,72,58.7,52.3,41,56.9
1962,36.5,43.9,45.5,57.5,72.4,73.4,76.2,75.9,68,62.5,47.5,37.1,58
1963,35.6,35.5,52.8,60.7,66.6,73.4,76.4,M,67,60.4,51,34.2,55.8
1964,39.9,40.1,50.2,59.6,68.9,76.5,76.1,75,69,54.8,53.7,44.5,59
1965,40.8,42.4,45.8,59.2,73.1,72.4,76.7,77.9,72.6,59.2,51.7,44.3,59.7
1966,35.2,41.2,49.5,55.6,66.2,73.8,79.9,77.1,69.4,57.3,49.9,40.5,58
1967,43.4,37.5,51.7,62.5,63.4,72.5,76.4,75.3,66,58.4,46.4,44.3,58.2
1968,35.6,35.8,52.7,59.1,65.6,74.9,77.6,79,70.5,61.5,50.6,37.9,58.4
1969,36.7,40.3,45.2,60.6,67,74.8,78,74.3,68.8,59.4,47.3,38.7,57.6
1970,34.6,40.3,47.8,61.5,69.1,75,78.4,77.4,75.4,61.9,50.1,43.8,59.6
1971,38.2,42.3,45.7,58,65.7,76.7,77.1,75.5,71.9,64.6,48.9,49.5,59.5
1972,44.1,39.7,49.6,58.8,64.6,71.5,77.8,76.5,71.5,57.2,48.3,45.9,58.8
1973,39.5,39.5,55.4,57.7,65.4,76.4,M,M,74.1,62.4,53.1,41.4,56.5
1974,48,42.7,52.3,59.1,67.4,71.6,78,76.6,68.7,57.8,50.6,42.8,59.6
