Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,51.3,38.3,44.8
1956,40.7,48.4,50.9,58.8,69.4,76.5,78.4,77.3,69.9,63,50.8,51.9,61.3
1957,43.2,48.4,50.2,63.7,68.7,75.2,77.7,75.8,73.1,57.4,54,46.8,61.2
1958,37.5,37,47.2,60.9,68.7,73.7,79.5,77.4,71.5,61,56,39.7,59.2
1959,42.7,46.8,51.1,62.4,71.9,75.9,78.6,79.4,72.3,63.9,52.7,44.7,61.9
1960,44.6,43,39.9,64.1,67.5,75.7,76.7,77.9,72.3,62.4,53.9,38.8,59.7
1961,39.3,47.1,56.3,55.7,65.6,73.6,78.3,77.4,74.2,60.5,54.8,44.4,60.6
1962,41.6,47.5,47.9,58.9,73.6,74.1,76.6,76.3,70,63.5,50.2,39.8,60
1963,39.3,38.8,55.6,63,67,74.8,77.6,77.2,68.5,61.8,52.9,36.7,59.4
1964,42.5,M,53.1,60.6,68.3,77,77,76.3,71.8,59,M,48,63.4
1965,43.7,45.8,M,61.8,73.3,73.5,76.8,77.9,73.3,M,54.9,46.2,62.7
1966,38.2,43.9,52.1,59.9,67.8,73.5,80.2,77.6,72.1,61.4,53.6,43.8,60.3
1967,46.2,42.4,55,64.4,66,72.8,77.1,75.8,68.1,61.1,50.2,M,61.7
1968,M,M,56,62.2,67.5,75.8,78.4,80.6,72,62.6,54.1,41.8,65.1
1969,38.8,41.6,47.1,62.1,69.2,77.2,80.2,75.5,70.6,63.2,50.3,42,59.8
1970,37.8,44.1,50.6,63.8,70.1,76,79,77.5,75.4,63.4,53.7,46.3,61.5
1971,39.9,46,49.6,59.4,67.5,77.6,77.8,76.3,73.3,66.4,52.6,53.3,61.6
1972,48.2,42.9,52.1,60.2,65.4,71.3,77.6,76.5,72.2,60.7,52.1,49,60.7
1973,42.4,42.2,56.2,59.4,67.3,76.6,78.2,78,75.8,64.5,55,45.5,61.8
1974,52.9,46.4,56.5,62.2,M,M,M,M,69.8,57.7,M,43.5,55.6
1975,46,46.8,48.3,56.5,70.7,75.5,75.9,79.2,72.9,64.3,54.8,42.2,61.1
1976,39.3,51.9,56,60.9,65.7,72.7,78.6,75.6,70.7,56.8,M,40.9,60.8
