Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,M,M,M,M,M,M
1958,M,M,M,M,M,M,M,M,M,M,M,M,M
1959,M,M,M,M,M,M,M,M,M,M,M,M,M
1960,M,M,M,M,M,M,M,M,M,M,M,M,M
1961,M,M,M,M,M,M,M,M,M,M,M,M,M
1962,M,M,M,M,M,M,M,M,M,64.7,50.8,41.5,52.3
1963,40.5,39.8,56.9,63.6,68.2,75.1,77.9,77.9,69.4,62.4,53.1,37.4,60.2
1964,43.5,42.5,54.1,62.2,70.1,77.3,77,76.3,72,58,56.6,47.6,61.4
1965,44.1,45.4,49.7,61.4,73.4,73.7,77.1,78.8,73.5,61.1,53.2,45.4,61.4
1966,39,44.1,51.8,60.5,66.9,73.7,79.6,77.9,69.7,59.3,51,40.7,59.5
1967,45,41.1,54.5,63.4,65.3,72.4,76.6,75.3,67.4,60.3,47.2,47.5,59.7
1968,37.5,37.8,54.1,61.1,67.8,75.7,M,M,73.8,63.6,52.6,41.8,56.6
1969,39.6,42.3,47.7,61.8,68.4,76.1,79.9,75.3,70.3,61.8,48.6,40.7,59.4
1970,M,43.5,50.8,63.2,69.7,74.9,79.2,77.2,74.7,62.9,51.3,M,64.7
1971,M,45.2,M,60,67.8,78.4,79.3,M,72.5,M,M,51.7,65
1972,M,M,M,M,M,M,M,M,70.5,60,50.7,47.3,57.1
1973,41.6,40.4,M,58.7,66.5,74.7,75.9,75.5,72.6,61.8,52.9,44.6,60.5
1974,52.1,45.3,55,61.4,68.4,74.5,78.7,77.9,72.1,59.2,51.8,46,61.9
1975,48.2,49.8,52.3,59.6,71.8,M,77.1,79,71.5,62,52.9,41.1,60.5
1976,38.9,51.7,56,61.2,65.6,71.5,75.7,73,67.1,53.7,42.8,39.5,58.1
1977,29.6,41.2,54.6,62.9,68.5,72.8,77.5,79.2,75.4,60,56,44.4,60.2
1978,37.9,37.1,51.2,M,67.2,75.6,77.6,79,73.1,59.9,55.5,47.7,60.2
1979,42.2,40.6,54.9,64,69,72,77,78.3,72.3,60.1,54.3,44,60.7
