Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,41.2,38.4,50.6,52.5,67.4,74.5,M,M,M,M,M,M,54.1
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,59.1,71.1,77,79.3,77.3,70.4,67.6,48.4,38.4,65.4
1920,36.3,M,M,M,M,M,M,M,M,M,M,M,36.3
1921,M,M,M,60.6,64.1,75.4,79.2,77.5,78.8,58.8,M,M,70.6
1922,32.6,38.9,44.8,55.4,67.6,75.9,77.8,74.3,72,60.7,48.3,43.1,57.6
1923,41.2,38.2,49.1,55,65,76.5,77.5,77.6,72.2,M,47,46.7,58.7
1924,35.7,38.1,45.2,55.2,64.3,75,75.7,76.4,66.3,58.1,48.3,40.7,56.6
1925,37.2,46.7,50.1,60.3,62.7,78.1,79.4,75.2,77,57.4,45.5,39,59.1
1926,36.4,45.5,44.3,57.1,66.3,73.9,79.7,80,74.7,62.7,46.4,42.3,59.1
1927,39.8,49.8,50.7,57.6,68.8,71.8,77,74,72.2,61.9,53,42.8,60
1928,40.9,42.5,50.1,56,65.6,74.1,79.6,79,66.9,63.8,50.7,41.6,59.2
1929,41.8,39.9,55,62,68.1,73.2,76.8,75.7,71,58,52.2,43.1,59.7
1930,42.9,47.2,48.3,58.9,69.6,74,80.4,75.3,76.6,57.3,47.4,36.9,59.6
1931,40.5,44.4,45.4,57.3,66.7,76.3,82,76.2,75.9,62.7,55.3,49.8,61
1932,50.1,49.1,47.1,58.7,67.2,76.7,81.2,78.4,72.7,61.7,47.2,44.8,61.2
1933,48.1,44.2,50.4,59.3,72.7,77.7,78.2,77.6,77,61.7,48.7,47.3,61.9
1934,44.6,35.4,48.3,60.9,68,78.1,81.2,79.3,73.2,59.6,53.1,41.8,60.3
1935,40.5,43.7,56.2,57.1,65.8,75.6,78.4,77.4,70.4,60.4,53,34.6,59.4
1936,36,37.5,53.3,56.3,69.6,74.5,78.8,78.3,72.1,62.3,48.6,42.6,59.2
1937,49.6,M,48.7,M,M,M,77.2,77.1,67.4,57.6,46.8,39.9,58
1938,40.2,47.5,55.4,58.9,67.6,72.1,75.8,78.1,69.5,58,51.7,40.9,59.6
1939,43.2,47.8,52.7,58.1,67.3,77.7,76.4,76.7,72.7,61.8,46.3,43,60.3
1940,29.6,41.5,46.3,56.1,65.5,75.7,75.9,75.3,67.9,57.8,48.3,44,57
1941,38.4,37,43.9,61.8,68.8,75.1,79.7,77.9,74.1,67.1,49.9,44,59.8
1942,38.3,38.5,51.2,59.8,68.2,76.2,78.3,75.1,71.8,61.4,51.2,40,59.2
1943,42.1,42.9,48.6,58.4,69.2,78.9,78.1,77.6,67.6,58.1,47.9,41,59.2
1944,40.2,44.2,47,58.7,70.8,77,75.7,74.6,72,59,48.3,37.1,58.7
1945,39.3,44,60.8,63.7,65.6,76.2,77.2,76.2,73.7,58.5,51.7,36.3,60.3
1946,41.9,44.8,56.2,60.5,67,74.4,76,73.9,70.9,59.5,M,46.2,61
1947,45.8,36.1,42.1,61.9,68.5,73.8,74.4,78,71.3,64.3,47.1,39.5,58.6
1948,35.1,42.2,54.8,61.2,67.8,75,79.4,75.6,70.2,58.1,55.6,45.3,60
1949,50.5,49.7,52.2,57.6,68.4,76.7,80.8,77.2,69.5,63.5,49,44,61.6
1950,52.2,45.8,49.3,57.7,68.9,75,76.4,75.8,69.8,63,47.6,36.8,59.9
1951,41.6,44.3,49.7,58.2,66.6,M,79.8,80.3,71.2,64.3,47.9,44.6,59
1952,47.2,45.2,49,60.4,69.2,80.6,80.9,76.7,69.3,55.7,49.7,40.9,60.4
1953,47.3,46,51.1,59.4,72.5,74.6,79.6,M,71.7,62.6,50.6,44.2,60
1954,43,48.2,51.3,64.7,64.6,75.9,79.7,78.1,75,64.3,47.4,39.4,61
1955,40.5,44.3,54,63,69.7,71.2,81.2,78.7,72.6,58.8,47.2,36.4,59.8
1956,39.1,45.7,48.6,56.9,67.9,75.3,77.9,76.4,68.3,61.5,48.4,49.9,59.7
1957,42,46,49,62.2,68.6,75.9,78.1,75.1,71.1,54.8,49.9,46.3,59.9
1958,36.3,35.7,45.9,59.4,69.3,74.9,80.1,77.5,70.1,59.4,53.7,37.4,58.3
1959,40.6,45.1,48.8,61.5,71.5,75.5,78.1,79.3,71.3,62.6,50.6,43.3,60.7
1960,42.4,41.4,39,62.6,66.2,75.4,76.7,78.3,70.8,61.4,51.6,37.6,58.6
1961,36.4,45.3,53.8,54.4,64.6,73.4,77.2,76.3,73,59.6,52.8,40.6,59
1962,40.1,44.9,45.5,57,71.8,72.6,75.3,75,68.1,62.2,48.1,39,58.3
1963,38.1,36.8,53.8,61.9,68.3,73.4,76,76.8,68.6,60.6,51.6,34,58.3
1964,40.6,40.2,50.8,60.3,67.8,75.5,75.9,75.2,69.1,55.5,53.3,45,59.1
1965,40.8,43.4,47.4,60.4,72.4,72.4,76.3,77.6,72.9,58.8,51.8,44,59.8
1966,36.9,41.3,50,57,67,73.1,78.8,77,70.5,58,50.3,41.1,58.4
1967,43.7,38.4,52.2,62,63.7,72,76.4,74.6,66.1,58.8,46.1,44.9,58.2
1968,36.6,36,52.2,58.5,65.1,74.1,77.2,79.2,70.1,61.3,49.5,37.8,58.1
1969,36.2,39,44.1,60,66.6,75,78.3,73.9,67.9,60.1,46.7,38.4,57.2
1970,34.3,40.4,47.1,60.8,69.7,75.4,77.9,76.5,75.2,60.4,49.1,43.7,59.2
1971,37.7,40.2,45,55.8,64.5,M,76.2,75.8,71.7,63.8,49,48.8,57.1
1972,43.3,38.1,48.3,56,63.5,70.1,77.1,75,69.4,56.3,47.9,44,57.4
1973,39,38,52.9,57.1,64,75.3,77,76.5,73,60.7,52.5,41.9,59
1974,48.4,42,52.5,58.1,66.2,71,76.5,75.2,68,55.9,49.2,41.9,58.7
1975,41.4,43.7,45.9,54.6,67.5,73.9,75.4,78.3,70,61.5,51.5,40.1,58.7
1976,36.2,47.3,52.3,58.8,63.7,72,76.8,74.4,66.1,52.8,42.1,35.8,56.5
1977,27.6,37.5,51.4,60.3,66.9,71.8,80,77.5,72.3,56.8,51.7,39.1,57.7
1978,32.5,33,45.2,58,64.3,75,76.6,77.8,72.4,57.9,52.8,41.8,57.3
1979,36.8,33.4,49.3,60.1,65,70,75.3,76.2,68.6,57,52.2,41.3,57.1
1980,39.1,35,44.8,58.7,66.3,70.8,77.1,77.9,72.7,55.4,45.1,39.3,56.9
1981,31.6,39.7,43.9,58.3,62.2,76.2,M,M,M,55.8,48.9,37.8,50.5
1982,M,M,M,M,M,M,78.4,74.7,M,M,M,M,76.6
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,80.6,73.3,54.2,51.9,42.7,60.5
1988,M,M,M,M,66.9,71.1,75.7,76.1,64.5,M,M,M,70.9
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,67.4,75.2,81.5,78.9,71.8,64.2,53.3,M,70.3
1991,41.8,45,52.4,61.7,72.7,76.9,82.5,78.4,71.8,60.6,48.6,44.8,61.4
1992,41.8,45.3,49.9,60,63.1,73.2,M,75.3,74,60,52.9,41.2,57.9
1993,M,40.2,46.4,57,70,77.3,84.7,79.9,75,59.7,50.1,40.2,61.9
1994,M,42.9,52.3,63.4,66,78.5,81.1,76.9,69.6,59.3,54.7,49.4,63.1
1995,M,39.4,53.4,59.8,69.4,75.1,81.9,81.2,M,62.5,M,37.7,62.3
1996,36.9,42.6,45.4,58.3,69.4,76.8,80.3,M,72.6,61.5,47.3,46,57.9
1997,42.8,46.9,56.6,M,65.6,71.8,81.9,M,M,M,M,40.9,58.1
1998,M,M,49.2,58.6,M,M,78.1,75.2,73.5,60.3,M,46.8,63.1
1999,42.9,43.9,46.3,59.8,64.1,72,78.6,78.5,67,M,52.7,42.1,58.9
2000,36.8,M,53.2,55.5,67.7,74.4,74.4,73.7,66.9,M,46.1,34.4,58.3
2001,36.6,42.5,44.9,58.3,64.9,73.7,74.3,75.5,66.1,55.3,52.5,47.2,57.7
2002,40.1,43.3,52.2,61.4,64.8,75.4,78.9,76.5,70.3,58.8,45.2,38.3,58.8
2003,35,38.6,49.8,55.4,64.3,71.4,76.3,76.5,68.4,57.6,55.4,39.4,57.3
2004,35.2,38.4,50.6,59.2,71,74.9,77.5,72.5,68.7,59.5,51.5,40.6,58.3
2005,42.4,42.6,45.5,57.4,63.2,72.9,80.5,78.7,74.1,60.1,51.6,39.2,59
2006,45.1,42.9,49,59.4,61.5,73.2,77,79.3,67.1,57.6,49.5,45.6,58.9
2007,42.9,37.4,53,57.6,65.6,73.6,77.3,80.5,73.8,63.7,49.3,M,61.3
2008,39.5,45.5,49.7,57.9,64.1,77.4,76,75.5,70.3,58.7,47.5,44.1,58.9
2009,38.2,41.4,47.9,58,68.3,74.2,74.3,77.2,67.7,57.7,51.3,39.5,58
2010,35.9,36.1,47.7,59.8,68.1,78.2,78.8,77.7,M,M,48.3,M,59
2011,M,42.9,48.4,59.3,66.3,77,78.4,77.4,69.3,M,51.1,M,63.3
2012,M,M,M,M,M,M,M,M,M,M,M,M,M
2013,M,M,M,M,M,M,M,M,M,M,M,M,M
2014,M,M,M,M,M,M,M,M,M,M,M,M,M
2015,M,M,M,M,M,M,M,M,M,M,M,M,M
2016,M,M,M,M,M,M,M,M,M,M,M,M,M
2017,M,M,M,M,M,M,M,M,M,M,M,M,M
2018,M,M,M,M,M,M,M,M,M,M,M,M,M
2019,M,M,M,M,M,M,M,M,M,M,M,M,M
2020,M,M,M,M,M,M,M,M,M,M,M,M,M
2021,M,M,M,M,M,M,M,M,M,M,M,M,M
2022,M,M,M,M,M,M,M,M,M,M,M,M,M
