Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,39.3,38.5,45.1,56.8,67.4,75.3,79.7,81.2,74.6,64.8,53.6,M,61.5
1901,40.1,37.3,50.7,52.5,66.7,74.9,79.6,77,71.3,59.5,42.6,39,57.6
1902,36.4,34.1,50.3,55.7,69.7,75.6,79.7,76.1,69.2,61.1,55.4,42.2,58.8
1903,39.8,45.2,57,57.9,67.7,71.1,78.9,77.5,68.8,58.7,47.1,36,58.8
1904,35.8,35.7,49.6,54.8,66.1,73.9,75.8,73.6,69.3,57.3,47.3,37.2,56.4
1905,34.8,32.6,51.4,58.1,68.9,74.2,77.5,75.6,73.3,62.2,50.3,M,59.9
1906,43.7,38.3,42.9,59.8,67.3,74.8,75.7,77.8,73.8,57.9,50.9,42.6,58.8
1907,45.6,37.8,54.3,46.7,62.8,68.6,77.7,M,72.7,56.7,47.6,42.6,55.7
1908,37.5,36.6,54.6,60.9,66.4,73,77.8,73.6,67.4,58.2,50.8,42.5,58.3
1909,44.4,48.7,47.7,59.1,65.6,75.8,74.8,73.2,67.3,55.7,53.2,37.3,58.6
1910,39.7,38.8,56.1,59.3,64.7,71.4,78,74.8,71.6,61.1,43.4,36.2,57.9
1911,44.1,43.9,47.2,54.1,69.9,76.6,78.2,77.3,74.3,60.2,46.3,45,59.8
1912,32,37.3,47.8,61.4,68,72.6,77.6,77.8,74.4,60.7,49,44.7,58.6
1913,48.5,42.4,53.3,59.4,69,73.7,79.9,75.9,68.5,59.7,49.8,43.5,60.3
1914,42.9,36.6,44.6,58.4,68.5,77.8,76.8,76.6,67.3,61.6,49.5,36.5,58.1
1915,39.6,44.7,42.4,60,66.6,72.4,78.2,77.2,73.7,61.7,51.7,39.5,59
1916,46.7,41.1,49.9,58.2,72.2,75,78,77.2,68.2,60.1,50.6,41.1,59.9
1917,43,42.2,48.1,60.6,64.1,75.4,77.4,76.4,66.8,55.9,46.6,31.6,57.3
1918,30.4,46.8,55.1,56.8,72.2,73.4,75.2,79.2,66.2,63.3,49.5,44.5,59.4
1919,43.3,42,52.1,58.9,68.1,74.5,77.9,77.5,73.2,69.1,51.7,39.3,60.6
1920,38.2,38.1,50.9,58,64,75,77,76.2,74.3,65.3,49.7,42.6,59.1
1921,42.5,45,60.5,62.9,65.5,77.1,80.6,78,79.6,61.7,54.7,44.7,62.7
1922,38.2,47.1,53,62.1,70.2,77.5,79.2,75.8,73.7,63.7,51.9,46.2,61.6
1923,44.3,44,52.2,58.9,67.2,78,78.3,77.5,73.7,60.6,49.2,50.6,61.2
1924,41,40.8,48.4,57.9,66.5,76.5,76.5,78.5,M,M,M,M,60.8
