Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,76.1,M,M,52.4,43.5,57.3
1953,47.9,47.2,52,59,73.7,76,80.9,78.5,72.4,64.3,53.4,45.5,62.6
1954,42.7,48.9,51.3,63.6,64.9,77.7,M,80.5,76,65.3,50.1,40.4,60.1
1955,40.3,43.5,53.3,64.3,71.8,72.3,80.3,78.6,72.3,61.8,50.4,38.9,60.6
1956,39.7,47.5,50.7,58.1,68.7,77.1,78.8,78.1,69.4,63.3,51.1,52.4,61.2
1957,43,49,49.8,63.7,68.9,76.2,78.7,76.4,73.4,56.9,52.9,M,62.6
1958,35.5,35.3,45.5,59.8,68.1,75,79.3,78.4,71.7,60.2,55.2,38.3,58.5
1959,39.1,44.2,48.4,61.5,70.5,75.7,77.8,79,72.2,63,M,44.3,61.4
1960,41.5,40.5,37.6,62.4,67.8,75.4,77,76.7,71.9,62.6,52.5,37.8,58.6
1961,38,46,53.6,54.5,65.3,73.9,78.1,76.7,74.5,61.1,M,M,62.2
1962,39.2,43.6,M,58.1,73.3,74,76.7,76.5,70.2,63.3,48.8,39,60.2
1963,36.9,36,54.7,61.7,66.9,73.2,76.1,77.3,68.5,62.1,52.1,35.2,58.4
1964,40.2,39.8,50.8,60.8,68.7,76.1,75.9,73.8,70.6,56.6,56.7,43.9,59.5
1965,42,41.7,47.1,59.5,72.7,71.7,75.8,77.3,72.6,59.8,53.4,44.5,59.8
1966,36.5,41.3,49.7,57.6,66.4,72.7,78.6,76,70.6,60.2,51.9,41.9,58.6
1967,43.5,38.5,53,63.3,64.2,72.1,76.7,75.1,66.3,60,48.5,46.6,59
1968,37,37.2,52.2,61.3,66.6,74.3,78,80.3,72.4,62.9,51.2,39.2,59.4
1969,37.4,41,45.9,60.4,68.4,77.1,80,75.2,70.1,60.8,49.6,39.7,58.8
1970,35,41.1,49.6,62.7,69.1,75.1,79.2,77.5,75.7,62.9,50.8,45.5,60.4
1971,38.7,41.3,45.6,58.8,65.4,76.3,76.2,74.4,72.2,64.3,49.8,51.2,59.5
1972,44.7,39.1,50.7,58.2,64.7,71.6,77.2,76.5,72.4,58.1,50.1,46.4,59.1
1973,41.2,39.9,54.8,58.4,65.7,74.9,77.7,77.7,75.1,63.1,54.5,42.6,60.5
1974,50.4,43.8,53.7,60.6,67.8,72,76.2,76,69.1,58.7,51.5,43.4,60.3
