Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,77.1,78.2,78,73.9,63.9,57,M,71.4
1947,49.8,M,45.5,63.1,71.9,76.8,M,79.9,74.3,68.4,50.7,M,64.5
1948,36.1,44.6,57.8,65.4,71,78.2,80.7,77.8,71.9,59,59.5,49.9,62.7
1949,53.5,54.4,55.1,61.4,70.3,77.4,81.4,79.2,71.6,66.1,51.5,49,64.2
1950,57.4,51.9,52.2,60.4,72.4,78.3,78.1,77.4,72.2,66.6,51.2,40.5,63.2
1951,46.6,48.3,54,61.4,68.7,78.1,81,81.2,74,67,50.5,49.8,63.4
1952,51.7,48.2,54.1,61.8,72.5,81.9,81.8,78.8,73.4,59,54.4,44.7,63.5
1953,49.8,50.7,55.3,62.5,76.2,77.4,81.1,79,73.1,65.7,52.3,46.8,64.2
1954,46.3,51.7,54.5,67.4,66.7,78.9,81.9,82.5,77.7,64.9,51,43.8,63.9
1955,43.9,48.6,58.6,65.9,72.7,73.5,81.4,80.3,74.8,62.3,52,42.7,63.1
1956,42.3,51.2,54,61.4,71.6,78.1,81.2,79.7,71.4,65.8,52.6,55.5,63.7
1957,46.9,53.1,52.2,65.6,71,78.1,79.3,77.3,74.8,59.1,55.7,48.3,63.5
1958,38.9,40,49.4,62.7,70.6,76.9,81,80.2,74,61.6,57.3,41.9,61.2
1959,44.8,49.2,52.6,64.4,73.7,78,80.1,81.1,74.5,66.1,55.3,47.1,63.9
1960,45.1,45.4,42.7,65.3,70.2,77.8,79.2,79.8,74.8,64.3,54.9,39.7,61.6
1961,41.2,49.2,57.1,57.4,67.5,75.1,79.9,78.1,76,61.9,57.3,45.9,62.2
1962,43.8,50.9,50.3,61,75.2,75.7,79.7,79.1,71.9,65.5,51.6,42,62.2
1963,41.7,41.5,57.7,64.7,69.4,75.9,78.1,79.3,70.5,63.7,54.1,38.3,61.2
1964,43.8,43.7,55,63.7,71.9,78.4,77.3,77.1,73.2,59.1,57.8,48.5,62.5
1965,45.7,46.9,50.8,63.8,74.9,M,77.9,79.4,74,62,54.7,47,61.6
1966,39.6,46.4,52.2,61.6,68.9,74.2,80.5,78.5,72.2,62.6,53.4,44.4,61.2
1967,46.7,43.5,57.1,65.7,68.5,75.1,78.3,77,68.7,61.7,49.9,50.2,61.9
1968,39.3,40.1,55.1,62.9,69,77.9,80.3,82.1,74,64.9,53.2,42.6,61.8
1969,42.1,43.9,50.2,63.7,70.8,78.7,81.8,77,72.3,64.7,51.2,43.3,61.6
1970,38.9,45.8,54.4,65.8,71.8,77.6,80.8,79.5,76.7,65,53.2,48.4,63.2
1971,43.9,45.7,50.2,61.6,68.1,78.1,78.1,77.5,74.7,68,53.4,55.3,62.9
