Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,76.7,77.3,69.6,61,51,41.5,62.9
1917,45.1,42.4,49,60.7,63.6,74.9,76.9,75.4,66.7,56,46.3,32.9,57.5
1918,32.2,47.9,55.4,56.5,70.9,73.4,74.8,78,65.7,63.7,50.9,46.4,59.7
1919,43.3,42.2,52.9,60.7,68.4,74.1,77.3,75.4,71.5,69.2,50.8,M,62.3
1920,39.4,M,M,M,M,M,M,M,M,M,48.8,41.7,43.3
1921,42.4,44.9,59.2,62.3,M,76.9,78.3,M,78.8,59.6,54.5,45.4,60.2
1922,39.1,48.1,52.8,60.8,68.6,M,78.1,M,M,M,M,M,57.9
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,50.5,50.5
1932,51,M,47.7,59.6,66.5,75.3,79.4,77.3,70.8,61.3,M,46,63.5
1933,48.6,44.2,50.8,58.8,71.9,77.3,77.6,76.5,77.1,M,49.5,47.7,61.8
1934,44.7,35.8,48.4,61,67.8,77.2,80.3,77.2,72.5,59.2,53.1,42,59.9
1935,40.8,43.5,56.6,57.8,65.4,75.7,78.5,77.8,70.4,61.2,52.9,35,59.6
1936,36.4,39.1,53,57,70,74.8,79,78.7,72.8,62.4,48.4,43.5,59.6
1937,49.9,42.9,48.2,58,67.6,76.9,77.7,78.1,68.4,58.7,47.2,40.9,59.5
1938,40.9,48.6,57.5,59.1,67.2,72.1,75.9,78,70.4,M,52.9,40.2,60.3
1939,43,48.3,53.3,58,66.6,77.6,76,M,72.5,62,46.6,43.1,58.8
1940,29.3,42.5,47.2,58.1,67.4,77.6,78.1,77.3,68.1,58.8,49.6,44.5,58.2
1941,39.8,37.8,43.8,60.6,69.7,75.2,79.2,78.4,73.9,67.3,49.9,44.8,60
1942,39.3,38.9,51,60.6,68.4,76.3,79,76.1,71.6,60.6,51.4,41.1,59.5
1943,42.6,44.5,48.1,57.4,69.3,78.8,77.7,77.6,67.2,58.1,47.2,41.1,59.1
1944,39.6,45,48,58.3,70.3,76.9,76.1,74.7,71.8,58.1,46.8,36.1,58.5
1945,39.1,43.4,59.7,62,63.4,74.7,76.9,74.3,73.4,57.9,51.1,36.4,59.4
1946,41.5,45.4,56.3,60.1,66.1,74.2,75.4,73.4,70.1,60,54.8,45.8,60.3
1947,45.6,35.7,41.1,60.8,67.9,73.4,73.8,77.6,71.4,62.8,46.4,38.5,57.9
1948,34.9,42.5,55.2,61.7,66.8,74.6,78.8,76.2,68.8,55.5,55.3,44.5,59.6
1949,49.5,49.7,51.5,58.4,68.2,75.9,80.9,76.9,68.8,63.1,48.4,45,61.4
1950,52.5,45.6,48.5,57.7,68.4,74.2,76.1,74.7,70.3,63,47.8,37.3,59.7
1951,42,44.1,50.1,57.4,65.9,74.7,78.1,76.7,70.3,62.4,46.3,43.8,59.3
1952,47.4,44.3,49.5,59.1,M,79.3,79.6,75.8,68.1,55.1,49.9,40.9,59
1953,46.3,46.9,51.2,59,72.1,75.5,78.4,76.6,69.7,61.3,48.5,43.4,60.7
1954,41.5,47.2,50,63.9,63.6,74.1,77.7,76.8,72.9,61.3,45.3,38.2,59.4
1955,38.8,43.6,53.6,61.7,68.6,69.9,79.9,78.4,72,59.6,48.3,36.6,59.2
1956,38.1,44.5,49.7,56.5,68.5,74.2,77.1,76.2,69.1,61.6,48.9,50.1,59.5
1957,42.6,47.7,48.5,62,67.8,74.8,77.1,75.1,73,55.8,51.4,44.3,60
1958,35.5,36.4,45.3,59.8,68.3,74.3,78.9,76.9,69.2,57.8,52.3,35.8,57.5
1959,40.5,45.6,48.5,61.4,70.6,73.8,77.6,78.2,70.1,61.8,50.3,41.7,60
1960,41.6,41.5,37.9,62,65.6,74.4,75.8,77.4,69.8,60.1,49,34.5,57.5
1961,35,44.5,54.3,52.5,63,71.1,76.5,75.8,72.4,57.5,51.6,40.6,57.9
1962,38.3,43.1,45.1,55.9,71.4,73.8,75.1,75,67.2,60.7,46.2,36.8,57.4
