Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,49.7,63.4,70.8,75.2,79.3,79,77,62.1,48.9,44.1,65
1913,51.4,44.8,55.9,60.1,69.9,76.1,81.5,77.8,71.3,61.2,49.6,44,62
1914,44,39.1,45.9,60.5,69.4,79.3,78.9,79,69.9,62.7,49.1,40.1,59.8
1915,41.4,45.6,42.4,60.1,70,74,80,79,74.7,63.4,51.7,39.3,60.1
1916,46.3,42.4,47.9,58.9,71.4,74,78.9,78.3,70.4,61.6,50.7,41.7,60.2
1917,43.6,41.4,49.1,60.8,64.3,74.9,78.2,76.9,67.9,56.9,46.5,33.2,57.8
1918,31.4,45.6,M,58.4,71.2,73.7,74.7,78.9,67,63.5,48.4,44.6,59.8
1919,43.2,42.1,M,58.5,69.1,74.1,77.7,76.3,70.5,70.1,50.1,39.7,61
1920,37.7,37.8,48.2,M,63.9,73.7,76.2,76.6,72.9,61.7,50.2,43.1,58.4
1921,42.3,45.5,60.7,M,M,M,81.1,78.7,79.8,61.6,56.7,47.3,61.5
1922,42.2,50.4,54.9,62.8,70.3,77.8,80.1,76.2,73.9,63,53,48,62.7
1923,44.9,41.7,51.3,57.4,66.8,76.5,M,78.9,74.6,58.8,48.7,48.3,58.9
1924,39.7,39.7,47.7,54.7,67.6,77.8,77.9,78.7,69.2,59.6,51.3,46,59.2
1925,42.3,50.7,55.3,63.3,65.8,84.3,80.9,78.2,78.5,61,50,42.4,62.7
1926,41.2,M,47.4,59,68,75,80.4,81.4,76.3,63.8,48.9,44.3,62.3
1927,43,53.3,52.5,59.6,69.9,73.7,77.6,75.2,72.8,63.3,55,44.7,61.7
1928,42.4,44.5,50.9,58,66.4,75.5,79.4,79.2,69,63.6,51.2,43.1,60.3
1929,44.1,41.2,56.4,62.7,68.3,73.6,76.7,76.3,71.4,60.1,53.7,44.8,60.8
1930,44.9,48.9,49.5,60.2,70.6,74.2,80.4,75.1,76.6,57.9,49.3,40.2,60.7
1931,41.3,45.5,45.5,57.5,67,76.9,82.4,77.3,76,62.6,56.5,51.9,61.7
1932,53.1,51.6,49.3,59.4,67.9,76.4,81.5,78.5,72.7,63.3,51.2,48.1,62.8
1933,50.2,47.6,53.2,60.5,73.2,76.9,77.9,77.3,78.2,63.1,49.7,48.9,63.1
1934,46.3,37.1,49.5,61.6,67.2,77.2,79.5,77.8,73.6,60.1,54.1,42.7,60.6
1935,42.3,44.6,58.4,58.4,66.7,76.7,78.3,77.7,71.4,61.4,54.9,35.9,60.6
1936,38.9,39.6,55.1,57.7,70,74.3,79.7,79,73.4,63,50.1,44.9,60.5
1937,52.8,43.7,48.8,59.8,67.6,77.2,78,78.3,M,59.6,49,42.6,59.8
1938,42.9,50.1,58.3,62,69.8,74.9,78,80.2,72.9,60.8,55.6,44,62.5
1939,45.4,51.7,55,60.4,68.1,79.2,77.8,78.1,74.3,63.6,46.7,42.6,61.9
1940,31,43.7,48.3,58,67.4,78.9,79.5,79.5,70.5,59.7,51.6,48.2,59.7
1941,41.4,38.7,45.8,63,70.7,76.2,80.2,78.4,75.7,68,52,44.1,61.2
1942,40.8,39.4,54.6,62.2,71.2,78.7,81.9,78.1,74.8,62.9,54.2,42.9,61.8
1943,44.1,46.3,50.2,59.1,71.7,80.1,79.4,78.8,69.1,59.7,50.2,42.6,60.9
1944,41.4,46,48.9,58,70.1,76.2,74,75.8,72.7,59.9,48.7,38,59.1
1945,39.4,44.6,60.3,63.5,64.1,75.3,77,74.7,74.5,58.5,53.6,39.3,60.4
1946,45.2,47.3,59,62.4,68.2,75.7,76.9,74.8,71.3,61.9,56.2,46.2,62.1
1947,47.6,38.6,44.8,63.8,70.5,74.6,75.6,78.1,72.3,65,48.1,40.8,60
1948,37,45.4,56.7,64.3,69.1,76.7,79.5,75.6,70.8,58.7,57.7,47.9,61.6
1949,51.9,51.1,53.2,60.3,69.2,76.6,80.5,78.5,71.1,65.5,51.4,48.9,63.2
1950,55.1,48.2,51.6,59.6,70.2,76.5,78.6,77.1,71.3,65.2,50.9,39.2,62
1951,44.8,46.5,51.4,61.3,67,77.9,80.5,79.5,72.7,65.9,49.1,46.5,61.9
1952,48.9,46.7,52.1,61.6,70.8,82.5,82.4,78.1,71.8,57.2,52.3,42.2,62.2
1953,48.4,48.9,54.4,61.3,75.4,75.8,80.8,78.9,71.8,63.7,51.7,46.2,63.1
1954,44.1,49.2,52.7,66.8,64.8,77.6,80.2,80.5,76.7,65.2,49.9,42.2,62.5
1955,40.5,46,56.7,64.6,71,72.7,81.9,79.8,74.3,62,51.1,38.8,61.6
1956,40.9,48.6,51.9,59.9,69.9,77.8,80.1,78.7,72,64.5,51.6,53.3,62.4
