Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,62.9,51.4,43.5,52.6
1917,46.7,42,51,61,65.1,74.4,79.2,77.1,68.1,57.8,47.4,33.9,58.6
1918,32.2,M,M,M,M,75.7,77.3,80.8,68.4,65.6,52.7,47.8,62.6
1919,M,45,54.5,M,M,M,M,M,M,M,M,M,49.8
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,52.7,44.2,50.2,60.5,69.5,78.6,78.8,79.4,70.3,60.3,50.3,42.9,61.5
1938,42.8,50.9,58.9,63.3,70.8,75.4,78.9,81.5,73.5,61.5,56.6,44.7,63.2
1939,46.5,51.8,55.9,61.6,69.1,79.8,78.5,79.4,75.9,65.2,49.4,44.5,63.1
1940,33.1,45.9,50.6,59.8,69.1,78.7,79.8,78.7,70.7,60.8,53.1,49.2,60.8
1941,42.3,39.9,46.9,64.6,71.9,76.8,80.8,79.3,76.7,69.7,54.3,47.2,62.5
1942,42.1,40.4,55.2,63.1,71.5,78.8,82.5,77.9,74.8,63.7,54.8,43.2,62.3
1943,44.1,46.7,51.8,59.9,72.1,81,79.5,79.7,70.7,61.3,51.9,43.1,61.8
1944,42.5,47.1,51,61,73.2,79.8,78.3,76.3,74.7,61.8,49.8,38.9,61.2
1945,39.9,45.1,61.3,64.3,66.4,77,78.8,76.2,75.3,61.1,54.1,38.7,61.5
1946,44.7,46.4,58.8,60,68.8,75.2,77.6,75.4,72.8,63.5,57.5,47.7,62.4
1947,48.6,38.5,44.5,63.2,70,75.7,76.3,79.4,74.6,67.1,50,42.4,60.9
1948,36.7,43.4,56.3,63.5,70.3,77.8,81.5,78.4,72.2,59,58.4,47.7,62.1
1949,50.9,51.1,53.7,60.3,69.8,77.7,82,79.6,71.3,66.7,51.9,46.9,63.5
1950,53.7,47.8,49.9,59.8,70.4,77.2,78.4,77.6,72.1,66.1,50.4,39.6,61.9
1951,44.9,46.5,51.9,61.4,68.2,78,80.5,79.9,74.1,65.8,48.9,48.2,62.4
1952,48.3,47.2,51.3,62.4,70.8,82.4,82.6,79,73.1,58.3,52.8,43.5,62.6
1953,48.5,48.1,54,62,75.3,76.4,80.8,79.6,73.7,64.9,52.1,46.3,63.5
1954,44.1,49.6,51.6,65.6,66.1,78.1,81,81.3,77.1,65,51,42.6,62.8
1955,40.9,45.4,55.5,65.6,72.1,73.1,82.2,80.5,74.2,62.6,51,40,61.9
1956,40.3,48.9,51,60,69.2,77.1,78.7,77.6,70.1,64.4,50.6,52.3,61.7
1957,41.9,48,49.9,64,69.6,77.5,79.1,76.9,74.7,57.8,52.6,46.1,61.5
1958,37.5,37.9,46.4,60.6,69.1,74,80.7,78.2,70.3,60.3,54.1,37.8,58.9
1959,40.9,45.1,49.7,61.4,71,75.6,78.5,79.7,72.8,64.2,51.3,44.8,61.3
1960,43.2,42.8,39.7,63.5,68.1,76.1,77.5,78.9,72.5,62.1,51.8,37.5,59.5
1961,38,46.5,54.4,55,64.9,73.9,78.8,77.8,74.8,59.7,53,42.6,60
1962,40.1,45.2,46.9,58.3,72.3,74.4,76.8,77.1,69.1,63,49.3,39.6,59.3
1963,38.5,38,55.1,61,65.4,73.5,77.1,76.7,67.7,60.8,52,36.3,58.5
1964,42.9,41.5,51.6,60.8,68.7,76.4,77.4,75.7,71,57.2,55.1,46.9,60.4
1965,41.6,44.4,47.3,59,72.7,72.6,76.9,78.5,73.8,60,52.4,44.5,60.3
1966,37.7,42.9,49.8,57.9,66,73,79.1,77,70.9,59.9,51.1,42.4,59
