Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,73.3,72.5,55,M,41.9,60.7
1958,33.6,33.6,42.1,54.6,64.4,71.9,76.8,74.2,65.8,54.4,48.2,32.2,54.3
1959,35.8,39.4,42.3,57.3,67.7,71,75.8,76.4,67.7,58.6,44.4,38.6,56.3
1960,38.4,36.2,32.9,57.5,62.1,71.6,74,75.6,67.7,57.8,45,31.3,54.2
1961,32.1,39.8,48.7,49.3,60.5,70.1,73.9,73.9,70.2,55.4,49.5,36.7,55
1962,33,38.5,42.9,52.7,68.7,70.9,73,73,M,58.9,45.2,35.3,53.8
1963,32.4,32.1,49,57.4,63.4,70.2,73.6,73,65.8,57.4,47.3,31.8,54.4
1964,35.7,35.2,46.2,56.2,65,72.7,74.5,72.4,65.6,52.4,49.4,39.1,55.4
1965,36.4,37.5,42.6,55.6,69.3,69.6,M,74.1,M,M,47,38.5,52.3
1966,31.3,35.1,44.7,52.6,M,M,77.3,72.7,66,54,47.5,38.8,52
1967,39.3,33.9,48.2,58.5,59.9,68.5,72.2,70.9,61.5,53.9,42.5,M,55.4
1968,M,M,46.8,55,60.8,69.8,74.6,75.2,66.1,56.8,45.5,34.9,58.5
1969,33.1,37.9,41.9,56.5,63.2,72.6,77.9,72.1,65.5,55.2,44.5,34.7,54.6
1970,30.2,37.8,45.7,57.6,64.6,71.3,75.1,73.4,72.8,58.8,47,40.6,56.2
1971,34.8,37.3,43,54.6,62.1,73.4,73.8,72.8,69.7,62.5,47.2,47,56.5
1972,40.2,35.3,47.3,54.4,61.7,67.8,74.4,73.6,69.5,53.5,46,42.7,55.5
1973,37.9,37.8,50.5,54.7,M,73.5,74.9,74.3,71.3,59.2,49.3,38.8,56.6
1974,45.1,39.9,49.9,56.4,63.2,67.8,74.2,74.1,65.2,55,47.6,40.8,56.6
1975,39.4,41.4,44.2,53.1,65.3,71.6,73.9,77,66.9,60,49.8,38.5,56.8
1976,34.1,46.3,52.5,58.4,62.7,70.4,74.3,73.2,65.4,51.9,41,34.7,55.4
