Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,38.8,49.8,50.3,61,62.4,69.5,70,61.8,53.1,38.9,30.8,53.3
1904,30.2,34,43.3,47,58.1,65.9,67.5,67.2,63.4,51.9,41.8,M,51.8
1905,29.7,27.9,47.6,52.3,62.9,67.8,69.1,67.1,M,M,M,M,53.1
1906,35.5,35.3,M,M,M,M,M,M,M,M,M,M,35.4
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,36.4,M,M,M,M,M,M,M,M,M,M,36.4
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,34.6,34.1,50,52.9,57.2,64.4,70.4,67.8,65.8,57.7,39.8,31.3,52.2
1911,38.6,41.6,42.3,48.8,63.5,69.3,69.5,71.1,69,57.3,M,40,55.5
1912,29.7,31.2,41.9,54.1,61.1,65.6,69.7,68,66.4,55.6,41.7,38.2,51.9
1913,41.7,37.1,45.1,50.1,60.7,67.8,73,69.5,61.3,53.7,45.8,38.7,53.7
1914,37.3,34.1,38.7,53.6,61.4,72,70.6,70.1,61.8,55.5,42.2,34.8,52.7
1915,34.4,37.8,35,53.6,61.7,62.8,66.9,66,63,54.3,44.3,32.7,51
1916,42.5,34.7,39.2,47.9,62,64,68.9,69.3,60.8,52.5,43.8,33.8,51.6
1917,38.5,34.2,41.9,53.5,54.3,63.8,66.6,M,59.2,47.1,40.5,25.5,47.7
1918,24.4,40.3,48.5,48.4,61.3,64.7,65.3,69.3,56.9,54.9,42,40.2,51.4
1919,35.5,34.2,43.8,50.7,58.8,66.5,69.6,67.7,61.7,62.5,44.2,34.9,52.5
1920,35.3,31.7,40.1,48.9,56.3,65.2,67.6,66.8,63.5,53.6,41.9,35.3,50.5
1921,35.4,38.2,51.6,52.4,57,68.5,69.6,66.4,68.7,51.4,46.3,39.5,53.8
1922,33.7,M,M,53.4,59.3,67.8,69.5,65.2,62.9,53.5,44.1,40.8,55
1923,37.5,M,43.5,49.9,56.6,66,67.2,68.3,63.3,50.3,40.6,43.6,53.3
1924,M,32.9,37.8,49.7,54.5,68,67,69,59.4,52.4,43.9,35.1,51.8
1925,M,42.5,45.9,55.5,56.9,69.7,71.7,68.6,69.9,50.6,40.8,35,55.2
1926,32.3,38.5,36.9,50.5,61.1,65.2,71.1,71.6,69.1,55.3,38.9,37.9,52.4
1927,36.8,45.1,44.9,52.9,61.3,66,69.7,66.1,65.6,M,47.7,M,55.6
1928,M,M,M,M,M,M,M,M,61.7,M,44,M,52.9
1929,M,M,M,55.4,M,M,M,M,M,M,M,M,55.4
1930,M,M,41.1,M,M,M,73.9,M,M,50.9,40.9,M,51.7
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,72.7,M,M,M,M,M,72.7
1933,M,36.9,M,M,64.9,69.4,70.4,69,69.5,53.4,42.7,43.8,57.8
1934,39.7,30.7,41.9,52.4,60.9,69.2,73.5,70.5,65.5,54.4,46.7,36.4,53.5
1935,39.2,M,49.6,51.2,59.5,M,M,M,64.6,M,48,29,48.7
1936,30.8,33.8,45.7,51.4,61.9,68.3,72.2,71,66.3,56.5,42.3,39.1,53.3
1937,45.8,36.9,42.3,51.5,60.1,68.9,69.6,70.1,61.3,49.3,40.6,36,52.7
1938,M,42.6,49.9,52.8,59.5,64.9,69.5,70.3,64.9,54.3,46.4,35.7,55.5
1939,37.8,42.1,45.7,50.8,59.8,70,69,68,65.2,55.8,41.6,38.5,53.7
1940,23,35.3,40.7,50.1,57.8,66.5,68.5,M,60.1,53.9,42.9,M,49.9
1941,35.4,M,35.7,53.9,61,67.3,69.8,69.6,64.2,59.2,44.4,40.4,54.6
1942,33,31.5,44,54.8,60.8,67.4,70.6,67.6,64.4,55,45,35.1,52.4
1943,38.7,37.1,41.1,48.2,59,71,70.3,70.2,58.8,52.4,42.5,37.4,52.2
1944,36.5,39.6,43.1,50.3,61.9,67.7,67.6,69.1,66.3,56.2,40.8,33.4,52.7
1945,34,37.8,52.6,54.2,57,69.3,M,M,66.3,52.8,46,30.1,50
1946,37.2,39.2,M,M,M,M,M,M,M,M,M,M,38.2
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,M,M,M,M,M,M
1958,M,M,M,M,M,M,M,M,M,M,M,M,M
1959,M,M,M,M,M,M,M,M,M,M,M,M,M
1960,M,M,M,M,M,M,M,M,M,M,M,M,M
1961,M,M,M,M,M,M,M,M,M,M,M,M,M
1962,M,M,M,M,M,M,M,M,M,M,M,M,M
1963,M,M,M,M,M,M,M,M,M,M,M,M,M
1964,M,M,M,M,M,M,M,M,M,M,M,M,M
1965,M,M,M,M,M,M,M,M,M,M,M,37.7,37.7
