Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,36.9,35.6,43.2,55.8,62.4,71.7,76.6,77.8,71.7,62.2,49.1,39.4,56.9
1901,M,M,M,51,64.5,M,77.8,73.7,66.4,M,40.7,M,62.4
1902,M,M,M,53.4,M,69.6,75.8,73.3,65.1,M,M,M,67.4
1903,M,M,M,57.3,67,M,M,74.4,67,57.4,42.8,M,61
1904,31.4,34.3,45.5,50.6,63.4,71.8,75.4,M,68.8,55.8,46.3,M,54.3
1905,M,M,49.5,55.9,66.3,73.7,75.4,72.9,70.5,57.1,46.9,38.1,60.6
1906,40.8,37.4,39.9,56.9,63.9,73.3,73.8,76.9,72,55.7,46.8,39,56.4
1907,44.6,36.8,52,49.2,62.3,67.5,76,73.5,70.2,54,45.4,40.6,56
1908,35.6,34.4,51.7,59.5,64.8,71.3,76,73.1,66.4,56.6,48.5,41.2,56.6
1909,42.1,44.3,43.9,53.6,58,69.5,68.1,68.7,66.9,54,51.4,35.5,54.7
1910,36.4,35.9,54,57.3,61.5,68.2,75.6,72.3,70.7,61.8,44,34.3,56
1911,41.2,44.3,45.5,52,67.3,76.1,76.4,77.2,73.8,60.4,43.6,42.4,58.4
1912,31.5,36.5,46,58.5,66,71.3,74.7,73.8,72.5,59.7,46.7,40.9,56.5
1913,44.4,41.2,50.4,57.1,66.4,73.2,76.7,74,65.9,58.3,M,M,60.8
1914,40.2,34.3,40.8,55.5,66.2,77.7,76,75.4,66.5,60.4,44.3,35.5,56.1
1915,36.7,41.7,39,57.4,67.1,71.5,75.4,74.5,69.9,60.2,46.8,38.1,56.5
1916,42.3,38.1,46,54.3,67.9,70.4,75.1,74.6,62.7,52.3,46.8,37.6,55.7
1917,40.9,38.8,47.2,58.6,60.7,71.6,75.2,74.6,65.8,51.6,44.1,29.6,54.9
1918,27.7,42.6,51.8,53,68.5,70.1,70.2,75.5,62.5,55.5,45.1,42.1,55.4
1919,39.6,38.1,49.8,54.8,62.9,70.6,76.7,74.1,69.4,66.5,49.2,37.4,57.4
1920,36.6,36.2,44.1,53.2,59.9,68.2,75,73.2,71,M,M,37.6,55.5
1921,38,40.8,55,58,63.1,73.4,M,72.9,74.5,57.3,51.8,43.3,57.1
1922,36.9,44.1,50.1,59.4,65.2,72.9,M,M,M,M,M,M,54.8
1923,39.1,M,52.7,60.2,M,74.2,M,M,M,M,M,46,54.4
1924,M,37.9,44.5,54.8,60.8,73.4,73,75.1,64.8,56.2,45.5,38.3,56.8
1925,35.3,44.7,48.6,58,59.5,73.4,75.6,71.6,73.6,53.8,M,37.5,57.4
1926,35.1,41.2,38.8,52.7,64.9,69,74.8,75.5,72.1,58.1,42.3,38.2,55.2
1927,39,47.2,49.4,56.9,65.1,69.3,74.1,70.9,69.8,59.1,50.8,39.6,57.6
1928,38,40.1,48,53.6,63.4,70.8,77.3,77.3,66.5,60,47.6,40.7,56.9
