Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,56.5,64.8,67.8,62.8,59.8,51.9,47.2,38.2,56.1
1947,40,25.9,32.4,52.1,56.4,63.2,64,70,61.9,54.5,39.5,35.1,49.6
1948,27.1,36.7,45.6,53.4,58.4,65.2,68.9,66.4,59.2,48.6,44.3,M,52.2
1949,M,M,42,49.4,58.2,65.7,70.3,66.8,58.5,56.3,40.6,37.3,54.5
1950,46.3,38.1,39.1,47.5,60,65.1,67,65.8,60.5,55.2,37.7,30.3,51.1
1951,34.2,36.2,41.5,48.9,56.8,65.5,67.9,67.7,61.6,53.5,36.9,35.2,50.5
1952,39.4,37.9,40.3,49.9,58.9,70.2,69.9,67.2,M,47.7,41.9,35,50.8
1953,37.9,38.1,44.4,50.4,63.1,67.3,68,66.6,60,51.9,40.9,34.5,51.9
1954,35.8,39.3,41.2,55.4,52.7,65,69.9,68.8,63.8,52.5,37.9,32.2,51.2
1955,31.1,36.2,44.9,54.6,60.4,59.9,69.9,70,63.3,51.9,40.7,31.8,51.2
1956,31.1,39.9,41.5,48.6,59.5,64.8,68,67.3,59.6,52.9,M,44.7,52.5
1957,35.5,41.8,41.5,53.5,59.6,66.5,67,65,63.2,47.1,43.2,36.4,51.7
1958,28.4,27.3,37.7,50.5,58.9,65.2,69.2,67.9,60.8,50.8,45.6,31.4,49.5
1959,32.5,37.8,39.8,52.7,62,63.9,68.9,69.4,62.3,54.5,41,36.1,51.7
1960,34.6,32.8,27.2,52.4,55.5,64.7,67,68.8,62.7,52.7,41.9,29.2,49.1
1961,29.1,37.9,46.7,46.1,54.5,62.7,66.8,67,63.3,50.4,45.8,34.8,50.4
1962,32.5,40.8,39.3,47.3,63.1,64.5,67.2,66,59.4,53.4,40.4,30.2,50.3
1963,30.5,29.9,45.5,52.1,57.5,64,66.1,66,59.9,51.9,43.4,27,49.5
1964,33.3,30.7,42.1,51.9,58.9,66.5,67.9,66.6,60.6,47.5,44.9,38,50.7
1965,34.1,34.5,39.4,53.1,61.7,62.7,67.9,66.7,62.6,49.7,43.1,36.7,51
1966,28.7,32.8,41.8,48.9,58,63,68.6,66.6,59.3,49.9,42.9,34.5,49.6
1967,36.2,31.8,45.6,53.7,56,62.6,66.2,64.7,56.1,M,39.9,38.7,50.1
1968,31,27.7,44.3,50.9,56.6,64.7,68.2,68.8,58.7,51.3,41.4,30.5,49.5
1969,30.5,31.8,34.5,51.9,58.4,66.5,69.7,65.8,60.4,51.3,39.6,31,49.3
1970,26.8,34.2,41.7,52.7,59.2,64.9,69.2,67.1,65.6,53.9,41.7,37.9,51.2
1971,31.8,34.6,38.5,49.2,55.7,66.9,66.9,67,64.9,57.8,41,43.3,51.5
