Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,M,M,M,M,M,M
1958,M,M,M,M,M,M,M,M,M,M,M,M,M
1959,M,M,M,M,M,M,M,M,M,M,M,M,M
1960,M,M,M,M,M,M,M,M,M,M,M,M,M
1961,M,M,M,M,M,M,M,M,M,M,M,M,M
1962,M,M,M,M,M,M,M,M,M,M,M,M,M
1963,M,M,M,M,M,M,M,M,M,M,M,M,M
1964,M,M,M,M,M,M,M,M,M,M,M,M,M
1965,M,M,M,M,M,M,75.1,73.8,69.3,55.3,47.4,39.6,60.1
1966,31.4,36.2,45.7,52.8,64.7,70.3,75.4,73.6,66.2,56.1,47.7,37.9,54.8
1967,39.3,35.7,48.8,59.6,61.2,68.6,72,71.5,62.6,55.4,43.3,42.1,55
1968,32.9,32.1,46.6,55.9,61.5,70.7,75,75.6,66.1,56.8,46.9,34.7,54.6
1969,33.4,38.1,40.4,56.7,64.1,73.3,76.7,71.8,65.6,56.2,44.6,34.9,54.7
1970,29.5,38.2,45.4,55.4,65.5,71.7,75.7,74,72.1,59,45.5,40.4,56
1971,34,36.3,43.2,54.4,60.9,72.9,73.4,73.1,70,62,46.2,45.3,56
1972,39.9,35.6,45.8,54.9,61.6,67.6,73.5,73.5,68.9,53.8,44.8,43.2,55.3
1973,37.7,37.2,50.7,54,60.8,72.9,75.3,74.6,71.1,60.2,48.9,38.9,56.9
1974,45.4,40,50,55.8,64.7,68.3,74,73.6,66,55.1,47.8,39.2,56.7
1975,40.3,41.9,43.1,54.4,66.3,71.3,74.5,76.5,67.9,60.3,50.1,39,57.1
1976,33.8,45.4,50.7,57.5,61.6,69.9,73.9,72.3,65.3,52.3,41.8,35.4,55
1977,25.4,36.5,50.6,59.1,67,71.1,78.2,76,70,54.2,49.1,35.3,56
1978,28.5,31.8,43.7,57,62.8,72.6,75.5,75.5,70.3,54.7,M,38.9,55.6
1979,31.7,32.6,48.3,55.9,63.8,68.3,72.6,73.8,66.8,55.2,49.3,38.4,54.7
1980,38,33.4,41.9,55.1,63.9,71,75.3,76.3,70.3,53.4,44.3,38.6,55.1
