Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1912,M,M,M,M,M,M,M,M,M,M,M,M,M
1913,M,M,M,M,M,M,M,M,M,M,M,M,M
1914,M,M,M,M,M,M,M,M,M,M,M,M,M
1915,M,M,M,M,M,M,M,M,M,M,M,M,M
1916,M,M,M,M,M,M,M,M,M,M,M,M,M
1917,M,M,M,M,M,M,M,M,M,M,M,M,M
1918,M,M,M,M,M,M,M,M,M,M,M,M,M
1919,M,M,M,M,M,M,M,M,M,M,M,M,M
1920,M,M,M,M,M,M,M,M,M,M,M,M,M
1921,M,M,M,M,M,M,M,M,M,M,M,M,M
1922,M,M,M,M,M,M,M,M,M,M,M,M,M
1923,M,M,M,M,M,M,M,M,M,M,M,M,M
1924,M,M,M,M,M,M,M,M,M,M,M,M,M
1925,M,M,M,M,M,M,M,M,M,M,M,M,M
1926,M,M,M,M,M,M,M,M,M,M,M,M,M
1927,M,M,M,M,M,M,M,M,M,M,M,M,M
1928,M,M,M,M,M,M,M,M,M,M,M,M,M
1929,M,M,M,M,M,M,M,M,M,M,M,M,M
1930,M,M,M,M,M,M,M,M,M,M,M,M,M
1931,M,M,M,M,M,M,M,M,M,M,M,M,M
1932,M,M,M,M,M,M,M,M,M,M,M,M,M
1933,M,M,M,M,M,M,M,M,M,M,M,M,M
1934,M,M,M,M,M,M,M,M,M,M,M,M,M
1935,M,M,M,M,M,M,M,M,M,M,M,M,M
1936,M,M,M,M,M,M,M,M,M,M,M,M,M
1937,M,M,M,M,M,M,M,M,M,M,M,M,M
1938,M,M,M,M,M,M,M,M,M,M,M,M,M
1939,M,M,M,M,M,M,M,M,M,M,M,M,M
1940,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,M,M,M,M,M,M,M,M,M,M,M,M,M
1942,M,M,M,M,M,M,M,M,M,M,M,M,M
1943,M,M,M,M,M,M,M,M,M,M,M,M,M
1944,M,M,M,M,M,M,M,M,M,M,M,M,M
1945,M,M,M,M,M,M,M,M,M,M,M,M,M
1946,M,M,M,M,M,M,M,M,M,M,M,M,M
1947,M,M,M,M,M,M,M,M,M,M,M,M,M
1948,M,M,M,M,M,M,M,M,M,M,M,M,M
1949,M,M,M,M,M,M,M,M,M,M,M,M,M
1950,M,M,M,M,M,M,M,M,M,M,M,M,M
1951,M,M,M,M,M,M,M,M,M,M,M,M,M
1952,M,M,M,M,M,M,M,M,M,M,M,M,M
1953,M,M,M,M,M,M,M,M,M,M,M,M,M
1954,M,M,M,M,M,M,M,M,M,M,M,M,M
1955,M,M,M,M,M,M,M,M,M,M,M,M,M
1956,M,M,M,M,M,M,M,M,M,M,M,M,M
1957,M,M,M,M,M,M,M,M,M,M,M,43.3,43.3
1958,34.6,33.2,45,57.8,66.2,74,78.2,76.5,69.3,58.6,51.5,37.1,56.8
1959,38.4,42.4,46.5,59.4,69.9,74.2,77,78.1,69.7,60.9,48.5,42.2,58.9
1960,40.8,40.3,37.2,60.3,64.7,73.4,75.6,77,70.5,60.4,49,35.7,57.1
1961,35.8,44.3,52.7,53.1,63,71.2,75.2,75,72.7,59.7,53,39.7,58
1962,37.7,44.4,46.7,55.6,71.4,72.4,75.1,75.6,68.3,61,47.5,36.9,57.7
1963,36.4,35.5,52,60.4,65.6,72.5,74.8,76,68.4,61.1,49.8,33.1,57.1
1964,38.2,38.2,48.5,58.9,67.3,74.9,76,74.1,68.7,55.2,52.4,42.2,57.9
1965,39.3,41.8,45.4,59,70.8,71,75.7,76.4,71.1,57,50.1,42.3,58.3
1966,34.9,39.5,48.6,56.1,65.7,71.6,77.6,74.8,67.9,57.3,49.7,40.2,57
1967,42,38,52.4,61.7,63.2,71.5,75.3,74,65.4,57.5,45.3,43.9,57.5
1968,35.4,35.5,51,58.6,63.7,72.8,76.7,77.8,70.1,60.3,49.1,37.2,57.4
1969,36.9,40.8,44.6,59.9,66.4,74.9,77.6,73.7,67.7,58.6,45.9,37.5,57
1970,33.2,40.4,47.5,60.2,67.1,72.7,76.4,75,73,60.7,48.5,42.7,58.1
1971,37.8,40.1,45.8,56.9,63.5,74.5,74.7,74,71.3,64.2,47.8,48.1,58.2
1972,42.5,38.8,49.1,57.8,64,69.3,75.6,75.1,70.6,56.3,47.1,44.4,57.6
1973,38.1,38.7,53.2,56.3,63.7,73.8,75.8,75.2,71.8,60.3,50.6,40.1,58.1
1974,48.6,43.1,53.2,59.2,67,69.7,75.7,75.2,66.7,56.7,48.3,40.4,58.7
1975,41.6,43.9,47.1,57,68.2,72.3,74.7,77.8,69.5,61.6,51.7,40,58.8
1976,35.5,48.3,53.4,58.8,64,71,75.5,74.2,67.5,54.6,42.6,38.1,57
